local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
RKC Waalwijk,19.0,1.0,0.0,2.0,2.0,4.0,61.8,18.0,5.0,0.3,0.0,0.0,409.0,497.0,0.8,6.0,17.0,0.4,57.0,38.0,0.7,6.0,5.0,13.0,0.4,10.0,16.0,16.0,ADO Den Haag,14.0,2.0,0.0,4.0,5.0,5.0,38.2,11.0,5.0,0.5,0.0,0.0,209.0,300.0,0.7,6.0,18.0,0.3,70.0,27.0,0.4,3.0,15.0,25.0,0.6,21.0,18.0,18.0,574547,2021-01-09 15:30:00,2021
FC Emmen,13.0,0.0,0.0,2.0,2.0,2.0,52.4,8.0,1.0,0.1,0.0,0.0,420.0,554.0,0.8,2.0,16.0,0.1,100.0,46.0,0.5,2.0,11.0,17.0,0.6,15.0,12.0,12.0,FC Twente,12.0,1.0,0.0,0.0,2.0,0.0,47.6,10.0,6.0,0.6,0.0,0.0,385.0,504.0,0.8,2.0,10.0,0.2,73.0,26.0,0.4,0.0,4.0,14.0,0.3,13.0,19.0,19.0,574558,2021-01-09 17:45:00,2021
Heracles Almelo,7.0,3.0,0.0,1.0,3.0,2.0,44.1,12.0,5.0,0.4,0.0,0.0,309.0,385.0,0.8,5.0,19.0,0.3,56.0,34.0,0.6,0.0,12.0,20.0,0.6,17.0,17.0,17.0,Vitesse,13.0,1.0,0.0,2.0,7.0,5.0,55.9,12.0,4.0,0.3,0.0,0.0,410.0,497.0,0.8,3.0,18.0,0.2,59.0,34.0,0.6,3.0,13.0,23.0,0.6,14.0,12.0,12.0,574555,2021-01-09 19:00:00,2021
PEC Zwolle,8.0,1.0,0.0,2.0,3.0,3.0,38.4,5.0,2.0,0.4,0.0,0.0,265.0,345.0,0.8,3.0,15.0,0.2,78.0,37.0,0.5,0.0,12.0,19.0,0.6,16.0,32.0,32.0,AZ Alkmaar,10.0,0.0,0.0,1.0,11.0,1.0,61.6,15.0,4.0,0.3,0.0,0.0,474.0,554.0,0.9,8.0,26.0,0.3,53.0,30.0,0.6,8.0,7.0,9.0,0.8,13.0,9.0,9.0,574553,2021-01-09 19:00:00,2021
FC Utrecht,11.0,2.0,0.0,2.0,9.0,0.0,65.2,19.0,6.0,0.3,0.0,0.0,526.0,618.0,0.9,5.0,34.0,0.1,73.0,44.0,0.6,9.0,8.0,11.0,0.7,12.0,9.0,9.0,FC Groningen,6.0,1.0,0.0,0.0,2.0,4.0,34.8,7.0,2.0,0.3,0.0,0.0,245.0,335.0,0.7,2.0,12.0,0.2,73.0,23.0,0.3,2.0,10.0,21.0,0.5,20.0,34.0,34.0,574551,2021-01-09 20:00:00,2021
Sparta Rotterdam,10.0,2.0,0.0,2.0,6.0,1.0,47.5,10.0,0.0,0.0,0.0,0.0,362.0,446.0,0.8,4.0,31.0,0.1,57.0,34.0,0.6,4.0,4.0,9.0,0.4,14.0,13.0,13.0,Feyenoord Rotterdam,10.0,0.0,0.0,0.0,4.0,0.0,52.5,14.0,3.0,0.2,0.0,0.0,419.0,519.0,0.8,4.0,13.0,0.3,82.0,41.0,0.5,2.0,8.0,14.0,0.6,6.0,23.0,23.0,574549,2021-01-10 11:15:00,2021
VVV-Venlo,18.0,1.0,0.0,1.0,5.0,4.0,60.0,12.0,4.0,0.3,1.0,1.0,403.0,512.0,0.8,4.0,25.0,0.2,51.0,20.0,0.4,4.0,12.0,29.0,0.4,12.0,13.0,13.0,Willem II,10.0,2.0,0.0,4.0,2.0,2.0,40.0,17.0,5.0,0.3,0.0,0.0,235.0,348.0,0.7,3.0,8.0,0.4,73.0,36.0,0.5,4.0,11.0,18.0,0.6,11.0,17.0,17.0,574545,2021-01-10 13:30:00,2021
Heerenveen,16.0,0.0,0.0,1.0,5.0,1.0,62.8,10.0,2.0,0.2,0.0,0.0,505.0,609.0,0.8,7.0,29.0,0.2,55.0,28.0,0.5,2.0,7.0,13.0,0.5,8.0,9.0,9.0,Fortuna Sittard,12.0,0.0,0.0,0.0,4.0,1.0,37.2,9.0,4.0,0.4,0.0,0.0,262.0,367.0,0.7,3.0,14.0,0.2,85.0,36.0,0.4,1.0,7.0,10.0,0.7,10.0,20.0,20.0,574543,2021-01-10 13:30:00,2021
Ajax Amsterdam,8.0,1.0,0.0,1.0,6.0,5.0,67.1,11.0,4.0,0.4,0.0,0.0,557.0,647.0,0.9,9.0,30.0,0.3,39.0,26.0,0.7,5.0,8.0,9.0,0.9,12.0,9.0,9.0,PSV Eindhoven,8.0,1.0,0.0,3.0,6.0,2.0,32.9,7.0,7.0,1.0,0.0,0.0,220.0,319.0,0.7,1.0,10.0,0.1,59.0,22.0,0.4,0.0,16.0,29.0,0.6,14.0,26.0,26.0,574541,2021-01-10 15:45:00,2021
Vitesse,12.0,1.0,0.0,1.0,8.0,5.0,52.8,16.0,4.0,0.3,0.0,0.0,330.0,433.0,0.8,7.0,22.0,0.3,81.0,33.0,0.4,6.0,11.0,22.0,0.5,15.0,13.0,13.0,FC Utrecht,21.0,1.0,0.0,2.0,7.0,3.0,47.2,7.0,5.0,0.7,0.0,0.0,294.0,395.0,0.7,4.0,16.0,0.3,60.0,25.0,0.4,0.0,9.0,13.0,0.7,12.0,21.0,21.0,574539,2021-01-12 17:45:00,2021
Heracles Almelo,8.0,0.0,0.0,1.0,12.0,1.0,50.6,20.0,11.0,0.6,0.0,0.0,412.0,491.0,0.8,3.0,20.0,0.2,54.0,28.0,0.5,6.0,7.0,8.0,0.9,12.0,10.0,10.0,FC Emmen,13.0,2.0,0.0,2.0,4.0,7.0,49.4,8.0,1.0,0.1,0.0,0.0,385.0,485.0,0.8,2.0,11.0,0.2,63.0,32.0,0.5,2.0,13.0,19.0,0.7,10.0,26.0,26.0,574537,2021-01-12 20:00:00,2021
PSV Eindhoven,12.0,3.0,0.0,1.0,7.0,1.0,60.3,14.0,3.0,0.2,0.0,0.0,506.0,590.0,0.9,3.0,24.0,0.1,41.0,26.0,0.6,6.0,9.0,19.0,0.5,7.0,11.0,11.0,AZ Alkmaar,12.0,3.0,0.0,1.0,3.0,2.0,39.7,6.0,4.0,0.7,1.0,1.0,306.0,392.0,0.8,1.0,9.0,0.1,49.0,16.0,0.3,1.0,8.0,13.0,0.6,13.0,23.0,23.0,574534,2021-01-13 17:45:00,2021
ADO Den Haag,12.0,3.0,0.0,2.0,6.0,4.0,62.9,14.0,4.0,0.3,0.0,0.0,391.0,478.0,0.8,4.0,31.0,0.1,66.0,35.0,0.5,7.0,14.0,18.0,0.8,11.0,12.0,12.0,VVV-Venlo,12.0,3.0,0.0,1.0,1.0,3.0,37.1,15.0,8.0,0.5,2.0,2.0,213.0,291.0,0.7,3.0,11.0,0.3,51.0,23.0,0.5,3.0,10.0,16.0,0.6,16.0,39.0,39.0,574532,2021-01-13 19:00:00,2021
