id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
2726,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO,ned.ado_den_haag,307B64,a0ffe5,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2726.png,True
140,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ,ned.az,ef2f24,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/140.png,True
139,Ajax Amsterdam,Ajax,Ajax,AJA,ned.ajax,DF1B27,4d6286,https://a.espncdn.com/i/teamlogos/soccer/500-dark/139.png,True
2566,Excelsior,Excelsior,Excelsior,EXC,ned.excelsior,000000,b41226,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2566.png,True
145,FC Groningen,Groningen,FC Groningen,GRO,ned.groningen,ffffff,30565c,https://a.espncdn.com/i/teamlogos/soccer/500-dark/145.png,True
152,FC Twente,Twente,FC Twente,TWE,ned.fc_twente,F31522,9df9f7,https://a.espncdn.com/i/teamlogos/soccer/500-dark/152.png,True
153,FC Utrecht,Utrecht,FC Utrecht,UTR,ned.fc_utrecht,F31522,1a316b,https://a.espncdn.com/i/teamlogos/soccer/500-dark/153.png,True
142,Feyenoord Rotterdam,Feyenoord,Feyenoord,FEY,ned.feyenoord,ef2f24,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/142.png,True
143,Fortuna Sittard,Fortuna Sittard,Fortuna,FOR,ned.fortuna_sittard,FCEE33,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/143.png,True
3706,Go Ahead Eagles,Go Ahead Eagles,Go Ahead Eagles,GAE,ned.go_ahead_eagles,F80017,8f0058,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3706.png,True
146,Heerenveen,Heerenveen,Heerenveen,HEE,ned.heerenveen,003eff,1a316b,https://a.espncdn.com/i/teamlogos/soccer/500-dark/146.png,True
147,NEC Nijmegen,NEC,NEC,NEC,ned.nec,ef2f24,84aee7,https://a.espncdn.com/i/teamlogos/soccer/500-dark/147.png,True
2565,PEC Zwolle,PEC Zwolle,PEC Zwolle,PEC,ned.fc_zwolle,0000d4,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2565.png,True
148,PSV Eindhoven,PSV,PSV,PSV,ned.psv,ef2f24,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/148.png,True
3736,SC Cambuur,SC Cambuur,Cambuur,CAM,ned.cambuur_leeuwarden,FCEE33,98994e,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3736.png,True
151,Sparta Rotterdam,Sparta Rotterdam,Sparta,SPA,ned.sparta,F31522,84aee7,https://a.espncdn.com/i/teamlogos/soccer/500-dark/151.png,True
3735,Telstar,Telstar,Telstar,TEL,ned.sc_stormvogels_telstar,C60000,FCEE33,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3735.png,True
156,Willem II,Willem II,Willem II,WIL,ned.willem_ii,1a316b,96c0df,https://a.espncdn.com/i/teamlogos/soccer/500-dark/156.png,True
5291,Almere City,Almere City,Almere City,ALM,ned.almere_city,C60000,9df9f7,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5291.png,True
144,De Graafschap,De Graafschap,De Graafschap,GRA,ned.de_graafschap,0000d4,307B64,https://a.espncdn.com/i/teamlogos/soccer/500-dark/144.png,True
271,FC Den Bosch,FC Den Bosch,FC Den Bosch,DBO,ned.fc_den_bosch,0000d4,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/271.png,True
4426,FC Dordrecht,FC Dordrecht,Dordrecht,DOR,ned.dordrecht_90,307B64,091453,https://a.espncdn.com/i/teamlogos/soccer/500-dark/4426.png,True
3732,FC Eindhoven,FC Eindhoven,FC Eindhoven,EIN,ned.fc_eindhoven,0000d4,cdcdcd,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3732.png,True
3707,FC Emmen,FC Emmen,Emmen,EMM,ned.fc_emmen_vv,F80017,6d7084,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3707.png,True
2727,FC Volendam,FC Volendam,FC Volendam,VOL,ned.fc_volendam,F7AA25,9de1ff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2727.png,True
3775,Helmond Sport,Helmond Sport,Helmond Spor,HEL,ned.helmond_sport,C60000,091453,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3775.png,True
3708,Heracles Almelo,Heracles Almelo,Heracles,HER,ned.sc_heracles_almelo,000000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3708.png,True
18748,Jong AZ,Jong AZ,Jong AZ,JAZ,az_reserves,DF1B27,091453,https://a.espncdn.com/i/teamlogos/soccer/500-dark/18748.png,True
10597,Jong Ajax,Jong Ajax,Jong Ajax,JAJ,ned.jong_ajax,DF1B27,6ab4c9,https://a.espncdn.com/i/teamlogos/soccer/500-dark/10597.png,True
