event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
401875636,2026-09-08 18:45:00,2026,147,2566,NEC,Excelsior,,,pre
401875612,2026-09-09 18:45:00,2026,152,3735,Twente,Telstar,,,pre
401875611,2026-09-11 20:00:00,2026,140,156,AZ Alkmaar,Willem II,,,pre
401875610,2026-09-12 16:30:00,2026,152,2726,Twente,ADO Den Haag,,,pre
401875609,2026-09-12 18:45:00,2026,3706,145,Go Ahead Eagles,Groningen,,,pre
401875608,2026-09-12 20:00:00,2026,143,139,Fortuna Sittard,Ajax,,,pre
401875604,2026-09-12 21:00:00,2026,3736,147,SC Cambuur,NEC,,,pre
401875606,2026-09-13 12:15:00,2026,2566,153,Excelsior,Utrecht,,,pre
401875607,2026-09-13 14:30:00,2026,146,3735,Heerenveen,Telstar,,,pre
401875603,2026-09-13 16:45:00,2026,2565,142,PEC Zwolle,Feyenoord,,,pre
401875605,2026-09-13 20:00:00,2026,148,151,PSV,Sparta Rotterdam,,,pre
401875602,2026-09-15 20:00:00,2026,139,156,Ajax,Willem II,,,pre
401875599,2026-09-18 20:00:00,2026,145,2565,Groningen,PEC Zwolle,,,pre
401875600,2026-09-19 16:30:00,2026,2726,3736,ADO Den Haag,SC Cambuur,,,pre
401875601,2026-09-19 18:45:00,2026,151,146,Sparta Rotterdam,Heerenveen,,,pre
401875598,2026-09-19 20:00:00,2026,139,2566,Ajax,Excelsior,,,pre
401875597,2026-09-19 21:00:00,2026,156,143,Willem II,Fortuna Sittard,,,pre
401875596,2026-09-20 12:15:00,2026,142,153,Feyenoord,Utrecht,,,pre
401875595,2026-09-20 14:30:00,2026,140,3735,AZ Alkmaar,Telstar,,,pre
401875593,2026-09-20 14:30:00,2026,152,148,Twente,PSV,,,pre
401875594,2026-09-20 16:45:00,2026,147,3706,NEC,Go Ahead Eagles,,,pre
401875592,2026-10-10 16:30:00,2026,148,146,PSV,Heerenveen,,,pre
401875590,2026-10-10 18:45:00,2026,3706,151,Go Ahead Eagles,Sparta Rotterdam,,,pre
401875591,2026-10-10 18:45:00,2026,142,140,Feyenoord,AZ Alkmaar,,,pre
401875589,2026-10-10 21:00:00,2026,139,147,Ajax,NEC,,,pre
401875588,2026-10-10 21:00:00,2026,143,152,Fortuna Sittard,Twente,,,pre
401875587,2026-10-11 12:15:00,2026,153,156,Utrecht,Willem II,,,pre
401875586,2026-10-11 14:30:00,2026,2565,3736,PEC Zwolle,SC Cambuur,,,pre
401875585,2026-10-11 14:30:00,2026,3735,2726,Telstar,ADO Den Haag,,,pre
401875584,2026-10-11 16:45:00,2026,2566,145,Excelsior,Groningen,,,pre
401875583,2026-10-16 20:00:00,2026,146,2566,Heerenveen,Excelsior,,,pre
401875582,2026-10-17 16:30:00,2026,2726,148,ADO Den Haag,PSV,,,pre
401875580,2026-10-17 20:00:00,2026,3735,142,Telstar,Feyenoord,,,pre
401875579,2026-10-17 21:00:00,2026,151,156,Sparta Rotterdam,Willem II,,,pre
401875578,2026-10-18 12:15:00,2026,2565,3706,PEC Zwolle,Go Ahead Eagles,,,pre
401875577,2026-10-18 14:30:00,2026,152,153,Twente,Utrecht,,,pre
401875576,2026-10-18 14:30:00,2026,3736,140,SC Cambuur,AZ Alkmaar,,,pre
401875575,2026-10-18 16:45:00,2026,145,139,Groningen,Ajax,,,pre
401875581,2026-10-18 20:00:00,2026,147,143,NEC,Fortuna Sittard,,,pre
401875574,2026-10-23 20:00:00,2026,3706,3735,Go Ahead Eagles,Telstar,,,pre
401875573,2026-10-24 16:30:00,2026,153,2565,Utrecht,PEC Zwolle,,,pre
401875572,2026-10-24 18:45:00,2026,156,3736,Willem II,SC Cambuur,,,pre
401875571,2026-10-24 21:00:00,2026,2726,146,ADO Den Haag,Heerenveen,,,pre
401875570,2026-10-25 12:15:00,2026,143,2566,Fortuna Sittard,Excelsior,,,pre
401875569,2026-10-25 14:30:00,2026,147,145,NEC,Groningen,,,pre
401875568,2026-10-25 14:30:00,2026,148,142,PSV,Feyenoord,,,pre
401875567,2026-10-25 16:45:00,2026,151,139,Sparta Rotterdam,Ajax,,,pre
401875566,2026-10-25 20:00:00,2026,140,152,AZ Alkmaar,Twente,,,pre
401875565,2026-10-31 16:30:00,2026,142,143,Feyenoord,Fortuna Sittard,,,pre
401875563,2026-10-31 18:45:00,2026,146,147,Heerenveen,NEC,,,pre
401875564,2026-10-31 18:45:00,2026,148,156,PSV,Willem II,,,pre
