event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
574547,2021-01-09 16:30:00,2021,155,2726,RKC Waalwijk,ADO Den Haag,0.0,1.0,post
574558,2021-01-09 18:45:00,2021,3707,152,FC Emmen,Twente,1.0,4.0,post
574555,2021-01-09 20:00:00,2021,3708,154,Heracles Almelo,Vitesse,0.0,2.0,post
574553,2021-01-09 20:00:00,2021,2565,140,PEC Zwolle,AZ Alkmaar,1.0,1.0,post
574551,2021-01-09 21:00:00,2021,153,145,Utrecht,Groningen,2.0,2.0,post
574549,2021-01-10 12:15:00,2021,151,142,Sparta Rotterdam,Feyenoord,0.0,2.0,post
574543,2021-01-10 14:30:00,2021,146,143,Heerenveen,Fortuna Sittard,1.0,3.0,post
574545,2021-01-10 14:30:00,2021,3731,156,VVV-Venlo,Willem II,2.0,1.0,post
574541,2021-01-10 16:45:00,2021,139,148,Ajax,PSV,2.0,2.0,post
574539,2021-01-12 18:45:00,2021,154,153,Vitesse,Utrecht,1.0,0.0,post
574537,2021-01-12 21:00:00,2021,3708,3707,Heracles Almelo,FC Emmen,4.0,0.0,post
574534,2021-01-13 18:45:00,2021,148,140,PSV,AZ Alkmaar,1.0,3.0,post
574530,2021-01-13 20:00:00,2021,143,151,Fortuna Sittard,Sparta Rotterdam,0.0,1.0,post
574532,2021-01-13 20:00:00,2021,2726,3731,ADO Den Haag,VVV-Venlo,1.0,4.0,post
574528,2021-01-13 21:00:00,2021,142,2565,Feyenoord,PEC Zwolle,1.0,0.0,post
574526,2021-01-14 18:45:00,2021,146,155,Heerenveen,RKC Waalwijk,1.0,1.0,post
574524,2021-01-14 20:00:00,2021,152,139,Twente,Ajax,1.0,3.0,post
574522,2021-01-14 21:00:00,2021,156,145,Willem II,Groningen,2.0,3.0,post
574519,2021-01-16 16:30:00,2021,3707,154,FC Emmen,Vitesse,1.0,4.0,post
574509,2021-01-16 18:45:00,2021,151,148,Sparta Rotterdam,PSV,3.0,5.0,post
574517,2021-01-16 20:00:00,2021,153,3708,Utrecht,Heracles Almelo,2.0,0.0,post
574513,2021-01-16 20:00:00,2021,2565,143,PEC Zwolle,Fortuna Sittard,0.0,2.0,post
574515,2021-01-16 21:00:00,2021,140,2726,AZ Alkmaar,ADO Den Haag,2.0,1.0,post
574511,2021-01-17 12:15:00,2021,155,156,RKC Waalwijk,Willem II,1.0,1.0,post
574507,2021-01-17 14:30:00,2021,145,152,Groningen,Twente,2.0,2.0,post
574505,2021-01-17 14:30:00,2021,3731,146,VVV-Venlo,Heerenveen,1.0,1.0,post
574503,2021-01-17 16:45:00,2021,139,142,Ajax,Feyenoord,1.0,0.0,post
574498,2021-01-22 20:00:00,2021,156,2565,Willem II,PEC Zwolle,1.0,3.0,post
574500,2021-01-23 16:30:00,2021,2726,3707,ADO Den Haag,FC Emmen,0.0,0.0,post
574496,2021-01-23 18:45:00,2021,154,145,Vitesse,Groningen,1.0,0.0,post
574494,2021-01-23 20:00:00,2021,148,155,PSV,RKC Waalwijk,2.0,0.0,post
574492,2021-01-23 21:00:00,2021,3708,146,Heracles Almelo,Heerenveen,1.0,0.0,post
574490,2021-01-24 12:15:00,2021,143,139,Fortuna Sittard,Ajax,1.0,2.0,post
574488,2021-01-24 14:30:00,2021,152,3731,Twente,VVV-Venlo,0.0,1.0,post
574486,2021-01-24 14:30:00,2021,153,151,Utrecht,Sparta Rotterdam,1.0,0.0,post
574484,2021-01-24 16:45:00,2021,142,140,Feyenoord,AZ Alkmaar,2.0,3.0,post
574481,2021-01-26 18:45:00,2021,2565,3708,PEC Zwolle,Heracles Almelo,2.0,2.0,post
574479,2021-01-26 20:00:00,2021,3707,148,FC Emmen,PSV,0.0,2.0,post
574477,2021-01-26 21:00:00,2021,145,2726,Groningen,ADO Den Haag,3.0,0.0,post
574475,2021-01-27 18:45:00,2021,140,153,AZ Alkmaar,Utrecht,0.0,1.0,post
574471,2021-01-27 20:00:00,2021,155,143,RKC Waalwijk,Fortuna Sittard,1.0,2.0,post
574473,2021-01-27 20:00:00,2021,3731,154,VVV-Venlo,Vitesse,4.0,1.0,post
574469,2021-01-27 21:00:00,2021,146,142,Heerenveen,Feyenoord,3.0,0.0,post
574467,2021-01-28 18:45:00,2021,151,152,Sparta Rotterdam,Twente,0.0,0.0,post
574464,2021-01-28 21:00:00,2021,139,156,Ajax,Willem II,3.0,1.0,post
574462,2021-01-30 16:30:00,2021,3708,145,Heracles Almelo,Groningen,1.0,0.0,post
574460,2021-01-30 18:45:00,2021,153,2565,Utrecht,PEC Zwolle,3.0,3.0,post
574458,2021-01-30 20:00:00,2021,143,3731,Fortuna Sittard,VVV-Venlo,3.0,2.0,post
574456,2021-01-30 21:00:00,2021,154,155,Vitesse,RKC Waalwijk,1.0,1.0,post
574454,2021-01-31 12:15:00,2021,152,146,Twente,Heerenveen,0.0,0.0,post
574452,2021-01-31 14:30:00,2021,142,148,Feyenoord,PSV,3.0,1.0,post
574450,2021-01-31 14:30:00,2021,156,3707,Willem II,FC Emmen,2.0,0.0,post
574448,2021-01-31 16:45:00,2021,2726,151,ADO Den Haag,Sparta Rotterdam,1.0,1.0,post
574445,2021-01-31 16:45:00,2021,140,139,AZ Alkmaar,Ajax,0.0,3.0,post
574443,2021-02-05 20:00:00,2021,143,3708,Fortuna Sittard,Heracles Almelo,0.0,1.0,post
574437,2021-02-06 14:00:00,2021,3707,140,FC Emmen,AZ Alkmaar,0.0,1.0,post
574439,2021-02-06 14:00:00,2021,2565,155,PEC Zwolle,RKC Waalwijk,1.0,1.0,post
574441,2021-02-06 16:30:00,2021,148,152,PSV,Twente,3.0,0.0,post
574435,2021-02-06 16:30:00,2021,146,154,Heerenveen,Vitesse,1.0,0.0,post
574410,2021-02-12 18:45:00,2021,155,3707,RKC Waalwijk,FC Emmen,1.0,0.0,post
574418,2021-02-13 12:00:00,2021,145,2565,Groningen,PEC Zwolle,1.0,0.0,post
574414,2021-02-13 14:15:00,2021,151,143,Sparta Rotterdam,Fortuna Sittard,1.0,2.0,post
574420,2021-02-13 16:30:00,2021,2726,148,ADO Den Haag,PSV,2.0,2.0,post
574407,2021-02-13 18:45:00,2021,3708,139,Heracles Almelo,Ajax,0.0,2.0,post
574416,2021-02-14 12:15:00,2021,140,146,AZ Alkmaar,Heerenveen,3.0,1.0,post
574422,2021-02-14 14:30:00,2021,153,3731,Utrecht,VVV-Venlo,3.0,1.0,post
574424,2021-02-14 14:30:00,2021,142,156,Feyenoord,Willem II,5.0,0.0,post
574412,2021-02-14 16:45:00,2021,154,152,Vitesse,Twente,0.0,2.0,post
