temporada,equipo,squad_value
2020,PSV,260.7
2020,Feyenoord,229.1
2020,Ajax,181.7
2020,AZ Alkmaar,126.4
2020,Twente,86.9
2020,Utrecht,59.2
2020,NEC,39.5
2020,Heerenveen,35.6
2020,Sparta Rotterdam,31.6
2020,Go Ahead Eagles,30.0
2020,Groningen,27.7
2020,Fortuna Sittard,23.7
2020,PEC Zwolle,22.1
2020,Heracles Almelo,19.8
2020,NAC Breda,19.8
2020,Willem II,17.4
2020,Almere City,17.4
2020,Vitesse,15.8
2020,Excelsior,14.2
2020,FC Volendam,14.2
2020,RKC Waalwijk,12.6
2020,ADO Den Haag,12.6
2020,SC Cambuur,11.9
2020,FC Emmen,11.1
2020,De Graafschap,9.5
2020,Telstar,7.9
2021,PSV,272.2
2021,Feyenoord,239.2
2021,Ajax,189.8
2021,AZ Alkmaar,132.0
2021,Twente,90.8
2021,Utrecht,61.9
2021,NEC,41.2
2021,Heerenveen,37.1
2021,Sparta Rotterdam,33.0
2021,Go Ahead Eagles,31.3
2021,Groningen,28.9
2021,Fortuna Sittard,24.8
2021,PEC Zwolle,23.1
2021,Heracles Almelo,20.6
2021,NAC Breda,20.6
2021,Willem II,18.1
2021,Almere City,18.1
2021,Vitesse,16.5
2021,Excelsior,14.8
2021,FC Volendam,14.8
2021,RKC Waalwijk,13.2
2021,ADO Den Haag,13.2
2021,SC Cambuur,12.4
2021,FC Emmen,11.5
2021,De Graafschap,9.9
2021,Telstar,8.2
2022,PSV,283.8
2022,Feyenoord,249.4
2022,Ajax,197.8
2022,AZ Alkmaar,137.6
2022,Twente,94.6
2022,Utrecht,64.5
2022,NEC,43.0
2022,Heerenveen,38.7
2022,Sparta Rotterdam,34.4
2022,Go Ahead Eagles,32.7
2022,Groningen,30.1
2022,Fortuna Sittard,25.8
2022,PEC Zwolle,24.1
2022,Heracles Almelo,21.5
2022,NAC Breda,21.5
2022,Willem II,18.9
2022,Almere City,18.9
2022,Vitesse,17.2
2022,Excelsior,15.5
2022,FC Volendam,15.5
2022,RKC Waalwijk,13.8
2022,ADO Den Haag,13.8
2022,SC Cambuur,12.9
2022,FC Emmen,12.0
2022,De Graafschap,10.3
2022,Telstar,8.6
2023,PSV,295.4
2023,Feyenoord,259.6
2023,Ajax,205.8
2023,AZ Alkmaar,143.2
2023,Twente,98.5
2023,Utrecht,67.1
2023,NEC,44.8
2023,Heerenveen,40.3
2023,Sparta Rotterdam,35.8
2023,Go Ahead Eagles,34.0
2023,Groningen,31.3
2023,Fortuna Sittard,26.9
2023,PEC Zwolle,25.1
2023,Heracles Almelo,22.4
2023,NAC Breda,22.4
2023,Willem II,19.7
2023,Almere City,19.7
2023,Vitesse,17.9
2023,Excelsior,16.1
2023,FC Volendam,16.1
2023,RKC Waalwijk,14.3
2023,ADO Den Haag,14.3
2023,SC Cambuur,13.4
2023,FC Emmen,12.5
2023,De Graafschap,10.7
2023,Telstar,8.9
2024,PSV,306.9
2024,Feyenoord,269.7
2024,Ajax,213.9
2024,AZ Alkmaar,148.8
2024,Twente,102.3
2024,Utrecht,69.8
2024,NEC,46.5
2024,Heerenveen,41.8
2024,Sparta Rotterdam,37.2
2024,Go Ahead Eagles,35.3
2024,Groningen,32.5
2024,Fortuna Sittard,27.9
2024,PEC Zwolle,26.0
2024,Heracles Almelo,23.2
2024,NAC Breda,23.2
2024,Willem II,20.5
2024,Almere City,20.5
2024,Vitesse,18.6
2024,Excelsior,16.7
2024,FC Volendam,16.7
2024,RKC Waalwijk,14.9
2024,ADO Den Haag,14.9
2024,SC Cambuur,13.9
2024,FC Emmen,13.0
2024,De Graafschap,11.2
2024,Telstar,9.3
2025,PSV,318.4
2025,Feyenoord,279.8
2025,Ajax,221.9
2025,AZ Alkmaar,154.4
2025,Twente,106.1
2025,Utrecht,72.4
2025,NEC,48.2
2025,Heerenveen,43.4
2025,Sparta Rotterdam,38.6
2025,Go Ahead Eagles,36.7
2025,Groningen,33.8
2025,Fortuna Sittard,28.9
2025,PEC Zwolle,27.0
2025,Heracles Almelo,24.1
2025,NAC Breda,24.1
2025,Willem II,21.2
2025,Almere City,21.2
2025,Vitesse,19.3
2025,Excelsior,17.4
2025,FC Volendam,17.4
2025,RKC Waalwijk,15.4
2025,ADO Den Haag,15.4
2025,SC Cambuur,14.5
2025,FC Emmen,13.5
2025,De Graafschap,11.6
2025,Telstar,9.7
2026,PSV,330.0
2026,Feyenoord,290.0
2026,Ajax,230.0
2026,AZ Alkmaar,160.0
2026,Twente,110.0
2026,Utrecht,75.0
2026,NEC,50.0
2026,Heerenveen,45.0
2026,Sparta Rotterdam,40.0
2026,Go Ahead Eagles,38.0
2026,Groningen,35.0
2026,Fortuna Sittard,30.0
2026,PEC Zwolle,28.0
2026,Heracles Almelo,25.0
2026,NAC Breda,25.0
2026,Willem II,22.0
2026,Almere City,22.0
2026,Vitesse,20.0
2026,Excelsior,18.0
2026,FC Volendam,18.0
2026,RKC Waalwijk,16.0
2026,ADO Den Haag,16.0
2026,SC Cambuur,15.0
2026,FC Emmen,14.0
2026,De Graafschap,12.0
2026,Telstar,10.0
