temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Bodo/Glimt,28,25.5,10,0.36,35.6,8270,7200,0.8706
2020,Molde,28,25.8,11,0.39,23.7,11249,8000,0.7112
2020,SK Brann,28,25.0,8,0.29,19.8,16750,15500,0.9254
2020,Rosenborg,28,24.5,9,0.32,19.8,21421,16000,0.7469
2020,Viking FK,28,25.2,8,0.29,17.4,15900,13000,0.8176
2020,Lillestrom,28,25.2,9,0.32,11.9,10540,7500,0.7116
2020,Vålerenga,28,25.0,10,0.36,11.9,16555,11000,0.6645
2020,Tromso,28,24.8,8,0.29,11.1,6691,4800,0.7174
2020,Fredrikstad,28,25.4,8,0.29,9.5,12500,9000,0.72
2020,Stromsgodset,28,25.6,8,0.29,9.5,8935,5200,0.582
2020,Sarpsborg FK,28,25.8,10,0.36,8.7,8022,5000,0.6233
2020,Sandefjord,28,25.2,9,0.32,7.9,6582,3800,0.5773
2020,Hamarkameratene,28,25.5,7,0.25,7.1,7800,4500,0.5769
2020,Kristiansund BK,28,25.7,7,0.25,7.1,4444,3800,0.8551
2020,Haugesund,28,25.3,8,0.29,7.1,8754,4500,0.5141
2020,KFUM Oslo,28,25.4,6,0.21,6.3,3300,2500,0.7576
2020,Odds BK,28,25.2,7,0.25,6.3,11767,5000,0.4249
2020,Aalesund,28,25.1,8,0.29,5.5,10778,5000,0.4639
2020,Stabaek,28,24.8,8,0.29,5.5,4938,3500,0.7088
2020,Bryne,28,25.0,6,0.21,5.0,4000,2200,0.55
2020,IK Start,28,25.2,7,0.25,5.0,14448,4500,0.3115
2020,Mjondalen IF,28,25.8,6,0.21,5.0,4350,2000,0.4598
2020,FK Jerv,28,25.5,7,0.25,5.0,3300,2000,0.6061
2021,Bodo/Glimt,28,25.5,10,0.36,37.1,8270,7200,0.8706
2021,Molde,28,25.8,11,0.39,24.8,11249,8000,0.7112
2021,SK Brann,28,25.0,8,0.29,20.6,16750,15500,0.9254
2021,Rosenborg,28,24.5,9,0.32,20.6,21421,16000,0.7469
2021,Viking FK,28,25.2,8,0.29,18.1,15900,13000,0.8176
2021,Lillestrom,28,25.2,9,0.32,12.4,10540,7500,0.7116
2021,Vålerenga,28,25.0,10,0.36,12.4,16555,11000,0.6645
2021,Tromso,28,24.8,8,0.29,11.5,6691,4800,0.7174
2021,Fredrikstad,28,25.4,8,0.29,9.9,12500,9000,0.72
2021,Stromsgodset,28,25.6,8,0.29,9.9,8935,5200,0.582
2021,Sarpsborg FK,28,25.8,10,0.36,9.1,8022,5000,0.6233
2021,Sandefjord,28,25.2,9,0.32,8.2,6582,3800,0.5773
2021,Hamarkameratene,28,25.5,7,0.25,7.4,7800,4500,0.5769
2021,Kristiansund BK,28,25.7,7,0.25,7.4,4444,3800,0.8551
2021,Haugesund,28,25.3,8,0.29,7.4,8754,4500,0.5141
2021,KFUM Oslo,28,25.4,6,0.21,6.6,3300,2500,0.7576
2021,Odds BK,28,25.2,7,0.25,6.6,11767,5000,0.4249
2021,Aalesund,28,25.1,8,0.29,5.8,10778,5000,0.4639
2021,Stabaek,28,24.8,8,0.29,5.8,4938,3500,0.7088
2021,Bryne,28,25.0,6,0.21,5.0,4000,2200,0.55
2021,IK Start,28,25.2,7,0.25,5.0,14448,4500,0.3115
2021,Mjondalen IF,28,25.8,6,0.21,5.0,4350,2000,0.4598
2021,FK Jerv,28,25.5,7,0.25,5.0,3300,2000,0.6061
2022,Bodo/Glimt,28,25.5,10,0.36,38.7,8270,7200,0.8706
2022,Molde,28,25.8,11,0.39,25.8,11249,8000,0.7112
2022,SK Brann,28,25.0,8,0.29,21.5,16750,15500,0.9254
2022,Rosenborg,28,24.5,9,0.32,21.5,21421,16000,0.7469
2022,Viking FK,28,25.2,8,0.29,18.9,15900,13000,0.8176
2022,Lillestrom,28,25.2,9,0.32,12.9,10540,7500,0.7116
2022,Vålerenga,28,25.0,10,0.36,12.9,16555,11000,0.6645
2022,Tromso,28,24.8,8,0.29,12.0,6691,4800,0.7174
2022,Fredrikstad,28,25.4,8,0.29,10.3,12500,9000,0.72
2022,Stromsgodset,28,25.6,8,0.29,10.3,8935,5200,0.582
2022,Sarpsborg FK,28,25.8,10,0.36,9.5,8022,5000,0.6233
2022,Sandefjord,28,25.2,9,0.32,8.6,6582,3800,0.5773
2022,Hamarkameratene,28,25.5,7,0.25,7.7,7800,4500,0.5769
2022,Kristiansund BK,28,25.7,7,0.25,7.7,4444,3800,0.8551
2022,Haugesund,28,25.3,8,0.29,7.7,8754,4500,0.5141
2022,KFUM Oslo,28,25.4,6,0.21,6.9,3300,2500,0.7576
2022,Odds BK,28,25.2,7,0.25,6.9,11767,5000,0.4249
2022,Aalesund,28,25.1,8,0.29,6.0,10778,5000,0.4639
2022,Stabaek,28,24.8,8,0.29,6.0,4938,3500,0.7088
2022,Bryne,28,25.0,6,0.21,5.2,4000,2200,0.55
2022,IK Start,28,25.2,7,0.25,5.2,14448,4500,0.3115
2022,Mjondalen IF,28,25.8,6,0.21,5.0,4350,2000,0.4598
2022,FK Jerv,28,25.5,7,0.25,5.0,3300,2000,0.6061
2023,Bodo/Glimt,28,25.5,10,0.36,40.3,8270,7200,0.8706
2023,Molde,28,25.8,11,0.39,26.9,11249,8000,0.7112
2023,SK Brann,28,25.0,8,0.29,22.4,16750,15500,0.9254
2023,Rosenborg,28,24.5,9,0.32,22.4,21421,16000,0.7469
2023,Viking FK,28,25.2,8,0.29,19.7,15900,13000,0.8176
2023,Lillestrom,28,25.2,9,0.32,13.4,10540,7500,0.7116
2023,Vålerenga,28,25.0,10,0.36,13.4,16555,11000,0.6645
2023,Tromso,28,24.8,8,0.29,12.5,6691,4800,0.7174
2023,Fredrikstad,28,25.4,8,0.29,10.7,12500,9000,0.72
