id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
3278,Aalesund,Aalesund,Aalesund,AAL,nor.aalesund,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3278.png,True
2980,Bodo/Glimt,Bodo/Glimt,Bodo/Glimt,BODO,team.bodoglimt,FCEE33,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2980.png,True
22530,Bryne,Bryne,Bryne,BRY,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/22530.png,True
18125,FK Jerv,FK Jerv,FK Jerv,JER,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/18125.png,True
3039,Fredrikstad,Fredrikstad,Fredrikstad,FRE,nor.fredrikstad,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3039.png,True
21380,Hamarkameratene,Hamarkameratene,Hamarkameratene,HAM,hamarkamaratene,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/21380.png,True
3327,Haugesund,Haugesund,Haugesund,HAUG,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/3327.png,True
6750,IK Start,IK Start,IK Start,IKS,team.ik-start,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/6750.png,True
22165,KFUM Oslo,KFUM Oslo,KFUM,KFUM,kfum_oslo,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/22165.png,True
6672,Kristiansund BK,Kristiansund BK,Kristiansund,KRI,team.kristiansund_bk.betbrain,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/6672.png,True
987,Lillestrom,Lillestrom,Lillestrom,LIL,team.lillestrom,e8e337,FF0000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/987.png,True
12098,Mjondalen IF,Mjondalen IF,Mjondalen IF,MJO,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/12098.png,True
2715,Molde,Molde,Molde,MOL,team.molde,000099,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2715.png,True
602,Odds BK,Odds BK,Odds BK,ODD,,000000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/602.png,True
438,Rosenborg,Rosenborg,Rosenborg,ROS,nor.rosenborg,ffffff,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/438.png,True
620,SK Brann,SK Brann,SK Brann,SKBR,team.sk_brann,FF0000,32CD32,https://a.espncdn.com/i/teamlogos/soccer/500/620.png,True
3279,Sandefjord,Sandefjord,Sandefjord,SAN,nor.sandefjord,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/3279.png,True
5002,Sarpsborg FK,Sarpsborg FK,Sarpsborg FK,SAR,team.sarpsborg_fk.betbrain,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5002.png,True
2554,Stabaek,Stabaek,Stabaek,STA,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/2554.png,True
9811,Stromsgodset,Stromsgodset,Stromsgodset,STR,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/9811.png,True
5270,Tromso,Tromso,Tromso,TRO,team.tromso,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5270.png,True
510,Viking FK,Viking FK,Viking FK,VIK,team.viking_fk,000080,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/510.png,True
2791,Vålerenga,Vålerenga,Valerenga,VAL,team.valerenga,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2791.png,True
