event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
600065,2021-05-09 18:00:00,2021,2980,5270,Bodo/Glimt,Tromso,3,0,post,STATUS_FULL_TIME
600066,2021-05-09 18:00:00,2021,2715,6672,Molde,Kristiansund BK,2,0,post,STATUS_FULL_TIME
600070,2021-05-09 18:00:00,2021,510,620,Viking FK,SK Brann,3,1,post,STATUS_FULL_TIME
600071,2021-05-09 20:00:00,2021,2791,438,Vålerenga,Rosenborg,1,1,post,STATUS_FULL_TIME
602366,2021-05-12 18:00:00,2021,6672,2980,Kristiansund BK,Bodo/Glimt,0,2,post,STATUS_FULL_TIME
602367,2021-05-12 20:00:00,2021,620,2791,SK Brann,Vålerenga,0,3,post,STATUS_FULL_TIME
602368,2021-05-13 18:00:00,2021,5270,2715,Tromso,Molde,3,3,post,STATUS_FULL_TIME
602369,2021-05-13 20:00:00,2021,438,510,Rosenborg,Viking FK,5,0,post,STATUS_FULL_TIME
602370,2021-05-16 15:00:00,2021,2791,6672,Vålerenga,Kristiansund BK,1,2,post,STATUS_FULL_TIME
602371,2021-05-16 15:00:00,2021,510,5270,Viking FK,Tromso,0,1,post,STATUS_FULL_TIME
602372,2021-05-16 15:00:00,2021,5002,3327,Sarpsborg FK,Haugesund,0,0,post,STATUS_FULL_TIME
602376,2021-05-16 18:00:00,2021,2980,438,Bodo/Glimt,Rosenborg,2,2,post,STATUS_FULL_TIME
602375,2021-05-16 18:00:00,2021,3279,12098,Sandefjord,Mjondalen IF,0,3,post,STATUS_FULL_TIME
602373,2021-05-16 18:00:00,2021,9811,987,Stromsgodset,Lillestrom,3,1,post,STATUS_FULL_TIME
602377,2021-05-16 20:00:00,2021,2715,620,Molde,SK Brann,4,0,post,STATUS_FULL_TIME
602374,2021-05-19 20:00:00,2021,2554,602,Stabaek,Odds BK,2,2,post,STATUS_FULL_TIME
602378,2021-05-20 20:30:00,2021,438,620,Rosenborg,SK Brann,3,2,post,STATUS_FULL_TIME
602379,2021-05-24 15:00:00,2021,602,5002,Odds BK,Sarpsborg FK,1,1,post,STATUS_FULL_TIME
602383,2021-05-24 18:00:00,2021,620,2980,SK Brann,Bodo/Glimt,1,2,post,STATUS_FULL_TIME
602385,2021-05-24 18:00:00,2021,5270,3279,Tromso,Sandefjord,1,3,post,STATUS_FULL_TIME
602380,2021-05-24 18:00:00,2021,12098,2791,Mjondalen IF,Vålerenga,1,1,post,STATUS_FULL_TIME
602381,2021-05-24 18:00:00,2021,987,510,Lillestrom,Viking FK,1,3,post,STATUS_FULL_TIME
602384,2021-05-24 18:00:00,2021,6672,9811,Kristiansund BK,Stromsgodset,1,0,post,STATUS_FULL_TIME
602382,2021-05-24 18:00:00,2021,3327,2554,Haugesund,Stabaek,0,0,post,STATUS_FULL_TIME
602386,2021-05-24 20:00:00,2021,438,2715,Rosenborg,Molde,2,3,post,STATUS_FULL_TIME
602389,2021-05-27 18:00:00,2021,9811,5270,Stromsgodset,Tromso,1,1,post,STATUS_FULL_TIME
602390,2021-05-27 18:00:00,2021,2554,620,Stabaek,SK Brann,2,0,post,STATUS_FULL_TIME
602391,2021-05-27 18:00:00,2021,5002,6672,Sarpsborg FK,Kristiansund BK,0,1,post,STATUS_FULL_TIME
602388,2021-05-27 18:00:00,2021,510,12098,Viking FK,Mjondalen IF,2,1,post,STATUS_FULL_TIME
602393,2021-05-27 18:00:00,2021,987,602,Lillestrom,Odds BK,1,0,post,STATUS_FULL_TIME
602387,2021-05-27 18:00:00,2021,2980,3327,Bodo/Glimt,Haugesund,2,0,post,STATUS_FULL_TIME
602392,2021-05-27 18:00:00,2021,3279,438,Sandefjord,Rosenborg,1,2,post,STATUS_FULL_TIME
602394,2021-05-27 20:00:00,2021,2715,2791,Molde,Vålerenga,2,3,post,STATUS_FULL_TIME
602395,2021-05-30 15:00:00,2021,12098,2715,Mjondalen IF,Molde,0,0,post,STATUS_FULL_TIME
602398,2021-05-30 18:00:00,2021,2791,3279,Vålerenga,Sandefjord,3,1,post,STATUS_FULL_TIME
602399,2021-05-30 18:00:00,2021,6672,987,Kristiansund BK,Lillestrom,1,0,post,STATUS_FULL_TIME
602397,2021-05-30 18:00:00,2021,602,2980,Odds BK,Bodo/Glimt,1,0,post,STATUS_FULL_TIME
602396,2021-05-30 18:00:00,2021,438,2554,Rosenborg,Stabaek,4,2,post,STATUS_FULL_TIME
602401,2021-05-30 18:00:00,2021,620,9811,SK Brann,Stromsgodset,3,0,post,STATUS_FULL_TIME
602400,2021-05-30 18:00:00,2021,5270,5002,Tromso,Sarpsborg FK,0,2,post,STATUS_FULL_TIME
