temporada,equipo,squad_value
2020,Bodo/Glimt,35.6
2020,Molde,23.7
2020,SK Brann,19.8
2020,Rosenborg,19.8
2020,Viking FK,17.4
2020,Lillestrom,11.9
2020,Vålerenga,11.9
2020,Tromso,11.1
2020,Fredrikstad,9.5
2020,Stromsgodset,9.5
2020,Sarpsborg FK,8.7
2020,Sandefjord,7.9
2020,Hamarkameratene,7.1
2020,Kristiansund BK,7.1
2020,Haugesund,7.1
2020,KFUM Oslo,6.3
2020,Odds BK,6.3
2020,Aalesund,5.5
2020,Stabaek,5.5
2020,Bryne,5.0
2020,IK Start,5.0
2020,Mjondalen IF,5.0
2020,FK Jerv,5.0
2021,Bodo/Glimt,37.1
2021,Molde,24.8
2021,SK Brann,20.6
2021,Rosenborg,20.6
2021,Viking FK,18.1
2021,Lillestrom,12.4
2021,Vålerenga,12.4
2021,Tromso,11.5
2021,Fredrikstad,9.9
2021,Stromsgodset,9.9
2021,Sarpsborg FK,9.1
2021,Sandefjord,8.2
2021,Hamarkameratene,7.4
2021,Kristiansund BK,7.4
2021,Haugesund,7.4
2021,KFUM Oslo,6.6
2021,Odds BK,6.6
2021,Aalesund,5.8
2021,Stabaek,5.8
2021,Bryne,5.0
2021,IK Start,5.0
2021,Mjondalen IF,5.0
2021,FK Jerv,5.0
2022,Bodo/Glimt,38.7
2022,Molde,25.8
2022,SK Brann,21.5
2022,Rosenborg,21.5
2022,Viking FK,18.9
2022,Lillestrom,12.9
2022,Vålerenga,12.9
2022,Tromso,12.0
2022,Fredrikstad,10.3
2022,Stromsgodset,10.3
2022,Sarpsborg FK,9.5
2022,Sandefjord,8.6
2022,Hamarkameratene,7.7
2022,Kristiansund BK,7.7
2022,Haugesund,7.7
2022,KFUM Oslo,6.9
2022,Odds BK,6.9
2022,Aalesund,6.0
2022,Stabaek,6.0
2022,Bryne,5.2
2022,IK Start,5.2
2022,Mjondalen IF,5.0
2022,FK Jerv,5.0
2023,Bodo/Glimt,40.3
2023,Molde,26.9
2023,SK Brann,22.4
2023,Rosenborg,22.4
2023,Viking FK,19.7
2023,Lillestrom,13.4
2023,Vålerenga,13.4
2023,Tromso,12.5
2023,Fredrikstad,10.7
2023,Stromsgodset,10.7
2023,Sarpsborg FK,9.8
2023,Sandefjord,8.9
2023,Hamarkameratene,8.1
2023,Kristiansund BK,8.1
2023,Haugesund,8.1
2023,KFUM Oslo,7.2
2023,Odds BK,7.2
2023,Aalesund,6.3
2023,Stabaek,6.3
2023,Bryne,5.4
2023,IK Start,5.4
2023,Mjondalen IF,5.0
2023,FK Jerv,5.0
2024,Bodo/Glimt,41.8
2024,Molde,27.9
2024,SK Brann,23.2
2024,Rosenborg,23.2
2024,Viking FK,20.5
2024,Lillestrom,13.9
2024,Vålerenga,13.9
2024,Tromso,13.0
2024,Fredrikstad,11.2
2024,Stromsgodset,11.2
2024,Sarpsborg FK,10.2
2024,Sandefjord,9.3
2024,Hamarkameratene,8.4
2024,Kristiansund BK,8.4
2024,Haugesund,8.4
2024,KFUM Oslo,7.4
2024,Odds BK,7.4
2024,Aalesund,6.5
2024,Stabaek,6.5
2024,Bryne,5.6
2024,IK Start,5.6
2024,Mjondalen IF,5.0
2024,FK Jerv,5.0
2025,Bodo/Glimt,43.4
2025,Molde,28.9
2025,SK Brann,24.1
2025,Rosenborg,24.1
2025,Viking FK,21.2
2025,Lillestrom,14.5
2025,Vålerenga,14.5
2025,Tromso,13.5
2025,Fredrikstad,11.6
2025,Stromsgodset,11.6
2025,Sarpsborg FK,10.6
2025,Sandefjord,9.7
2025,Hamarkameratene,8.7
2025,Kristiansund BK,8.7
2025,Haugesund,8.7
2025,KFUM Oslo,7.7
2025,Odds BK,7.7
2025,Aalesund,6.8
2025,Stabaek,6.8
2025,Bryne,5.8
2025,IK Start,5.8
2025,Mjondalen IF,5.0
2025,FK Jerv,5.0
2026,Bodo/Glimt,45.0
2026,Molde,30.0
2026,SK Brann,25.0
2026,Rosenborg,25.0
2026,Viking FK,22.0
2026,Lillestrom,15.0
2026,Vålerenga,15.0
2026,Tromso,14.0
2026,Fredrikstad,12.0
2026,Stromsgodset,12.0
2026,Sarpsborg FK,11.0
2026,Sandefjord,10.0
2026,Hamarkameratene,9.0
2026,Kristiansund BK,9.0
2026,Haugesund,9.0
2026,KFUM Oslo,8.0
2026,Odds BK,8.0
2026,Aalesund,7.0
2026,Stabaek,7.0
2026,Bryne,6.0
2026,IK Start,6.0
2026,Mjondalen IF,5.0
2026,FK Jerv,5.0
2027,Bodo/Glimt,46.6
2027,Molde,31.0
2027,SK Brann,25.9
2027,Rosenborg,25.9
2027,Viking FK,22.8
2027,Lillestrom,15.5
2027,Vålerenga,15.5
2027,Tromso,14.5
2027,Fredrikstad,12.4
2027,Stromsgodset,12.4
2027,Sarpsborg FK,11.4
2027,Sandefjord,10.3
2027,Hamarkameratene,9.3
2027,Kristiansund BK,9.3
2027,Haugesund,9.3
2027,KFUM Oslo,8.3
2027,Odds BK,8.3
2027,Aalesund,7.2
2027,Stabaek,7.2
2027,Bryne,6.2
2027,IK Start,6.2
2027,Mjondalen IF,5.2
2027,FK Jerv,5.2
