grupo,equipo_1,equipo_2,cancha,P(gana 1),P(empate),P(gana 2),goles_esp_1,goles_esp_2
A,Mexico,Czech Republic,anfitrión,0.488,0.325,0.187,1.35,0.91
A,Czech Republic,South Africa,neutral,0.512,0.303,0.185,1.43,0.85
A,Czech Republic,South Korea,neutral,0.36,0.329,0.31,1.16,1.05
A,Mexico,South Africa,anfitrión,0.725,0.214,0.06,1.96,0.62
A,Mexico,South Korea,anfitrión,0.55,0.289,0.161,1.46,0.83
A,South Africa,South Korea,neutral,0.169,0.295,0.535,0.84,1.46
B,Canada,Bosnia and Herzegovina,anfitrión,0.622,0.264,0.114,1.6,0.76
B,Bosnia and Herzegovina,Qatar,neutral,0.439,0.32,0.242,1.29,0.95
B,Bosnia and Herzegovina,Switzerland,neutral,0.161,0.29,0.549,0.77,1.59
B,Canada,Qatar,anfitrión,0.778,0.182,0.04,2.19,0.56
B,Canada,Switzerland,anfitrión,0.423,0.3,0.276,1.11,1.09
B,Qatar,Switzerland,neutral,0.074,0.221,0.705,0.59,2.06
C,Brazil,Haiti,neutral,0.843,0.136,0.022,2.79,0.44
C,Brazil,Morocco,neutral,0.478,0.312,0.21,1.36,0.9
C,Brazil,Scotland,neutral,0.602,0.272,0.126,1.68,0.73
C,Haiti,Morocco,neutral,0.093,0.243,0.664,0.67,1.83
C,Haiti,Scotland,neutral,0.162,0.291,0.547,0.83,1.48
C,Morocco,Scotland,neutral,0.571,0.286,0.144,1.61,0.76
D,Australia,Paraguay,neutral,0.317,0.329,0.354,1.09,1.12
D,Australia,Turkey,neutral,0.181,0.3,0.519,0.87,1.41
D,United States,Australia,anfitrión,0.407,0.325,0.269,1.05,1.16
D,Paraguay,Turkey,neutral,0.25,0.321,0.429,0.97,1.26
D,United States,Paraguay,anfitrión,0.374,0.327,0.299,1.02,1.2
D,United States,Turkey,anfitrión,0.269,0.305,0.426,0.87,1.41
E,Curaçao,Ecuador,neutral,0.06,0.206,0.733,0.54,2.25
E,Curaçao,Germany,neutral,0.056,0.199,0.746,0.55,2.22
E,Curaçao,Ivory Coast,neutral,0.126,0.27,0.605,0.71,1.71
E,Ecuador,Germany,neutral,0.239,0.319,0.442,0.98,1.25
E,Ecuador,Ivory Coast,neutral,0.495,0.308,0.197,1.46,0.84
E,Germany,Ivory Coast,neutral,0.511,0.303,0.186,1.44,0.85
F,Japan,Netherlands,neutral,0.246,0.321,0.433,0.95,1.29
F,Japan,Sweden,neutral,0.527,0.297,0.175,1.54,0.79
F,Japan,Tunisia,neutral,0.616,0.266,0.119,1.71,0.71
F,Netherlands,Sweden,neutral,0.583,0.278,0.139,1.69,0.72
F,Netherlands,Tunisia,neutral,0.68,0.235,0.084,1.93,0.63
F,Sweden,Tunisia,neutral,0.406,0.326,0.268,1.19,1.03
G,Belgium,Egypt,neutral,0.501,0.305,0.194,1.42,0.86
G,Belgium,Iran,neutral,0.498,0.306,0.196,1.33,0.92
G,Belgium,New Zealand,neutral,0.63,0.258,0.111,1.72,0.71
G,Egypt,Iran,neutral,0.307,0.329,0.365,1.0,1.22
G,Egypt,New Zealand,neutral,0.467,0.315,0.219,1.34,0.91
G,Iran,New Zealand,neutral,0.528,0.298,0.174,1.55,0.79
H,Cape Verde,Saudi Arabia,neutral,0.297,0.328,0.374,1.05,1.17
H,Cape Verde,Spain,neutral,0.024,0.137,0.84,0.41,2.97
H,Cape Verde,Uruguay,neutral,0.101,0.251,0.648,0.65,1.86
H,Saudi Arabia,Spain,neutral,0.019,0.123,0.859,0.38,3.19
H,Saudi Arabia,Uruguay,neutral,0.12,0.266,0.613,0.69,1.76
H,Spain,Uruguay,neutral,0.648,0.25,0.102,1.84,0.66
I,France,Iraq,neutral,0.759,0.19,0.051,2.23,0.55
I,France,Norway,neutral,0.473,0.313,0.213,1.36,0.9
I,France,Senegal,neutral,0.507,0.304,0.189,1.46,0.84
I,Iraq,Norway,neutral,0.098,0.246,0.656,0.67,1.81
I,Iraq,Senegal,neutral,0.143,0.28,0.576,0.78,1.56
I,Norway,Senegal,neutral,0.386,0.327,0.287,1.21,1.0
J,Algeria,Argentina,neutral,0.094,0.246,0.66,0.64,1.91
J,Algeria,Austria,neutral,0.256,0.323,0.42,0.97,1.26
J,Algeria,Jordan,neutral,0.639,0.256,0.105,1.73,0.7
J,Argentina,Austria,neutral,0.679,0.237,0.084,1.97,0.62
J,Argentina,Jordan,neutral,0.781,0.177,0.042,2.41,0.51
J,Austria,Jordan,neutral,0.552,0.29,0.159,1.51,0.81
K,Colombia,DR Congo,neutral,0.623,0.262,0.116,1.8,0.68
K,Colombia,Portugal,neutral,0.293,0.328,0.379,1.05,1.16
K,Colombia,Uzbekistan,neutral,0.607,0.269,0.124,1.67,0.73
K,DR Congo,Portugal,neutral,0.095,0.243,0.662,0.64,1.89
K,DR Congo,Uzbekistan,neutral,0.319,0.329,0.351,1.03,1.19
K,Portugal,Uzbekistan,neutral,0.647,0.25,0.102,1.76,0.69
L,Croatia,England,neutral,0.191,0.305,0.504,0.86,1.42
L,Croatia,Ghana,neutral,0.674,0.237,0.088,2.0,0.61
L,Croatia,Panama,neutral,0.524,0.299,0.177,1.43,0.85
L,England,Ghana,neutral,0.774,0.181,0.045,2.47,0.49
L,England,Panama,neutral,0.78,0.179,0.041,2.31,0.53
L,Ghana,Panama,neutral,0.195,0.306,0.499,0.79,1.54
