grupo,equipo_1,equipo_2,cancha,P(gana 1),P(empate),P(gana 2),goles_esp_1,goles_esp_2
A,Mexico,Czech Republic,anfitrión,0.379,0.281,0.34,1.08,1.36
A,Czech Republic,South Africa,neutral,0.366,0.281,0.353,1.22,1.2
A,Czech Republic,South Korea,neutral,0.589,0.244,0.167,1.95,0.75
A,Mexico,South Africa,anfitrión,0.384,0.285,0.33,1.08,1.35
A,Mexico,South Korea,anfitrión,0.61,0.242,0.148,1.74,0.84
A,South Africa,South Korea,neutral,0.582,0.246,0.171,1.94,0.76
B,Canada,Bosnia and Herzegovina,anfitrión,0.35,0.269,0.381,1.02,1.44
B,Bosnia and Herzegovina,Qatar,neutral,0.636,0.228,0.137,2.1,0.7
B,Bosnia and Herzegovina,Switzerland,neutral,0.371,0.28,0.349,1.24,1.18
B,Canada,Qatar,anfitrión,0.618,0.246,0.136,1.77,0.83
B,Canada,Switzerland,anfitrión,0.361,0.269,0.37,1.04,1.4
B,Qatar,Switzerland,neutral,0.143,0.231,0.626,0.72,2.05
C,Brazil,Haiti,neutral,0.589,0.244,0.168,1.91,0.77
C,Brazil,Morocco,neutral,0.359,0.281,0.36,1.2,1.23
C,Brazil,Scotland,neutral,0.325,0.28,0.395,1.13,1.3
C,Haiti,Morocco,neutral,0.167,0.244,0.589,0.76,1.94
C,Haiti,Scotland,neutral,0.145,0.233,0.622,0.72,2.05
C,Morocco,Scotland,neutral,0.326,0.28,0.395,1.14,1.28
D,Australia,Paraguay,neutral,0.362,0.281,0.358,1.22,1.2
D,Australia,Turkey,neutral,0.238,0.267,0.495,0.95,1.55
D,United States,Australia,anfitrión,0.477,0.283,0.24,1.31,1.12
D,Paraguay,Turkey,neutral,0.236,0.266,0.497,0.94,1.56
D,United States,Paraguay,anfitrión,0.48,0.281,0.239,1.31,1.12
D,United States,Turkey,anfitrión,0.351,0.267,0.382,1.02,1.43
E,Curaçao,Ecuador,neutral,0.219,0.264,0.517,0.86,1.71
E,Curaçao,Germany,neutral,0.133,0.226,0.641,0.68,2.16
E,Curaçao,Ivory Coast,neutral,0.096,0.201,0.703,0.59,2.5
E,Ecuador,Germany,neutral,0.242,0.268,0.49,0.96,1.53
E,Ecuador,Ivory Coast,neutral,0.185,0.25,0.565,0.83,1.78
E,Germany,Ivory Coast,neutral,0.289,0.276,0.435,1.04,1.4
F,Japan,Netherlands,neutral,0.245,0.269,0.486,0.95,1.55
F,Japan,Sweden,neutral,0.516,0.263,0.221,1.64,0.89
F,Japan,Tunisia,neutral,0.394,0.28,0.326,1.3,1.12
F,Netherlands,Sweden,neutral,0.636,0.228,0.137,2.1,0.7
F,Netherlands,Tunisia,neutral,0.52,0.262,0.218,1.67,0.88
F,Sweden,Tunisia,neutral,0.249,0.269,0.481,0.96,1.52
G,Belgium,Egypt,neutral,0.684,0.208,0.107,2.3,0.64
G,Belgium,Iran,neutral,0.674,0.213,0.113,2.27,0.65
G,Belgium,New Zealand,neutral,0.708,0.198,0.094,2.45,0.6
G,Egypt,Iran,neutral,0.348,0.281,0.371,1.2,1.23
G,Egypt,New Zealand,neutral,0.39,0.28,0.33,1.29,1.14
G,Iran,New Zealand,neutral,0.402,0.279,0.319,1.31,1.12
H,Cape Verde,Saudi Arabia,neutral,0.35,0.281,0.369,1.18,1.24
H,Cape Verde,Spain,neutral,0.118,0.216,0.665,0.65,2.25
H,Cape Verde,Uruguay,neutral,0.424,0.277,0.299,1.37,1.07
H,Saudi Arabia,Spain,neutral,0.123,0.219,0.658,0.67,2.2
H,Saudi Arabia,Uruguay,neutral,0.434,0.276,0.29,1.41,1.04
H,Spain,Uruguay,neutral,0.717,0.194,0.089,2.56,0.57
I,France,Iraq,neutral,0.644,0.225,0.132,2.13,0.69
I,France,Norway,neutral,0.251,0.27,0.48,0.97,1.52
I,France,Senegal,neutral,0.381,0.281,0.338,1.29,1.14
I,Iraq,Norway,neutral,0.078,0.184,0.739,0.55,2.66
I,Iraq,Senegal,neutral,0.144,0.231,0.625,0.74,1.99
I,Norway,Senegal,neutral,0.501,0.266,0.233,1.62,0.91
J,Algeria,Argentina,neutral,0.389,0.28,0.331,1.28,1.15
J,Algeria,Austria,neutral,0.345,0.28,0.374,1.18,1.24
J,Algeria,Jordan,neutral,0.661,0.218,0.121,2.25,0.65
J,Argentina,Austria,neutral,0.317,0.279,0.404,1.12,1.31
J,Argentina,Jordan,neutral,0.635,0.228,0.137,2.14,0.69
J,Austria,Jordan,neutral,0.674,0.213,0.113,2.32,0.63
K,Colombia,DR Congo,neutral,0.501,0.266,0.233,1.59,0.92
K,Colombia,Portugal,neutral,0.172,0.245,0.583,0.79,1.85
K,Colombia,Uzbekistan,neutral,0.437,0.276,0.287,1.41,1.04
K,DR Congo,Portugal,neutral,0.096,0.2,0.705,0.6,2.43
K,DR Congo,Uzbekistan,neutral,0.3,0.278,0.422,1.07,1.37
K,Portugal,Uzbekistan,neutral,0.653,0.221,0.126,2.16,0.68
L,Croatia,England,neutral,0.309,0.279,0.412,1.08,1.35
L,Croatia,Ghana,neutral,0.615,0.235,0.15,2.01,0.73
L,Croatia,Panama,neutral,0.53,0.259,0.21,1.69,0.87
L,England,Ghana,neutral,0.661,0.218,0.121,2.25,0.65
L,England,Panama,neutral,0.581,0.246,0.173,1.89,0.78
L,Ghana,Panama,neutral,0.277,0.275,0.448,1.02,1.44
