Selección,grupo,P_campeon,P_final,P_semi,P_octavos
Spain,H,0.2757,0.3985,0.5291,0.8177
Argentina,J,0.1847,0.3097,0.4474,0.7102
France,I,0.1121,0.2035,0.3709,0.7524
England,L,0.0892,0.1648,0.2938,0.7083
Brazil,C,0.0661,0.1372,0.2769,0.6739
Portugal,K,0.038,0.0963,0.1916,0.6198
Colombia,K,0.0363,0.0875,0.1709,0.58
Germany,E,0.0263,0.0674,0.1666,0.6239
Netherlands,F,0.0244,0.0645,0.1598,0.508
Ecuador,E,0.0191,0.0531,0.1357,0.5695
Morocco,C,0.0145,0.0418,0.1186,0.4718
Uruguay,H,0.0135,0.0414,0.0929,0.3568
Japan,F,0.0123,0.034,0.0956,0.4198
Norway,I,0.0122,0.0368,0.0999,0.4543
Turkey,D,0.0112,0.0353,0.0912,0.5235
Croatia,L,0.0109,0.0325,0.0894,0.4381
Mexico,A,0.0105,0.0322,0.1018,0.5762
Belgium,G,0.0103,0.0315,0.0841,0.5197
Switzerland,B,0.0093,0.0289,0.0829,0.5507
Senegal,I,0.0049,0.0168,0.0498,0.3553
Paraguay,D,0.0043,0.0125,0.0437,0.3725
Austria,J,0.0021,0.0072,0.0263,0.1993
Australia,D,0.0019,0.0088,0.0292,0.293
Canada,B,0.0018,0.0099,0.0374,0.4565
South Korea,A,0.0016,0.0082,0.0353,0.3857
Algeria,J,0.0013,0.0054,0.02,0.1805
Scotland,C,0.0011,0.004,0.0209,0.1935
Iran,G,0.0011,0.0079,0.028,0.3556
Ivory Coast,E,0.0007,0.0039,0.0144,0.2499
Czech Republic,A,0.0005,0.0044,0.0201,0.31
Egypt,G,0.0005,0.0031,0.0116,0.2474
DR Congo,K,0.0004,0.001,0.0052,0.1007
United States,D,0.0004,0.0039,0.017,0.2401
Sweden,F,0.0003,0.0016,0.0096,0.1542
Panama,L,0.0002,0.0014,0.0093,0.1622
Uzbekistan,K,0.0002,0.0016,0.0074,0.1427
Tunisia,F,0.0001,0.0006,0.0031,0.0849
Ghana,L,0.0,0.0001,0.0006,0.0301
South Africa,A,0.0,0.0,0.0015,0.0752
Bosnia and Herzegovina,B,0.0,0.0,0.0011,0.1064
Qatar,B,0.0,0.0,0.0002,0.0387
Saudi Arabia,H,0.0,0.0,0.0013,0.0546
Haiti,C,0.0,0.0002,0.001,0.0438
Cape Verde,H,0.0,0.0,0.0011,0.044
Curaçao,E,0.0,0.0001,0.0001,0.0289
Iraq,I,0.0,0.0002,0.0022,0.0751
New Zealand,G,0.0,0.0,0.0014,0.0894
Jordan,J,0.0,0.0003,0.0021,0.0552
