Selección,grupo,P_campeon,P_final,P_semi,P_octavos
Belgium,G,0.2444,0.3484,0.4793,0.8231
Norway,I,0.1174,0.1929,0.3432,0.7188
Portugal,K,0.1002,0.1916,0.3047,0.7271
Ivory Coast,E,0.0839,0.1483,0.279,0.6821
Spain,H,0.0577,0.1119,0.1967,0.5708
Austria,J,0.0555,0.117,0.2103,0.5991
England,L,0.0468,0.111,0.206,0.6598
Algeria,J,0.0423,0.0931,0.1863,0.562
Netherlands,F,0.0305,0.0663,0.1469,0.5253
Argentina,J,0.0259,0.0652,0.138,0.4977
Germany,E,0.0257,0.0662,0.151,0.5182
Scotland,C,0.0252,0.0601,0.1402,0.5309
France,I,0.0214,0.0552,0.1253,0.4572
Croatia,L,0.0193,0.0512,0.115,0.5453
Morocco,C,0.0135,0.0365,0.105,0.4681
Brazil,C,0.0128,0.0357,0.0928,0.4363
Bosnia and Herzegovina,B,0.0115,0.0292,0.0842,0.4856
South Africa,A,0.0115,0.0324,0.0843,0.4552
Senegal,I,0.0113,0.0319,0.0833,0.3909
Czech Republic,A,0.0104,0.0289,0.0836,0.4536
Turkey,D,0.0075,0.0237,0.0627,0.4477
Switzerland,B,0.0071,0.0239,0.0692,0.4533
Ecuador,E,0.003,0.0093,0.0331,0.2623
Japan,F,0.003,0.0105,0.0364,0.2876
Mexico,A,0.0026,0.0101,0.0402,0.3254
Colombia,K,0.0016,0.0079,0.026,0.2853
Canada,B,0.0015,0.0062,0.0229,0.2979
Egypt,G,0.0013,0.005,0.0178,0.2253
United States,D,0.0011,0.0052,0.0234,0.2749
Tunisia,F,0.0008,0.0047,0.0187,0.2222
Australia,D,0.0007,0.0037,0.0135,0.2058
Iran,G,0.0006,0.0046,0.0198,0.2412
Panama,L,0.0005,0.0031,0.0119,0.1878
Paraguay,D,0.0005,0.0022,0.0122,0.1948
Uzbekistan,K,0.0003,0.0012,0.007,0.1478
New Zealand,G,0.0002,0.0023,0.0101,0.1659
Saudi Arabia,H,0.0002,0.0016,0.0058,0.0996
Cape Verde,H,0.0002,0.0008,0.0043,0.0835
Jordan,J,0.0001,0.0001,0.0003,0.027
Curaçao,E,0.0,0.0001,0.0008,0.0354
Sweden,F,0.0,0.0003,0.0026,0.0698
DR Congo,K,0.0,0.0001,0.0006,0.0762
Qatar,B,0.0,0.0001,0.0005,0.044
Haiti,C,0.0,0.0,0.0012,0.0483
Iraq,I,0.0,0.0001,0.0006,0.0303
South Korea,A,0.0,0.0,0.001,0.0475
Ghana,L,0.0,0.0,0.0013,0.0667
Uruguay,H,0.0,0.0002,0.001,0.0394
