Selección,grupo,P_campeon,P_final,P_semi,P_octavos
Belgium,G,0.2151,0.3052,0.4283,0.7896
Norway,I,0.1058,0.1779,0.2992,0.662
Portugal,K,0.0893,0.1667,0.2722,0.6789
Ivory Coast,E,0.0825,0.1454,0.2596,0.6267
Spain,H,0.0579,0.1089,0.1944,0.5466
Austria,J,0.0517,0.1084,0.1907,0.5627
England,L,0.0471,0.1008,0.1909,0.6264
Algeria,J,0.0433,0.0907,0.1692,0.5381
Netherlands,F,0.0292,0.0637,0.1403,0.5118
Germany,E,0.0288,0.0662,0.1438,0.4945
Argentina,J,0.0266,0.0617,0.1297,0.4763
Scotland,C,0.0258,0.0593,0.1321,0.5
France,I,0.0213,0.0475,0.1129,0.4379
Croatia,L,0.0203,0.0525,0.1162,0.5306
Mexico,A,0.0185,0.042,0.1021,0.4461
Brazil,C,0.0172,0.0425,0.1036,0.436
Morocco,C,0.0155,0.0383,0.0951,0.4231
Senegal,I,0.0139,0.0355,0.091,0.3967
Czech Republic,A,0.0127,0.0327,0.0842,0.4114
Turkey,D,0.012,0.0318,0.0742,0.4252
South Africa,A,0.0114,0.0315,0.083,0.3959
Bosnia and Herzegovina,B,0.0109,0.033,0.0798,0.4397
United States,D,0.009,0.0275,0.0692,0.4029
Switzerland,B,0.0084,0.0256,0.0708,0.4139
Canada,B,0.0082,0.0227,0.0655,0.4125
Ecuador,E,0.0035,0.0116,0.0364,0.2581
Japan,F,0.0028,0.0124,0.0399,0.2952
Colombia,K,0.0025,0.0088,0.0321,0.286
Iran,G,0.0016,0.0081,0.0266,0.2354
Tunisia,F,0.0014,0.0065,0.0269,0.2461
Egypt,G,0.0013,0.0068,0.0237,0.2188
Australia,D,0.0012,0.0052,0.0173,0.1908
New Zealand,G,0.0009,0.0053,0.0171,0.1805
Panama,L,0.0008,0.0043,0.0163,0.2036
Paraguay,D,0.0005,0.0039,0.0136,0.1874
Uzbekistan,K,0.0003,0.0027,0.0094,0.1677
Saudi Arabia,H,0.0002,0.0015,0.0083,0.1298
Sweden,F,0.0002,0.0008,0.0036,0.0942
Haiti,C,0.0001,0.0004,0.0029,0.065
Uruguay,H,0.0001,0.0006,0.0026,0.065
Curaçao,E,0.0001,0.0003,0.0032,0.0635
Iraq,I,0.0001,0.0002,0.0011,0.0423
Qatar,B,0.0,0.0,0.0012,0.0499
Jordan,J,0.0,0.0003,0.002,0.0548
Cape Verde,H,0.0,0.0008,0.0067,0.1153
DR Congo,K,0.0,0.0005,0.0039,0.1
South Korea,A,0.0,0.0004,0.0034,0.0687
Ghana,L,0.0,0.0006,0.0038,0.0964
