temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Sporting CP,28,25.2,17,0.61,323.9,50095,40000,0.7985
2020,Benfica,28,25.6,18,0.64,284.4,64642,56000,0.8663
2020,Porto,28,25.5,17,0.61,268.6,50033,42000,0.8394
2020,Braga,28,25.8,16,0.57,110.6,30286,17000,0.5613
2020,Vitoria de Guimaraes,28,25.0,15,0.54,51.4,30000,18000,0.6
2020,Famalicao,28,24.5,17,0.61,39.5,5186,4200,0.8099
2020,Arouca,28,26.2,15,0.54,30.0,5000,2500,0.5
2020,Rio Ave,28,25.7,15,0.54,27.7,9065,3800,0.4192
2020,Gil Vicente,28,25.4,15,0.54,25.3,12504,4500,0.3599
2020,Moreirense,28,25.9,14,0.5,25.3,6153,3000,0.4876
2020,Estoril,28,24.8,16,0.57,23.7,8015,3200,0.3993
2020,Casa Pia,28,26.5,14,0.5,22.1,7000,2500,0.3571
2020,Santa Clara,28,25.8,17,0.61,22.1,13277,5500,0.4143
2020,Boavista,28,26.8,14,0.5,20.5,28263,8000,0.2831
2020,Farense,28,27.0,13,0.46,19.0,7000,5000,0.7143
2020,Portimonense,28,26.0,18,0.64,17.4,6000,3000,0.5
2020,Estrela,28,26.2,15,0.54,17.4,9288,4000,0.4307
2020,Nacional,28,25.5,15,0.54,17.4,5132,2500,0.4871
2020,Vizela,28,25.8,15,0.54,15.8,6000,3500,0.5833
2020,AVS,28,26.8,13,0.46,15.8,5000,2500,0.5
2020,Maritimo,28,26.2,16,0.57,15.8,10600,6000,0.566
2020,Chaves,28,26.5,14,0.5,14.2,8400,3000,0.3571
2020,GD Chaves,28,26.5,14,0.5,14.2,8400,3000,0.3571
2020,Pacos de Ferreira,28,26.4,13,0.46,14.2,9076,3500,0.3856
2020,Belenenses,28,26.0,13,0.46,11.9,19856,4000,0.2015
2020,Tondela,28,26.1,12,0.43,11.1,5000,2500,0.5
2020,Academico de Viseu,28,25.5,11,0.39,9.5,7744,2500,0.3228
2020,Alverca,28,25.2,10,0.36,7.9,7705,2000,0.2596
2021,Sporting CP,28,25.2,17,0.61,338.2,50095,40000,0.7985
2021,Benfica,28,25.6,18,0.64,297.0,64642,56000,0.8663
2021,Porto,28,25.5,17,0.61,280.5,50033,42000,0.8394
2021,Braga,28,25.8,16,0.57,115.5,30286,17000,0.5613
2021,Vitoria de Guimaraes,28,25.0,15,0.54,53.6,30000,18000,0.6
2021,Famalicao,28,24.5,17,0.61,41.2,5186,4200,0.8099
2021,Arouca,28,26.2,15,0.54,31.3,5000,2500,0.5
2021,Rio Ave,28,25.7,15,0.54,28.9,9065,3800,0.4192
2021,Gil Vicente,28,25.4,15,0.54,26.4,12504,4500,0.3599
2021,Moreirense,28,25.9,14,0.5,26.4,6153,3000,0.4876
2021,Estoril,28,24.8,16,0.57,24.8,8015,3200,0.3993
2021,Casa Pia,28,26.5,14,0.5,23.1,7000,2500,0.3571
2021,Santa Clara,28,25.8,17,0.61,23.1,13277,5500,0.4143
2021,Boavista,28,26.8,14,0.5,21.4,28263,8000,0.2831
2021,Farense,28,27.0,13,0.46,19.8,7000,5000,0.7143
2021,Portimonense,28,26.0,18,0.64,18.1,6000,3000,0.5
2021,Estrela,28,26.2,15,0.54,18.1,9288,4000,0.4307
2021,Nacional,28,25.5,15,0.54,18.1,5132,2500,0.4871
2021,Vizela,28,25.8,15,0.54,16.5,6000,3500,0.5833
2021,AVS,28,26.8,13,0.46,16.5,5000,2500,0.5
2021,Maritimo,28,26.2,16,0.57,16.5,10600,6000,0.566
2021,Chaves,28,26.5,14,0.5,14.8,8400,3000,0.3571
2021,GD Chaves,28,26.5,14,0.5,14.8,8400,3000,0.3571
2021,Pacos de Ferreira,28,26.4,13,0.46,14.8,9076,3500,0.3856
2021,Belenenses,28,26.0,13,0.46,12.4,19856,4000,0.2015
2021,Tondela,28,26.1,12,0.43,11.5,5000,2500,0.5
2021,Academico de Viseu,28,25.5,11,0.39,9.9,7744,2500,0.3228
2021,Alverca,28,25.2,10,0.36,8.2,7705,2000,0.2596
2022,Sporting CP,28,25.2,17,0.61,352.6,50095,40000,0.7985
2022,Benfica,28,25.6,18,0.64,309.6,64642,56000,0.8663
2022,Porto,28,25.5,17,0.61,292.4,50033,42000,0.8394
2022,Braga,28,25.8,16,0.57,120.4,30286,17000,0.5613
2022,Vitoria de Guimaraes,28,25.0,15,0.54,55.9,30000,18000,0.6
2022,Famalicao,28,24.5,17,0.61,43.0,5186,4200,0.8099
2022,Arouca,28,26.2,15,0.54,32.7,5000,2500,0.5
2022,Rio Ave,28,25.7,15,0.54,30.1,9065,3800,0.4192
2022,Gil Vicente,28,25.4,15,0.54,27.5,12504,4500,0.3599
2022,Moreirense,28,25.9,14,0.5,27.5,6153,3000,0.4876
2022,Estoril,28,24.8,16,0.57,25.8,8015,3200,0.3993
2022,Casa Pia,28,26.5,14,0.5,24.1,7000,2500,0.3571
2022,Santa Clara,28,25.8,17,0.61,24.1,13277,5500,0.4143
2022,Boavista,28,26.8,14,0.5,22.4,28263,8000,0.2831
2022,Farense,28,27.0,13,0.46,20.6,7000,5000,0.7143
2022,Portimonense,28,26.0,18,0.64,18.9,6000,3000,0.5
2022,Estrela,28,26.2,15,0.54,18.9,9288,4000,0.4307
2022,Nacional,28,25.5,15,0.54,18.9,5132,2500,0.4871
2022,Vizela,28,25.8,15,0.54,17.2,6000,3500,0.5833
2022,AVS,28,26.8,13,0.46,17.2,5000,2500,0.5
2022,Maritimo,28,26.2,16,0.57,17.2,10600,6000,0.566
2022,Chaves,28,26.5,14,0.5,15.5,8400,3000,0.3571
2022,GD Chaves,28,26.5,14,0.5,15.5,8400,3000,0.3571
2022,Pacos de Ferreira,28,26.4,13,0.46,15.5,9076,3500,0.3856
2022,Belenenses,28,26.0,13,0.46,12.9,19856,4000,0.2015
2022,Tondela,28,26.1,12,0.43,12.0,5000,2500,0.5
2022,Academico de Viseu,28,25.5,11,0.39,10.3,7744,2500,0.3228
2022,Alverca,28,25.2,10,0.36,8.6,7705,2000,0.2596
2023,Sporting CP,28,25.2,17,0.61,366.9,50095,40000,0.7985
2023,Benfica,28,25.6,18,0.64,322.2,64642,56000,0.8663
2023,Porto,28,25.5,17,0.61,304.3,50033,42000,0.8394
2023,Braga,28,25.8,16,0.57,125.3,30286,17000,0.5613
2023,Vitoria de Guimaraes,28,25.0,15,0.54,58.2,30000,18000,0.6
2023,Famalicao,28,24.5,17,0.61,44.8,5186,4200,0.8099
2023,Arouca,28,26.2,15,0.54,34.0,5000,2500,0.5
2023,Rio Ave,28,25.7,15,0.54,31.3,9065,3800,0.4192
2023,Gil Vicente,28,25.4,15,0.54,28.6,12504,4500,0.3599
2023,Moreirense,28,25.9,14,0.5,28.6,6153,3000,0.4876
2023,Estoril,28,24.8,16,0.57,26.9,8015,3200,0.3993
2023,Casa Pia,28,26.5,14,0.5,25.1,7000,2500,0.3571
2023,Santa Clara,28,25.8,17,0.61,25.1,13277,5500,0.4143
2023,Boavista,28,26.8,14,0.5,23.3,28263,8000,0.2831
2023,Farense,28,27.0,13,0.46,21.5,7000,5000,0.7143
2023,Portimonense,28,26.0,18,0.64,19.7,6000,3000,0.5
2023,Estrela,28,26.2,15,0.54,19.7,9288,4000,0.4307
2023,Nacional,28,25.5,15,0.54,19.7,5132,2500,0.4871
2023,Vizela,28,25.8,15,0.54,17.9,6000,3500,0.5833
2023,AVS,28,26.8,13,0.46,17.9,5000,2500,0.5
2023,Maritimo,28,26.2,16,0.57,17.9,10600,6000,0.566
2023,Chaves,28,26.5,14,0.5,16.1,8400,3000,0.3571
2023,GD Chaves,28,26.5,14,0.5,16.1,8400,3000,0.3571
2023,Pacos de Ferreira,28,26.4,13,0.46,16.1,9076,3500,0.3856
2023,Belenenses,28,26.0,13,0.46,13.4,19856,4000,0.2015
2023,Tondela,28,26.1,12,0.43,12.5,5000,2500,0.5
2023,Academico de Viseu,28,25.5,11,0.39,10.7,7744,2500,0.3228
2023,Alverca,28,25.2,10,0.36,8.9,7705,2000,0.2596
2024,Sporting CP,28,25.2,17,0.61,381.3,50095,40000,0.7985
2024,Benfica,28,25.6,18,0.64,334.8,64642,56000,0.8663
2024,Porto,28,25.5,17,0.61,316.2,50033,42000,0.8394
2024,Braga,28,25.8,16,0.57,130.2,30286,17000,0.5613
2024,Vitoria de Guimaraes,28,25.0,15,0.54,60.4,30000,18000,0.6
2024,Famalicao,28,24.5,17,0.61,46.5,5186,4200,0.8099
2024,Arouca,28,26.2,15,0.54,35.3,5000,2500,0.5
2024,Rio Ave,28,25.7,15,0.54,32.5,9065,3800,0.4192
2024,Gil Vicente,28,25.4,15,0.54,29.8,12504,4500,0.3599
2024,Moreirense,28,25.9,14,0.5,29.8,6153,3000,0.4876
2024,Estoril,28,24.8,16,0.57,27.9,8015,3200,0.3993
2024,Casa Pia,28,26.5,14,0.5,26.0,7000,2500,0.3571
2024,Santa Clara,28,25.8,17,0.61,26.0,13277,5500,0.4143
2024,Boavista,28,26.8,14,0.5,24.2,28263,8000,0.2831
2024,Farense,28,27.0,13,0.46,22.3,7000,5000,0.7143
2024,Portimonense,28,26.0,18,0.64,20.5,6000,3000,0.5
2024,Estrela,28,26.2,15,0.54,20.5,9288,4000,0.4307
2024,Nacional,28,25.5,15,0.54,20.5,5132,2500,0.4871
2024,Vizela,28,25.8,15,0.54,18.6,6000,3500,0.5833
2024,AVS,28,26.8,13,0.46,18.6,5000,2500,0.5
2024,Maritimo,28,26.2,16,0.57,18.6,10600,6000,0.566
2024,Chaves,28,26.5,14,0.5,16.7,8400,3000,0.3571
2024,GD Chaves,28,26.5,14,0.5,16.7,8400,3000,0.3571
2024,Pacos de Ferreira,28,26.4,13,0.46,16.7,9076,3500,0.3856
2024,Belenenses,28,26.0,13,0.46,13.9,19856,4000,0.2015
2024,Tondela,28,26.1,12,0.43,13.0,5000,2500,0.5
2024,Academico de Viseu,28,25.5,11,0.39,11.2,7744,2500,0.3228
2024,Alverca,28,25.2,10,0.36,9.3,7705,2000,0.2596
2025,Sporting CP,28,25.2,17,0.61,395.6,50095,40000,0.7985
2025,Benfica,28,25.6,18,0.64,347.4,64642,56000,0.8663
2025,Porto,28,25.5,17,0.61,328.1,50033,42000,0.8394
2025,Braga,28,25.8,16,0.57,135.1,30286,17000,0.5613
2025,Vitoria de Guimaraes,28,25.0,15,0.54,62.7,30000,18000,0.6
2025,Famalicao,28,24.5,17,0.61,48.2,5186,4200,0.8099
2025,Arouca,28,26.2,15,0.54,36.7,5000,2500,0.5
2025,Rio Ave,28,25.7,15,0.54,33.8,9065,3800,0.4192
2025,Gil Vicente,28,25.4,15,0.54,30.9,12504,4500,0.3599
2025,Moreirense,28,25.9,14,0.5,30.9,6153,3000,0.4876
2025,Estoril,28,24.8,16,0.57,28.9,8015,3200,0.3993
2025,Casa Pia,28,26.5,14,0.5,27.0,7000,2500,0.3571
2025,Santa Clara,28,25.8,17,0.61,27.0,13277,5500,0.4143
2025,Boavista,28,26.8,14,0.5,25.1,28263,8000,0.2831
2025,Farense,28,27.0,13,0.46,23.2,7000,5000,0.7143
2025,Portimonense,28,26.0,18,0.64,21.2,6000,3000,0.5
2025,Estrela,28,26.2,15,0.54,21.2,9288,4000,0.4307
2025,Nacional,28,25.5,15,0.54,21.2,5132,2500,0.4871
2025,Vizela,28,25.8,15,0.54,19.3,6000,3500,0.5833
2025,AVS,28,26.8,13,0.46,19.3,5000,2500,0.5
2025,Maritimo,28,26.2,16,0.57,19.3,10600,6000,0.566
2025,Chaves,28,26.5,14,0.5,17.4,8400,3000,0.3571
2025,GD Chaves,28,26.5,14,0.5,17.4,8400,3000,0.3571
2025,Pacos de Ferreira,28,26.4,13,0.46,17.4,9076,3500,0.3856
2025,Belenenses,28,26.0,13,0.46,14.5,19856,4000,0.2015
2025,Tondela,28,26.1,12,0.43,13.5,5000,2500,0.5
2025,Academico de Viseu,28,25.5,11,0.39,11.6,7744,2500,0.3228
2025,Alverca,28,25.2,10,0.36,9.7,7705,2000,0.2596
2026,Sporting CP,28,25.2,17,0.61,410.0,50095,40000,0.7985
2026,Benfica,28,25.6,18,0.64,360.0,64642,56000,0.8663
2026,Porto,28,25.5,17,0.61,340.0,50033,42000,0.8394
2026,Braga,28,25.8,16,0.57,140.0,30286,17000,0.5613
2026,Vitoria de Guimaraes,28,25.0,15,0.54,65.0,30000,18000,0.6
2026,Famalicao,28,24.5,17,0.61,50.0,5186,4200,0.8099
2026,Arouca,28,26.2,15,0.54,38.0,5000,2500,0.5
2026,Rio Ave,28,25.7,15,0.54,35.0,9065,3800,0.4192
2026,Gil Vicente,28,25.4,15,0.54,32.0,12504,4500,0.3599
2026,Moreirense,28,25.9,14,0.5,32.0,6153,3000,0.4876
2026,Estoril,28,24.8,16,0.57,30.0,8015,3200,0.3993
2026,Casa Pia,28,26.5,14,0.5,28.0,7000,2500,0.3571
2026,Santa Clara,28,25.8,17,0.61,28.0,13277,5500,0.4143
2026,Boavista,28,26.8,14,0.5,26.0,28263,8000,0.2831
2026,Farense,28,27.0,13,0.46,24.0,7000,5000,0.7143
2026,Portimonense,28,26.0,18,0.64,22.0,6000,3000,0.5
2026,Estrela,28,26.2,15,0.54,22.0,9288,4000,0.4307
2026,Nacional,28,25.5,15,0.54,22.0,5132,2500,0.4871
2026,Vizela,28,25.8,15,0.54,20.0,6000,3500,0.5833
2026,AVS,28,26.8,13,0.46,20.0,5000,2500,0.5
2026,Maritimo,28,26.2,16,0.57,20.0,10600,6000,0.566
2026,Chaves,28,26.5,14,0.5,18.0,8400,3000,0.3571
2026,GD Chaves,28,26.5,14,0.5,18.0,8400,3000,0.3571
2026,Pacos de Ferreira,28,26.4,13,0.46,18.0,9076,3500,0.3856
2026,Belenenses,28,26.0,13,0.46,15.0,19856,4000,0.2015
2026,Tondela,28,26.1,12,0.43,14.0,5000,2500,0.5
2026,Academico de Viseu,28,25.5,11,0.39,12.0,7744,2500,0.3228
2026,Alverca,28,25.2,10,0.36,10.0,7705,2000,0.2596
