local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Sporting CP,17.0,3.0,0.0,1.0,5.0,3.0,47.4,6.0,4.0,0.7,0.0,0.0,281.0,385.0,0.7,2.0,12.0,0.2,68.0,25.0,0.4,0.0,6.0,10.0,0.6,18.0,11.0,11.0,Braga,17.0,4.0,0.0,1.0,4.0,2.0,52.6,12.0,3.0,0.3,0.0,0.0,300.0,410.0,0.7,3.0,21.0,0.1,63.0,28.0,0.4,5.0,12.0,19.0,0.6,10.0,11.0,11.0,581658,2021-01-02 18:00:00,2021
Tondela,15.0,4.0,0.0,2.0,4.0,7.0,38.3,9.0,3.0,0.3,0.0,0.0,235.0,332.0,0.7,3.0,16.0,0.2,63.0,23.0,0.4,0.0,11.0,17.0,0.6,14.0,34.0,34.0,FC Famalicao,13.0,5.0,0.0,3.0,5.0,2.0,61.7,17.0,7.0,0.4,0.0,1.0,450.0,541.0,0.8,7.0,26.0,0.3,68.0,32.0,0.5,4.0,14.0,16.0,0.9,11.0,17.0,17.0,581660,2021-01-03 13:00:00,2021
Maritimo,16.0,3.0,0.0,4.0,2.0,3.0,58.9,9.0,4.0,0.4,0.0,0.0,371.0,442.0,0.8,7.0,26.0,0.3,72.0,44.0,0.6,0.0,9.0,17.0,0.5,12.0,14.0,14.0,Boavista,21.0,4.0,0.0,0.0,3.0,4.0,41.1,10.0,3.0,0.3,0.0,0.0,232.0,318.0,0.7,2.0,6.0,0.3,56.0,21.0,0.4,3.0,14.0,16.0,0.9,7.0,28.0,28.0,581657,2021-01-03 15:00:00,2021
Santa Clara,14.0,3.0,0.0,2.0,3.0,2.0,29.8,11.0,4.0,0.4,0.0,0.0,174.0,264.0,0.7,2.0,13.0,0.2,67.0,26.0,0.4,2.0,13.0,19.0,0.7,10.0,32.0,32.0,Benfica,14.0,1.0,0.0,1.0,10.0,3.0,70.2,9.0,3.0,0.3,0.0,0.0,521.0,629.0,0.8,2.0,18.0,0.1,65.0,26.0,0.4,3.0,7.0,8.0,0.9,14.0,16.0,16.0,581656,2021-01-03 17:00:00,2021
Paços de Ferreira,15.0,0.0,0.0,2.0,3.0,2.0,44.3,15.0,4.0,0.3,0.0,0.0,310.0,396.0,0.8,2.0,17.0,0.1,72.0,29.0,0.4,4.0,15.0,22.0,0.7,12.0,15.0,15.0,Rio Ave,9.0,0.0,0.0,4.0,4.0,2.0,55.7,12.0,2.0,0.2,0.0,0.0,426.0,498.0,0.9,4.0,16.0,0.3,53.0,24.0,0.5,5.0,9.0,15.0,0.6,7.0,18.0,18.0,581662,2021-01-03 19:00:00,2021
FC Porto,15.0,2.0,0.0,2.0,6.0,2.0,56.8,19.0,7.0,0.4,1.0,1.0,435.0,511.0,0.9,9.0,19.0,0.5,50.0,31.0,0.6,6.0,12.0,20.0,0.6,15.0,6.0,6.0,Moreirense,14.0,0.0,0.0,0.0,1.0,4.0,43.2,3.0,2.0,0.7,0.0,0.0,296.0,392.0,0.8,0.0,9.0,0.0,73.0,32.0,0.4,0.0,8.0,11.0,0.7,10.0,15.0,15.0,581661,2021-01-03 21:00:00,2021
Gil Vicente,10.0,2.0,0.0,1.0,8.0,1.0,53.7,13.0,5.0,0.4,0.0,0.0,339.0,448.0,0.8,4.0,29.0,0.1,81.0,38.0,0.5,3.0,8.0,10.0,0.8,11.0,14.0,14.0,Belenenses,19.0,1.0,0.0,0.0,3.0,5.0,46.3,8.0,1.0,0.1,0.0,0.0,292.0,389.0,0.8,1.0,15.0,0.1,59.0,31.0,0.5,1.0,10.0,11.0,0.9,16.0,23.0,23.0,581655,2021-01-04 19:00:00,2021
Portimonense,21.0,3.0,0.0,0.0,5.0,0.0,62.0,13.0,5.0,0.4,0.0,0.0,386.0,500.0,0.8,6.0,25.0,0.2,94.0,43.0,0.5,2.0,9.0,16.0,0.6,10.0,21.0,21.0,SC Farense,11.0,2.0,0.0,1.0,1.0,3.0,38.0,7.0,0.0,0.0,0.0,0.0,179.0,306.0,0.6,4.0,11.0,0.4,92.0,39.0,0.4,1.0,10.0,16.0,0.6,13.0,24.0,24.0,581663,2021-01-04 21:15:00,2021
Braga,18.0,3.0,0.0,3.0,4.0,1.0,54.9,18.0,3.0,0.2,0.0,0.0,395.0,470.0,0.8,5.0,20.0,0.3,45.0,26.0,0.6,6.0,9.0,11.0,0.8,13.0,10.0,10.0,Maritimo,9.0,4.0,0.0,0.0,1.0,1.0,45.1,9.0,2.0,0.2,0.0,0.0,308.0,390.0,0.8,1.0,12.0,0.1,61.0,30.0,0.5,2.0,9.0,13.0,0.7,19.0,16.0,16.0,581649,2021-01-07 21:00:00,2021
C.D. Nacional,9.0,3.0,0.0,1.0,8.0,0.0,44.0,6.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP,9.0,1.0,0.0,0.0,12.0,0.0,55.0,24.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581653,2021-01-08 18:00:00,2021
