id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
21607,Académico de Viseu,Académico de Viseu,Académico,ACV,viseu,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/21607.png,True
21613,Alverca,Alverca,Alverca,ALV,alverca,0047AB,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/21613.png,True
15784,Arouca,Arouca,Arouca,FCA,por.arouca,ffea01,293dc2,https://a.espncdn.com/i/teamlogos/soccer/500-dark/15784.png,True
1929,Benfica,Benfica,Benfica,SLB,por.benfica,ca281d,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1929.png,True
2994,Braga,Braga,Braga,SCB,por.braga,de1f26,2b6a36,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2994.png,True
3472,C.D. Nacional,Nacional,Nacional,CDN,por.cd_nacional_de_madeira,000000,000099,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3472.png,True
21581,Casa Pia,Casa Pia,Casa Pia,CPAC,casa_pia,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/21581.png,True
12216,Estoril,Estoril,Estoril,EPF,por.estoril,ffea01,293dc2,https://a.espncdn.com/i/teamlogos/soccer/500-dark/12216.png,True
21610,Estrela,Estrela,Estrela,EST,estrela,3B8132,DE0A26,https://a.espncdn.com/i/teamlogos/soccer/500-dark/21610.png,True
12698,FC Famalicao,Famalicao,FC Famalicao,FCF,eng.fc_famalicao,FFFFFF,183760,https://a.espncdn.com/i/teamlogos/soccer/500-dark/12698.png,True
437,FC Porto,Porto,FC Porto,FCP,por.porto,0000dd,ffa000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/437.png,True
3699,Gil Vicente,Gil Vicente,Gil Vicente,GVFC,por.gil_vicente,de1f26,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3699.png,True
552,Maritimo,Maritimo,Maritimo,MAR,por.maritimo,008222,01e5db,https://a.espncdn.com/i/teamlogos/soccer/500-dark/552.png,True
3696,Moreirense,Moreirense,Moreirense,MFC,por.moreirense,288A00,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3696.png,True
3822,Rio Ave,Rio Ave,Rio Ave,RAFC,por.rio_ave,3b8649,FF621A,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3822.png,True
12215,Santa Clara,Santa Clara,Santa Clara,CDSC,fifa.santa_clara,C60000,ddbf64,https://a.espncdn.com/i/teamlogos/soccer/500-dark/12215.png,True
2250,Sporting CP,Sporting CP,Sporting,SCP,por.sporting_lisbon,008127,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2250.png,True
5309,Vitória de Guimaraes,Vitoria de Guimaraes,Vitória ,VSC,por.guimaraes,ffffff,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/5309.png,True
20740,SC Farense,SC Farense,SC Farense,SCF,sc_farense,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20740.png,True
20995,Vizela,Vizela,Vizela,VIZ,vizela,293dc2,ff541c,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20995.png,True
3713,Paços de Ferreira,Paços de Ferreira,Ferreira,PFC,por.paos_de_ferreira,ffea01,fdfdf7,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3713.png,True
22064,AVS,AVS,AVS,AVS,avs,C60000,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500/22064.png,True
12706,Tondela,Tondela,Tondela,CDT,eng.tondela,ffea01,293dc2,https://a.espncdn.com/i/teamlogos/soccer/500-dark/12706.png,True
3719,Portimonense,Portimonense,Portimonense,PTMO,betbrain.portimonense,000000,ffea01,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3719.png,True
3519,Belenenses,Belenenses,Belenenses,BEL,por.belenenses,293dc2,FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3519.png,True
12705,GD Chaves,GD Chaves,GD Chaves,GDC,eng.gd_chaves,288A00,005099,https://a.espncdn.com/i/teamlogos/soccer/500-dark/12705.png,True
2256,Boavista,Boavista,Boavista,BOA,por.boavista,1a1a1a,cdcdcd,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2256.png,True
