event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado
581658,2021-01-02 18:00:00,2021,2250,2994,Sporting CP,Braga,2.0,0.0,post
581660,2021-01-03 13:00:00,2021,12706,12698,Tondela,Famalicao,1.0,0.0,post
581657,2021-01-03 15:00:00,2021,552,2256,Maritimo,Boavista,0.0,0.0,post
581656,2021-01-03 17:00:00,2021,12215,1929,Santa Clara,Benfica,1.0,1.0,post
581662,2021-01-03 19:00:00,2021,3713,3822,Paços de Ferreira,Rio Ave,2.0,0.0,post
581661,2021-01-03 21:00:00,2021,437,3696,Porto,Moreirense,3.0,0.0,post
581655,2021-01-04 19:00:00,2021,3699,3519,Gil Vicente,Belenenses,0.0,0.0,post
581663,2021-01-04 21:15:00,2021,3719,20740,Portimonense,SC Farense,2.0,0.0,post
581649,2021-01-07 21:00:00,2021,2994,552,Braga,Maritimo,2.0,1.0,post
581653,2021-01-08 18:00:00,2021,3472,2250,Nacional,Sporting CP,0.0,2.0,post
581654,2021-01-08 19:00:00,2021,1929,12706,Benfica,Tondela,2.0,0.0,post
581651,2021-01-08 19:00:00,2021,3822,3719,Rio Ave,Portimonense,3.0,0.0,post
581646,2021-01-08 21:00:00,2021,12698,437,Famalicao,Porto,1.0,4.0,post
581648,2021-01-09 17:00:00,2021,3696,5309,Moreirense,Vitoria de Guimaraes,2.0,2.0,post
581652,2021-01-09 20:30:00,2021,2256,12215,Boavista,Santa Clara,1.0,1.0,post
581647,2021-01-10 15:00:00,2021,20740,3699,SC Farense,Gil Vicente,3.0,1.0,post
581650,2021-01-10 20:00:00,2021,3519,3713,Belenenses,Paços de Ferreira,0.0,2.0,post
581644,2021-01-15 18:30:00,2021,2250,3822,Sporting CP,Rio Ave,1.0,1.0,post
581638,2021-01-15 21:00:00,2021,437,1929,Porto,Benfica,1.0,1.0,post
581640,2021-01-16 15:30:00,2021,3713,2994,Paços de Ferreira,Braga,2.0,0.0,post
581639,2021-01-16 20:30:00,2021,12706,2256,Tondela,Boavista,3.0,1.0,post
581643,2021-01-17 15:00:00,2021,3472,3696,Nacional,Moreirense,0.0,1.0,post
581641,2021-01-17 17:30:00,2021,12215,12698,Santa Clara,Famalicao,1.0,2.0,post
581642,2021-01-17 20:00:00,2021,3699,552,Gil Vicente,Maritimo,0.0,1.0,post
581637,2021-01-18 20:15:00,2021,3719,3519,Portimonense,Belenenses,1.0,0.0,post
581659,2021-01-21 20:15:00,2021,5309,3472,Vitoria de Guimaraes,Nacional,3.0,1.0,post
581632,2021-01-24 15:00:00,2021,552,3713,Maritimo,Paços de Ferreira,0.0,3.0,post
581633,2021-01-24 17:30:00,2021,3696,3719,Moreirense,Portimonense,2.0,2.0,post
581631,2021-01-24 20:15:00,2021,12698,5309,Famalicao,Vitoria de Guimaraes,0.0,1.0,post
581636,2021-01-25 14:30:00,2021,3519,12706,Belenenses,Tondela,2.0,0.0,post
581634,2021-01-25 16:30:00,2021,3822,12215,Rio Ave,Santa Clara,1.0,2.0,post
581628,2021-01-25 17:00:00,2021,1929,3472,Benfica,Nacional,1.0,1.0,post
581629,2021-01-25 20:15:00,2021,20740,437,SC Farense,Porto,0.0,1.0,post
581630,2021-01-26 19:45:00,2021,2994,3699,Braga,Gil Vicente,1.0,0.0,post
581635,2021-01-26 21:15:00,2021,2256,2250,Boavista,Sporting CP,0.0,2.0,post
581623,2021-01-30 15:30:00,2021,3472,12698,Nacional,Famalicao,2.0,1.0,post
581627,2021-01-30 18:00:00,2021,12706,20740,Tondela,SC Farense,2.0,0.0,post
581621,2021-01-30 20:30:00,2021,3719,2256,Portimonense,Boavista,1.0,2.0,post
581624,2021-01-31 15:00:00,2021,5309,552,Vitoria de Guimaraes,Maritimo,1.0,0.0,post
581619,2021-02-01 17:00:00,2021,12215,3519,Santa Clara,Belenenses,2.0,0.0,post
581626,2021-02-01 19:00:00,2021,437,3822,Porto,Rio Ave,2.0,0.0,post
581622,2021-02-01 19:45:00,2021,3696,2994,Moreirense,Braga,0.0,4.0,post
581620,2021-02-01 21:30:00,2021,2250,1929,Sporting CP,Benfica,1.0,0.0,post
581625,2021-02-02 20:15:00,2021,3699,3713,Gil Vicente,Paços de Ferreira,1.0,2.0,post
581616,2021-02-04 15:00:00,2021,20740,12215,SC Farense,Santa Clara,1.0,1.0,post
581611,2021-02-04 19:00:00,2021,3519,437,Belenenses,Porto,0.0,0.0,post
581615,2021-02-04 21:00:00,2021,2994,3719,Braga,Portimonense,2.0,1.0,post
581614,2021-02-04 21:30:00,2021,12698,3696,Famalicao,Moreirense,0.0,2.0,post
581610,2021-02-05 17:00:00,2021,3822,3472,Rio Ave,Nacional,0.0,0.0,post
581613,2021-02-05 19:00:00,2021,1929,5309,Benfica,Vitoria de Guimaraes,0.0,0.0,post
581617,2021-02-05 19:00:00,2021,552,2250,Maritimo,Sporting CP,0.0,2.0,post
581612,2021-02-05 21:00:00,2021,2256,3699,Boavista,Gil Vicente,1.0,2.0,post
581618,2021-02-05 21:00:00,2021,3713,12706,Paços de Ferreira,Tondela,2.0,1.0,post
581602,2021-02-07 20:45:00,2021,2994,437,Braga,Porto,2.0,2.0,post
581605,2021-02-08 17:00:00,2021,20740,3696,SC Farense,Moreirense,1.0,2.0,post
581603,2021-02-08 19:00:00,2021,1929,12698,Benfica,Famalicao,2.0,0.0,post
581607,2021-02-08 19:00:00,2021,552,12215,Maritimo,Santa Clara,1.0,2.0,post
581604,2021-02-08 21:00:00,2021,3519,5309,Belenenses,Vitoria de Guimaraes,1.0,1.0,post
581606,2021-02-09 15:00:00,2021,3713,3719,Paços de Ferreira,Portimonense,0.0,0.0,post
581609,2021-02-09 17:00:00,2021,3822,12706,Rio Ave,Tondela,2.0,1.0,post
581601,2021-02-09 19:00:00,2021,2256,3472,Boavista,Nacional,0.0,1.0,post
581608,2021-02-09 21:00:00,2021,3699,2250,Gil Vicente,Sporting CP,1.0,2.0,post
581592,2021-02-12 20:30:00,2021,12698,3519,Famalicao,Belenenses,0.0,0.0,post
581600,2021-02-13 15:30:00,2021,3472,20740,Nacional,SC Farense,2.0,3.0,post
581599,2021-02-13 18:00:00,2021,5309,3822,Vitoria de Guimaraes,Rio Ave,1.0,3.0,post
581594,2021-02-13 20:30:00,2021,437,2256,Porto,Boavista,2.0,2.0,post
581596,2021-02-14 15:00:00,2021,3719,3699,Portimonense,Gil Vicente,4.0,1.0,post
581595,2021-02-14 17:30:00,2021,12215,2994,Santa Clara,Braga,0.0,1.0,post
581593,2021-02-14 20:15:00,2021,3696,1929,Moreirense,Benfica,1.0,1.0,post
581598,2021-02-15 20:15:00,2021,2250,3713,Sporting CP,Paços de Ferreira,2.0,0.0,post
581597,2021-02-16 17:45:00,2021,12706,552,Tondela,Maritimo,2.0,1.0,post
581645,2021-02-17 21:45:00,2021,5309,20740,Vitoria de Guimaraes,SC Farense,2.0,2.0,post
581588,2021-02-19 20:30:00,2021,2256,3696,Boavista,Moreirense,1.0,0.0,post
581584,2021-02-20 15:30:00,2021,3519,3472,Belenenses,Nacional,2.0,1.0,post
581590,2021-02-20 17:30:00,2021,3699,12215,Gil Vicente,Santa Clara,1.0,0.0,post
581589,2021-02-20 20:30:00,2021,2250,3719,Sporting CP,Portimonense,2.0,0.0,post
581587,2021-02-21 15:00:00,2021,3713,5309,Paços de Ferreira,Vitoria de Guimaraes,2.0,1.0,post
581586,2021-02-21 15:00:00,2021,3822,12698,Rio Ave,Famalicao,0.0,1.0,post
581591,2021-02-21 18:00:00,2021,2994,12706,Braga,Tondela,4.0,2.0,post
581583,2021-02-21 20:15:00,2021,20740,1929,SC Farense,Benfica,0.0,0.0,post
581585,2021-02-22 19:00:00,2021,552,437,Maritimo,Porto,1.0,2.0,post
581575,2021-02-26 20:30:00,2021,5309,2256,Vitoria de Guimaraes,Boavista,2.0,1.0,post
581581,2021-02-27 15:30:00,2021,12698,20740,Famalicao,SC Farense,0.0,0.0,post
581579,2021-02-27 18:00:00,2021,12215,3713,Santa Clara,Paços de Ferreira,3.0,0.0,post
581582,2021-02-27 20:30:00,2021,437,2250,Porto,Sporting CP,0.0,0.0,post
581578,2021-02-28 15:00:00,2021,3719,552,Portimonense,Maritimo,0.0,0.0,post
581577,2021-02-28 17:30:00,2021,12706,3699,Tondela,Gil Vicente,1.0,0.0,post
581576,2021-02-28 20:00:00,2021,3472,2994,Nacional,Braga,1.0,2.0,post
581580,2021-03-01 19:00:00,2021,1929,3822,Benfica,Rio Ave,2.0,0.0,post
581574,2021-03-01 20:15:00,2021,3696,3519,Moreirense,Belenenses,2.0,2.0,post
581566,2021-03-05 18:30:00,2021,3713,3472,Paços de Ferreira,Nacional,2.0,1.0,post
581572,2021-03-05 20:45:00,2021,2250,12215,Sporting CP,Santa Clara,2.0,1.0,post
581573,2021-03-06 15:30:00,2021,3719,12706,Portimonense,Tondela,3.0,0.0,post
581567,2021-03-06 18:00:00,2021,3699,437,Gil Vicente,Porto,0.0,2.0,post
581568,2021-03-06 20:30:00,2021,2256,12698,Boavista,Famalicao,3.0,0.0,post
581570,2021-03-07 17:30:00,2021,552,3696,Maritimo,Moreirense,0.0,2.0,post
581571,2021-03-07 20:00:00,2021,3822,20740,Rio Ave,SC Farense,2.0,0.0,post
581565,2021-03-08 20:15:00,2021,3519,1929,Belenenses,Benfica,0.0,3.0,post
581569,2021-03-09 21:45:00,2021,2994,5309,Braga,Vitoria de Guimaraes,3.0,0.0,post
581560,2021-03-12 20:30:00,2021,3472,552,Nacional,Maritimo,1.0,2.0,post
581556,2021-03-13 15:30:00,2021,20740,3519,SC Farense,Belenenses,0.0,1.0,post
581562,2021-03-13 18:00:00,2021,12215,3719,Santa Clara,Portimonense,2.0,0.0,post
581557,2021-03-13 18:00:00,2021,1929,2256,Benfica,Boavista,2.0,0.0,post
581564,2021-03-13 20:30:00,2021,12706,2250,Tondela,Sporting CP,0.0,1.0,post
581563,2021-03-14 15:00:00,2021,3696,3822,Moreirense,Rio Ave,1.0,1.0,post
581559,2021-03-14 17:30:00,2021,5309,3699,Vitoria de Guimaraes,Gil Vicente,2.0,4.0,post
581561,2021-03-14 20:00:00,2021,437,3713,Porto,Paços de Ferreira,2.0,0.0,post
581558,2021-03-15 20:15:00,2021,12698,2994,Famalicao,Braga,2.0,2.0,post
581549,2021-03-19 20:30:00,2021,3699,3472,Gil Vicente,Nacional,2.0,0.0,post
581553,2021-03-20 15:30:00,2021,3713,3696,Paços de Ferreira,Moreirense,3.0,0.0,post
581555,2021-03-20 15:30:00,2021,12215,12706,Santa Clara,Tondela,1.0,1.0,post
581550,2021-03-20 18:00:00,2021,3719,437,Portimonense,Porto,1.0,2.0,post
581552,2021-03-20 20:30:00,2021,2250,5309,Sporting CP,Vitoria de Guimaraes,1.0,0.0,post
581547,2021-03-21 15:00:00,2021,3822,3519,Rio Ave,Belenenses,0.0,0.0,post
581554,2021-03-21 17:30:00,2021,2256,20740,Boavista,SC Farense,0.0,1.0,post
581551,2021-03-21 17:30:00,2021,552,12698,Maritimo,Famalicao,0.0,4.0,post
581548,2021-03-21 20:00:00,2021,2994,1929,Braga,Benfica,0.0,2.0,post
581543,2021-04-02 20:30:00,2021,3472,3719,Nacional,Portimonense,1.0,5.0,post
