temporada,equipo,squad_value
2020,Sporting CP,323.9
2020,Benfica,284.4
2020,Porto,268.6
2020,Braga,110.6
2020,Vitoria de Guimaraes,51.4
2020,Famalicao,39.5
2020,Arouca,30.0
2020,Rio Ave,27.7
2020,Gil Vicente,25.3
2020,Moreirense,25.3
2020,Estoril,23.7
2020,Casa Pia,22.1
2020,Santa Clara,22.1
2020,Boavista,20.5
2020,Farense,19.0
2020,Portimonense,17.4
2020,Estrela,17.4
2020,Nacional,17.4
2020,Vizela,15.8
2020,AVS,15.8
2020,Maritimo,15.8
2020,Chaves,14.2
2020,GD Chaves,14.2
2020,Pacos de Ferreira,14.2
2020,Belenenses,11.9
2020,Tondela,11.1
2020,Academico de Viseu,9.5
2020,Alverca,7.9
2021,Sporting CP,338.2
2021,Benfica,297.0
2021,Porto,280.5
2021,Braga,115.5
2021,Vitoria de Guimaraes,53.6
2021,Famalicao,41.2
2021,Arouca,31.3
2021,Rio Ave,28.9
2021,Gil Vicente,26.4
2021,Moreirense,26.4
2021,Estoril,24.8
2021,Casa Pia,23.1
2021,Santa Clara,23.1
2021,Boavista,21.4
2021,Farense,19.8
2021,Portimonense,18.1
2021,Estrela,18.1
2021,Nacional,18.1
2021,Vizela,16.5
2021,AVS,16.5
2021,Maritimo,16.5
2021,Chaves,14.8
2021,GD Chaves,14.8
2021,Pacos de Ferreira,14.8
2021,Belenenses,12.4
2021,Tondela,11.5
2021,Academico de Viseu,9.9
2021,Alverca,8.2
2022,Sporting CP,352.6
2022,Benfica,309.6
2022,Porto,292.4
2022,Braga,120.4
2022,Vitoria de Guimaraes,55.9
2022,Famalicao,43.0
2022,Arouca,32.7
2022,Rio Ave,30.1
2022,Gil Vicente,27.5
2022,Moreirense,27.5
2022,Estoril,25.8
2022,Casa Pia,24.1
2022,Santa Clara,24.1
2022,Boavista,22.4
2022,Farense,20.6
2022,Portimonense,18.9
2022,Estrela,18.9
2022,Nacional,18.9
2022,Vizela,17.2
2022,AVS,17.2
2022,Maritimo,17.2
2022,Chaves,15.5
2022,GD Chaves,15.5
2022,Pacos de Ferreira,15.5
2022,Belenenses,12.9
2022,Tondela,12.0
2022,Academico de Viseu,10.3
2022,Alverca,8.6
2023,Sporting CP,366.9
2023,Benfica,322.2
2023,Porto,304.3
2023,Braga,125.3
2023,Vitoria de Guimaraes,58.2
2023,Famalicao,44.8
2023,Arouca,34.0
2023,Rio Ave,31.3
2023,Gil Vicente,28.6
2023,Moreirense,28.6
2023,Estoril,26.9
2023,Casa Pia,25.1
2023,Santa Clara,25.1
2023,Boavista,23.3
2023,Farense,21.5
2023,Portimonense,19.7
2023,Estrela,19.7
2023,Nacional,19.7
2023,Vizela,17.9
2023,AVS,17.9
2023,Maritimo,17.9
2023,Chaves,16.1
2023,GD Chaves,16.1
2023,Pacos de Ferreira,16.1
2023,Belenenses,13.4
2023,Tondela,12.5
2023,Academico de Viseu,10.7
2023,Alverca,8.9
2024,Sporting CP,381.3
2024,Benfica,334.8
2024,Porto,316.2
2024,Braga,130.2
2024,Vitoria de Guimaraes,60.4
2024,Famalicao,46.5
2024,Arouca,35.3
2024,Rio Ave,32.5
2024,Gil Vicente,29.8
2024,Moreirense,29.8
2024,Estoril,27.9
2024,Casa Pia,26.0
2024,Santa Clara,26.0
2024,Boavista,24.2
2024,Farense,22.3
2024,Portimonense,20.5
2024,Estrela,20.5
2024,Nacional,20.5
2024,Vizela,18.6
2024,AVS,18.6
2024,Maritimo,18.6
2024,Chaves,16.7
2024,GD Chaves,16.7
2024,Pacos de Ferreira,16.7
2024,Belenenses,13.9
2024,Tondela,13.0
2024,Academico de Viseu,11.2
2024,Alverca,9.3
2025,Sporting CP,395.6
2025,Benfica,347.4
2025,Porto,328.1
2025,Braga,135.1
2025,Vitoria de Guimaraes,62.7
2025,Famalicao,48.2
2025,Arouca,36.7
2025,Rio Ave,33.8
2025,Gil Vicente,30.9
2025,Moreirense,30.9
2025,Estoril,28.9
2025,Casa Pia,27.0
2025,Santa Clara,27.0
2025,Boavista,25.1
2025,Farense,23.2
2025,Portimonense,21.2
2025,Estrela,21.2
2025,Nacional,21.2
2025,Vizela,19.3
2025,AVS,19.3
2025,Maritimo,19.3
2025,Chaves,17.4
2025,GD Chaves,17.4
2025,Pacos de Ferreira,17.4
2025,Belenenses,14.5
2025,Tondela,13.5
2025,Academico de Viseu,11.6
2025,Alverca,9.7
2026,Sporting CP,410.0
2026,Benfica,360.0
2026,Porto,340.0
2026,Braga,140.0
2026,Vitoria de Guimaraes,65.0
2026,Famalicao,50.0
2026,Arouca,38.0
2026,Rio Ave,35.0
2026,Gil Vicente,32.0
2026,Moreirense,32.0
2026,Estoril,30.0
2026,Casa Pia,28.0
2026,Santa Clara,28.0
2026,Boavista,26.0
2026,Farense,24.0
2026,Portimonense,22.0
2026,Estrela,22.0
2026,Nacional,22.0
2026,Vizela,20.0
2026,AVS,20.0
2026,Maritimo,20.0
2026,Chaves,18.0
2026,GD Chaves,18.0
2026,Pacos de Ferreira,18.0
2026,Belenenses,15.0
2026,Tondela,14.0
2026,Academico de Viseu,12.0
2026,Alverca,10.0
