grupo,equipo_1,equipo_2,cancha,P(gana 1),P(empate),P(gana 2),goles_esp_1,goles_esp_2
A,Mexico,Czech Republic,anfitrión,0.478,0.335,0.186,1.35,0.91
A,Czech Republic,South Africa,neutral,0.502,0.312,0.186,1.43,0.85
A,Czech Republic,South Korea,neutral,0.356,0.338,0.306,1.16,1.05
A,Mexico,South Africa,anfitrión,0.715,0.224,0.06,1.96,0.62
A,Mexico,South Korea,anfitrión,0.545,0.294,0.161,1.46,0.83
A,South Africa,South Korea,neutral,0.169,0.303,0.528,0.84,1.46
B,Canada,Bosnia and Herzegovina,anfitrión,0.605,0.279,0.116,1.6,0.76
B,Bosnia and Herzegovina,Qatar,neutral,0.425,0.329,0.246,1.29,0.95
B,Bosnia and Herzegovina,Switzerland,neutral,0.167,0.302,0.531,0.77,1.59
B,Canada,Qatar,anfitrión,0.764,0.194,0.042,2.19,0.56
B,Canada,Switzerland,anfitrión,0.42,0.313,0.267,1.11,1.09
B,Qatar,Switzerland,neutral,0.079,0.235,0.687,0.59,2.06
C,Brazil,Haiti,neutral,0.835,0.142,0.023,2.79,0.44
C,Brazil,Morocco,neutral,0.474,0.319,0.207,1.36,0.9
C,Brazil,Scotland,neutral,0.592,0.281,0.127,1.68,0.73
C,Haiti,Morocco,neutral,0.1,0.258,0.643,0.67,1.83
C,Haiti,Scotland,neutral,0.168,0.303,0.529,0.83,1.48
C,Morocco,Scotland,neutral,0.565,0.293,0.142,1.61,0.76
D,Australia,Paraguay,neutral,0.315,0.338,0.347,1.09,1.12
D,Australia,Turkey,neutral,0.178,0.308,0.514,0.87,1.41
D,United States,Australia,anfitrión,0.404,0.332,0.265,1.05,1.16
D,Paraguay,Turkey,neutral,0.247,0.33,0.424,0.97,1.26
D,United States,Paraguay,anfitrión,0.373,0.334,0.293,1.02,1.2
D,United States,Turkey,anfitrión,0.267,0.315,0.418,0.87,1.41
E,Curaçao,Ecuador,neutral,0.066,0.222,0.712,0.54,2.25
E,Curaçao,Germany,neutral,0.061,0.213,0.726,0.55,2.22
E,Curaçao,Ivory Coast,neutral,0.131,0.282,0.587,0.71,1.71
E,Ecuador,Germany,neutral,0.23,0.326,0.443,0.98,1.25
E,Ecuador,Ivory Coast,neutral,0.48,0.318,0.202,1.46,0.84
E,Germany,Ivory Coast,neutral,0.497,0.313,0.19,1.44,0.85
F,Japan,Netherlands,neutral,0.239,0.329,0.432,0.95,1.29
F,Japan,Sweden,neutral,0.513,0.308,0.179,1.54,0.79
F,Japan,Tunisia,neutral,0.599,0.277,0.124,1.71,0.71
F,Netherlands,Sweden,neutral,0.57,0.288,0.141,1.69,0.72
F,Netherlands,Tunisia,neutral,0.667,0.246,0.087,1.93,0.63
F,Sweden,Tunisia,neutral,0.397,0.335,0.269,1.19,1.03
G,Belgium,Egypt,neutral,0.491,0.314,0.195,1.42,0.86
G,Belgium,Iran,neutral,0.485,0.316,0.199,1.33,0.92
G,Belgium,New Zealand,neutral,0.616,0.269,0.115,1.72,0.71
G,Egypt,Iran,neutral,0.299,0.337,0.364,1.0,1.22
G,Egypt,New Zealand,neutral,0.457,0.324,0.22,1.34,0.91
G,Iran,New Zealand,neutral,0.523,0.305,0.172,1.55,0.79
H,Cape Verde,Saudi Arabia,neutral,0.298,0.337,0.365,1.05,1.17
H,Cape Verde,Spain,neutral,0.026,0.148,0.825,0.41,2.97
H,Cape Verde,Uruguay,neutral,0.104,0.261,0.635,0.65,1.86
H,Saudi Arabia,Spain,neutral,0.02,0.13,0.85,0.38,3.19
H,Saudi Arabia,Uruguay,neutral,0.121,0.275,0.604,0.69,1.76
H,Spain,Uruguay,neutral,0.632,0.262,0.106,1.84,0.66
I,France,Iraq,neutral,0.743,0.203,0.054,2.23,0.55
I,France,Norway,neutral,0.46,0.323,0.217,1.36,0.9
I,France,Senegal,neutral,0.485,0.317,0.198,1.46,0.84
I,Iraq,Norway,neutral,0.101,0.257,0.643,0.67,1.81
I,Iraq,Senegal,neutral,0.143,0.289,0.567,0.78,1.56
I,Norway,Senegal,neutral,0.373,0.336,0.29,1.21,1.0
J,Algeria,Argentina,neutral,0.097,0.256,0.647,0.64,1.91
J,Algeria,Austria,neutral,0.25,0.331,0.42,0.97,1.26
J,Algeria,Jordan,neutral,0.63,0.265,0.105,1.73,0.7
J,Argentina,Austria,neutral,0.668,0.246,0.086,1.97,0.62
J,Argentina,Jordan,neutral,0.763,0.191,0.046,2.41,0.51
J,Austria,Jordan,neutral,0.536,0.301,0.162,1.51,0.81
K,Colombia,DR Congo,neutral,0.609,0.272,0.119,1.8,0.68
K,Colombia,Portugal,neutral,0.289,0.336,0.375,1.05,1.16
K,Colombia,Uzbekistan,neutral,0.591,0.28,0.128,1.67,0.73
K,DR Congo,Portugal,neutral,0.097,0.254,0.649,0.64,1.89
K,DR Congo,Uzbekistan,neutral,0.314,0.338,0.349,1.03,1.19
K,Portugal,Uzbekistan,neutral,0.633,0.262,0.105,1.76,0.69
L,Croatia,England,neutral,0.193,0.315,0.493,0.86,1.42
L,Croatia,Ghana,neutral,0.659,0.249,0.092,2.0,0.61
L,Croatia,Panama,neutral,0.511,0.309,0.18,1.43,0.85
L,England,Ghana,neutral,0.757,0.194,0.049,2.47,0.49
L,England,Panama,neutral,0.773,0.186,0.041,2.31,0.53
L,Ghana,Panama,neutral,0.196,0.315,0.489,0.79,1.54
