Selección,grupo,P_campeon,P_final,P_semi,P_octavos
Belgium,G,0.1948,0.2801,0.4014,0.7613
Norway,I,0.099,0.1659,0.2797,0.6439
Portugal,K,0.0866,0.1588,0.265,0.6746
Ivory Coast,E,0.0751,0.1343,0.2409,0.606
Spain,H,0.0557,0.105,0.1922,0.5472
Austria,J,0.05,0.0994,0.1866,0.5503
England,L,0.0494,0.0978,0.1814,0.5914
Algeria,J,0.0432,0.0855,0.1625,0.5197
Germany,E,0.0322,0.0711,0.1449,0.4711
Netherlands,F,0.0307,0.0687,0.144,0.5073
Scotland,C,0.0275,0.0631,0.1311,0.4912
Croatia,L,0.0245,0.0546,0.1177,0.5102
Argentina,J,0.0235,0.0589,0.119,0.4598
France,I,0.0234,0.0535,0.1212,0.435
Mexico,A,0.0221,0.0526,0.1152,0.4627
Senegal,I,0.0167,0.0404,0.1016,0.4053
Brazil,C,0.0154,0.0383,0.0944,0.4212
Czech Republic,A,0.0151,0.0355,0.0878,0.4125
Morocco,C,0.015,0.037,0.09,0.4134
Bosnia and Herzegovina,B,0.0129,0.033,0.08,0.4256
Turkey,D,0.0127,0.036,0.0821,0.4242
United States,D,0.0125,0.0316,0.0776,0.4112
South Africa,A,0.0112,0.0336,0.0801,0.3915
Canada,B,0.0109,0.0297,0.0762,0.4178
Switzerland,B,0.0109,0.0297,0.0725,0.4141
Japan,F,0.0045,0.0138,0.0428,0.3027
Ecuador,E,0.0041,0.0127,0.0375,0.2518
Colombia,K,0.0039,0.0133,0.0376,0.2962
Tunisia,F,0.003,0.0083,0.0284,0.25
Iran,G,0.0026,0.0094,0.033,0.2483
Egypt,G,0.0022,0.0085,0.0249,0.2177
Panama,L,0.0016,0.0064,0.0206,0.22
Australia,D,0.0015,0.006,0.0199,0.1986
Paraguay,D,0.0012,0.0052,0.0181,0.1992
Uzbekistan,K,0.0009,0.0037,0.0156,0.1921
New Zealand,G,0.0008,0.0051,0.0165,0.172
Cape Verde,H,0.0006,0.0023,0.0107,0.1338
Saudi Arabia,H,0.0004,0.0027,0.0105,0.1354
Ghana,L,0.0004,0.0012,0.0052,0.1066
Curaçao,E,0.0003,0.0012,0.0039,0.0781
Haiti,C,0.0002,0.0006,0.0036,0.0821
Jordan,J,0.0002,0.0008,0.0038,0.0672
Sweden,F,0.0002,0.0014,0.0056,0.1082
Uruguay,H,0.0001,0.0007,0.0028,0.076
Qatar,B,0.0001,0.0004,0.0018,0.0549
DR Congo,K,0.0001,0.0012,0.005,0.1074
South Korea,A,0.0001,0.0009,0.0052,0.0816
Iraq,I,0.0,0.0001,0.0019,0.0516
