temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Celtic,28,26.2,18,0.64,110.6,60411,58500,0.9684
2020,Rangers,28,26.5,17,0.61,86.9,50817,49000,0.9642
2020,Heart of Midlothian,28,26.0,13,0.46,19.8,19853,18500,0.9318
2020,Aberdeen,28,25.5,13,0.46,15.8,20866,16500,0.7908
2020,Hibernian,28,25.8,13,0.46,14.2,20421,17500,0.857
2020,Dundee United,28,25.6,11,0.39,9.5,14223,10500,0.7382
2020,Kilmarnock,28,26.2,11,0.39,9.5,17889,7500,0.4193
2020,Dundee,28,25.4,12,0.43,7.9,11775,7000,0.5945
2020,Motherwell,28,26.0,11,0.39,7.9,13677,6500,0.4753
2020,St Mirren,28,26.4,11,0.39,8.7,7937,6800,0.8567
2020,St Johnstone,28,26.5,10,0.36,7.1,10696,5000,0.4675
2020,Ross County,28,26.0,10,0.36,6.3,6541,4500,0.688
2020,Livingston,28,26.2,10,0.36,5.5,9512,4000,0.4205
2020,Falkirk,28,25.5,8,0.29,5.5,7937,5500,0.693
2020,Hamilton Academical,28,25.0,7,0.25,5.0,6018,2500,0.4154
2021,Celtic,28,26.2,18,0.64,115.5,60411,58500,0.9684
2021,Rangers,28,26.5,17,0.61,90.8,50817,49000,0.9642
2021,Heart of Midlothian,28,26.0,13,0.46,20.6,19853,18500,0.9318
2021,Aberdeen,28,25.5,13,0.46,16.5,20866,16500,0.7908
2021,Hibernian,28,25.8,13,0.46,14.8,20421,17500,0.857
2021,Dundee United,28,25.6,11,0.39,9.9,14223,10500,0.7382
2021,Kilmarnock,28,26.2,11,0.39,9.9,17889,7500,0.4193
2021,Dundee,28,25.4,12,0.43,8.2,11775,7000,0.5945
2021,Motherwell,28,26.0,11,0.39,8.2,13677,6500,0.4753
2021,St Mirren,28,26.4,11,0.39,9.1,7937,6800,0.8567
2021,St Johnstone,28,26.5,10,0.36,7.4,10696,5000,0.4675
2021,Ross County,28,26.0,10,0.36,6.6,6541,4500,0.688
