local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572352,2021-01-02 12:30:00,2021
Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572355,2021-01-02 15:00:00,2021
Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572353,2021-01-02 15:00:00,2021
Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572357,2021-01-02 15:00:00,2021
Ross County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572356,2021-01-02 15:00:00,2021
Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572354,2021-01-02 15:00:00,2021
St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572348,2021-01-09 15:00:00,2021
Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572346,2021-01-09 15:00:00,2021
Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ross County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572350,2021-01-10 15:00:00,2021
Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572349,2021-01-10 15:00:00,2021
Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572347,2021-01-11 19:45:00,2021
Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572351,2021-01-12 18:30:00,2021
Ross County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572340,2021-01-16 15:00:00,2021
St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572345,2021-01-16 15:00:00,2021
Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572341,2021-01-16 15:00:00,2021
Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572342,2021-01-16 15:00:00,2021
Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572343,2021-01-16 15:00:00,2021
Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572344,2021-01-17 12:00:00,2021
Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572390,2021-01-20 20:15:00,2021
Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ross County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572338,2021-01-23 15:00:00,2021
Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572337,2021-01-23 15:00:00,2021
Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572333,2021-01-27 18:00:00,2021
St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572328,2021-01-27 18:00:00,2021
Ross County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572331,2021-01-27 18:00:00,2021
Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572330,2021-01-27 19:45:00,2021
Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572329,2021-01-27 19:45:00,2021
Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572332,2021-01-27 19:45:00,2021
Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572339,2021-01-30 15:00:00,2021
Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572457,2021-01-30 15:00:00,2021
Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572336,2021-01-30 15:00:00,2021
Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572358,2021-01-30 15:00:00,2021
Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572325,2021-02-02 18:00:00,2021
St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572324,2021-02-02 18:00:00,2021
Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572322,2021-02-02 19:45:00,2021
Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ross County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572326,2021-02-03 18:00:00,2021
Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572323,2021-02-03 18:00:00,2021
Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572327,2021-02-03 19:45:00,2021
Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572321,2021-02-06 15:00:00,2021
Ross County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572317,2021-02-06 15:00:00,2021
Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572316,2021-02-06 15:00:00,2021
St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572318,2021-02-06 15:00:00,2021
Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572319,2021-02-06 15:00:00,2021
Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572320,2021-02-07 12:00:00,2021
Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572477,2021-02-10 18:00:00,2021
St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572334,2021-02-10 20:00:00,2021
Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572315,2021-02-13 15:00:00,2021
Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572311,2021-02-13 15:00:00,2021
Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572314,2021-02-13 15:00:00,2021
Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572313,2021-02-13 15:00:00,2021
St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572310,2021-02-14 12:00:00,2021
Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572512,2021-02-17 18:00:00,2021
St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572463,2021-02-17 18:00:00,2021
Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572289,2021-02-20 15:00:00,2021
St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572290,2021-02-20 15:00:00,2021
Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamilton Academical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572288,2021-02-20 15:00:00,2021
Motherwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Johnstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572291,2021-02-20 15:00:00,2021
Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572287,2021-02-21 15:00:00,2021
