id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
263,Aberdeen,Aberdeen,Aberdeen,ABE,sco.aberdeen,C8142F,f9e900,https://a.espncdn.com/i/teamlogos/soccer/500-dark/263.png,True
256,Celtic,Celtic,Celtic,CEL,sco.celtic,009921,f9e900,https://a.espncdn.com/i/teamlogos/soccer/500-dark/256.png,True
261,Dundee,Dundee,Dundee,DUN,sco.dundee,000040,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/261.png,True
264,Dundee United,Dundee United,Dundee Utd,DUN,sco.dundee_utd,FF621A,009f00,https://a.espncdn.com/i/teamlogos/soccer/500-dark/264.png,True
254,Falkirk,Falkirk,Falkirk,FALK,sco.falkirk,000099,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/254.png,True
409,Hamilton Academical,Hamilton Academical,Hamilton,HAM,,C60000,203d5c,https://a.espncdn.com/i/teamlogos/soccer/500/409.png,True
262,Heart of Midlothian,Heart of Midlothian,Hearts,HOM,sco.hearts,8E003B,ead6b7,https://a.espncdn.com/i/teamlogos/soccer/500-dark/262.png,True
258,Hibernian,Hibernian,Hibernian,HIBS,sco.hibernian,009f00,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/258.png,True
260,Kilmarnock,Kilmarnock,Kilmarnock,KIL,sco.kilmarnock,0046ff,babbbf,https://a.espncdn.com/i/teamlogos/soccer/500-dark/260.png,True
259,Livingston,Livingston,Livingston,LIV,,ffd200,000000,https://a.espncdn.com/i/teamlogos/soccer/500/259.png,True
266,Motherwell,Motherwell,Motherwell,MOT,sco.motherwell,F7AA25,535e64,https://a.espncdn.com/i/teamlogos/soccer/500-dark/266.png,True
257,Rangers,Rangers,Rangers,RAN,sco.rangers,0046ff,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/257.png,True
251,Ross County,Ross County,Ross County,ROSS,,181146,C8142F,https://a.espncdn.com/i/teamlogos/soccer/500/251.png,True
267,St Johnstone,St Johnstone,St Johnstone,STJ,sco.st_johnstone,0046ff,9e0000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/267.png,True
250,St Mirren,St Mirren,St Mirren,STM,sco.st_mirren,000000,10d5f8,https://a.espncdn.com/i/teamlogos/soccer/500-dark/250.png,True
