event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
572352,2021-01-02 12:30:00,2021,257,256,Rangers,Celtic,1,0,post,STATUS_FULL_TIME
572353,2021-01-02 15:00:00,2021,263,264,Aberdeen,Dundee United,0,0,post,STATUS_FULL_TIME
572355,2021-01-02 15:00:00,2021,409,266,Hamilton Academical,Motherwell,3,0,post,STATUS_FULL_TIME
572354,2021-01-02 15:00:00,2021,258,259,Hibernian,Livingston,0,3,post,STATUS_FULL_TIME
572357,2021-01-02 15:00:00,2021,260,250,Kilmarnock,St Mirren,1,1,post,STATUS_FULL_TIME
572356,2021-01-02 15:00:00,2021,251,267,Ross County,St Johnstone,1,1,post,STATUS_FULL_TIME
572346,2021-01-09 15:00:00,2021,260,409,Kilmarnock,Hamilton Academical,2,0,post,STATUS_FULL_TIME
572348,2021-01-09 15:00:00,2021,250,266,St Mirren,Motherwell,1,1,post,STATUS_FULL_TIME
572350,2021-01-10 15:00:00,2021,259,251,Livingston,Ross County,3,1,post,STATUS_FULL_TIME
572349,2021-01-10 15:00:00,2021,263,257,Aberdeen,Rangers,1,2,post,STATUS_FULL_TIME
572347,2021-01-11 19:45:00,2021,256,258,Celtic,Hibernian,1,1,post,STATUS_FULL_TIME
572351,2021-01-12 18:30:00,2021,264,267,Dundee United,St Johnstone,2,2,post,STATUS_FULL_TIME
572343,2021-01-16 15:00:00,2021,256,259,Celtic,Livingston,0,0,post,STATUS_FULL_TIME
572341,2021-01-16 15:00:00,2021,409,264,Hamilton Academical,Dundee United,0,0,post,STATUS_FULL_TIME
572342,2021-01-16 15:00:00,2021,258,260,Hibernian,Kilmarnock,2,0,post,STATUS_FULL_TIME
572340,2021-01-16 15:00:00,2021,251,263,Ross County,Aberdeen,4,1,post,STATUS_FULL_TIME
572345,2021-01-16 15:00:00,2021,267,250,St Johnstone,St Mirren,1,0,post,STATUS_FULL_TIME
572344,2021-01-17 12:00:00,2021,266,257,Motherwell,Rangers,1,1,post,STATUS_FULL_TIME
572390,2021-01-20 20:15:00,2021,259,256,Livingston,Celtic,2,2,post,STATUS_FULL_TIME
572338,2021-01-23 15:00:00,2021,257,251,Rangers,Ross County,5,0,post,STATUS_FULL_TIME
572337,2021-01-23 15:00:00,2021,263,266,Aberdeen,Motherwell,2,0,post,STATUS_FULL_TIME
572333,2021-01-27 18:00:00,2021,264,250,Dundee United,St Mirren,1,5,post,STATUS_FULL_TIME
572331,2021-01-27 18:00:00,2021,251,266,Ross County,Motherwell,1,2,post,STATUS_FULL_TIME
572328,2021-01-27 18:00:00,2021,267,263,St Johnstone,Aberdeen,0,0,post,STATUS_FULL_TIME
572329,2021-01-27 19:45:00,2021,256,409,Celtic,Hamilton Academical,2,0,post,STATUS_FULL_TIME
572332,2021-01-27 19:45:00,2021,258,257,Hibernian,Rangers,0,1,post,STATUS_FULL_TIME
572330,2021-01-27 19:45:00,2021,259,260,Livingston,Kilmarnock,2,0,post,STATUS_FULL_TIME
572358,2021-01-30 15:00:00,2021,259,263,Livingston,Aberdeen,0,0,post,STATUS_FULL_TIME
572339,2021-01-30 15:00:00,2021,260,267,Kilmarnock,St Johnstone,2,3,post,STATUS_FULL_TIME
572457,2021-01-30 15:00:00,2021,256,250,Celtic,St Mirren,1,2,post,STATUS_FULL_TIME
572336,2021-01-30 15:00:00,2021,264,258,Dundee United,Hibernian,0,2,post,STATUS_FULL_TIME
572325,2021-02-02 18:00:00,2021,263,259,Aberdeen,Livingston,0,2,post,STATUS_FULL_TIME
572324,2021-02-02 18:00:00,2021,250,258,St Mirren,Hibernian,1,2,post,STATUS_FULL_TIME
572322,2021-02-02 19:45:00,2021,260,256,Kilmarnock,Celtic,0,4,post,STATUS_FULL_TIME
572326,2021-02-03 18:00:00,2021,409,251,Hamilton Academical,Ross County,1,2,post,STATUS_FULL_TIME
572323,2021-02-03 18:00:00,2021,266,264,Motherwell,Dundee United,2,1,post,STATUS_FULL_TIME
572327,2021-02-03 19:45:00,2021,257,267,Rangers,St Johnstone,1,0,post,STATUS_FULL_TIME
572318,2021-02-06 15:00:00,2021,250,260,St Mirren,Kilmarnock,2,0,post,STATUS_FULL_TIME
572317,2021-02-06 15:00:00,2021,251,264,Ross County,Dundee United,0,2,post,STATUS_FULL_TIME
572319,2021-02-06 15:00:00,2021,256,266,Celtic,Motherwell,2,1,post,STATUS_FULL_TIME
572316,2021-02-06 15:00:00,2021,258,263,Hibernian,Aberdeen,2,0,post,STATUS_FULL_TIME
572321,2021-02-06 15:00:00,2021,259,267,Livingston,St Johnstone,1,2,post,STATUS_FULL_TIME
572320,2021-02-07 12:00:00,2021,409,257,Hamilton Academical,Rangers,1,1,post,STATUS_FULL_TIME
572477,2021-02-10 18:00:00,2021,260,266,Kilmarnock,Motherwell,0,1,post,STATUS_FULL_TIME
572334,2021-02-10 20:00:00,2021,250,256,St Mirren,Celtic,0,4,post,STATUS_FULL_TIME
