temporada,equipo,squad_value
2020,Celtic,110.6
2020,Rangers,86.9
2020,Heart of Midlothian,19.8
2020,Aberdeen,15.8
2020,Hibernian,14.2
2020,Dundee United,9.5
2020,Kilmarnock,9.5
2020,Dundee,7.9
2020,Motherwell,7.9
2020,St Mirren,8.7
2020,St Johnstone,7.1
2020,Ross County,6.3
2020,Livingston,5.5
2020,Falkirk,5.5
2020,Hamilton Academical,5.0
2021,Celtic,115.5
2021,Rangers,90.8
2021,Heart of Midlothian,20.6
2021,Aberdeen,16.5
2021,Hibernian,14.8
2021,Dundee United,9.9
2021,Kilmarnock,9.9
2021,Dundee,8.2
2021,Motherwell,8.2
2021,St Mirren,9.1
2021,St Johnstone,7.4
2021,Ross County,6.6
2021,Livingston,5.8
2021,Falkirk,5.8
2021,Hamilton Academical,5.0
2022,Celtic,120.4
2022,Rangers,94.6
2022,Heart of Midlothian,21.5
2022,Aberdeen,17.2
2022,Hibernian,15.5
2022,Dundee United,10.3
2022,Kilmarnock,10.3
2022,Dundee,8.6
2022,Motherwell,8.6
2022,St Mirren,9.5
2022,St Johnstone,7.7
2022,Ross County,6.9
2022,Livingston,6.0
2022,Falkirk,6.0
2022,Hamilton Academical,5.0
2023,Celtic,125.3
2023,Rangers,98.5
2023,Heart of Midlothian,22.4
2023,Aberdeen,17.9
2023,Hibernian,16.1
2023,Dundee United,10.7
2023,Kilmarnock,10.7
2023,Dundee,8.9
2023,Motherwell,8.9
2023,St Mirren,9.8
2023,St Johnstone,8.1
2023,Ross County,7.2
2023,Livingston,6.3
2023,Falkirk,6.3
2023,Hamilton Academical,5.0
2024,Celtic,130.2
2024,Rangers,102.3
2024,Heart of Midlothian,23.2
2024,Aberdeen,18.6
2024,Hibernian,16.7
2024,Dundee United,11.2
2024,Kilmarnock,11.2
2024,Dundee,9.3
2024,Motherwell,9.3
2024,St Mirren,10.2
2024,St Johnstone,8.4
2024,Ross County,7.4
2024,Livingston,6.5
2024,Falkirk,6.5
2024,Hamilton Academical,5.0
2025,Celtic,135.1
2025,Rangers,106.1
2025,Heart of Midlothian,24.1
2025,Aberdeen,19.3
2025,Hibernian,17.4
2025,Dundee United,11.6
2025,Kilmarnock,11.6
2025,Dundee,9.7
2025,Motherwell,9.7
2025,St Mirren,10.6
2025,St Johnstone,8.7
2025,Ross County,7.7
2025,Livingston,6.8
2025,Falkirk,6.8
2025,Hamilton Academical,5.0
2026,Celtic,140.0
2026,Rangers,110.0
2026,Heart of Midlothian,25.0
2026,Aberdeen,20.0
2026,Hibernian,18.0
2026,Dundee United,12.0
2026,Kilmarnock,12.0
2026,Dundee,10.0
2026,Motherwell,10.0
2026,St Mirren,11.0
2026,St Johnstone,9.0
2026,Ross County,8.0
2026,Livingston,7.0
2026,Falkirk,7.0
2026,Hamilton Academical,5.0
2027,Celtic,144.9
2027,Rangers,113.8
2027,Heart of Midlothian,25.9
2027,Aberdeen,20.7
2027,Hibernian,18.6
2027,Dundee United,12.4
2027,Kilmarnock,12.4
2027,Dundee,10.3
2027,Motherwell,10.3
2027,St Mirren,11.4
2027,St Johnstone,9.3
2027,Ross County,8.3
2027,Livingston,7.2
2027,Falkirk,7.2
2027,Hamilton Academical,5.2
