temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Malmo FF,28,26.0,11,0.39,35.6,22500,20000,0.8889
2020,Djurgarden,28,25.5,10,0.36,22.1,30000,21000,0.7
2020,Hammarby,28,24.8,10,0.36,20.5,30000,24000,0.8
2020,AIK,28,25.8,10,0.36,19.0,50000,25000,0.5
2020,BK Hacken,28,25.0,13,0.46,17.4,6300,5500,0.873
2020,IF Elfsborg,28,24.8,9,0.32,15.8,16200,10000,0.6173
2020,IFK Goteborg,28,25.2,8,0.29,14.2,18416,16500,0.896
2020,IFK Norrkoping,28,25.0,8,0.29,11.1,16000,8500,0.5312
2020,Mjallby AIF,28,25.5,6,0.21,9.5,7000,4500,0.6429
2020,IK Sirius,28,24.6,7,0.25,9.5,10250,7000,0.6829
2020,GAIS,28,25.4,7,0.25,8.7,18416,9000,0.4887
2020,Brommapojkarna,28,23.5,7,0.25,7.9,5000,2800,0.56
2020,Kalmar FF,28,25.8,7,0.25,7.9,12182,6500,0.5336
2020,Halmstads BK,28,26.2,6,0.21,7.1,10875,6000,0.5517
2020,IFK Varnamo,28,25.4,6,0.21,6.3,5000,3500,0.7
2020,Vasteras SK,28,25.2,6,0.21,6.3,7000,5000,0.7143
2020,Degerfors IF,28,25.5,6,0.21,5.5,7500,4000,0.5333
2020,Helsingborgs IF,28,25.0,7,0.25,5.5,16500,8000,0.4848
2020,Varbergs BoIS,28,25.4,6,0.21,5.0,4500,3000,0.6667
2020,Orebro SK,28,25.6,6,0.21,5.0,12645,5500,0.435
2020,Osters IF,28,25.0,6,0.21,5.0,12000,5000,0.4167
2020,GIF Sundsvall,28,25.2,6,0.21,5.0,8000,3500,0.4375
2020,Ostersunds FK,28,25.5,8,0.29,5.0,8466,3200,0.378
2020,Orgryte IS,28,25.0,6,0.21,5.0,18416,3500,0.1901
2021,Malmo FF,28,26.0,11,0.39,37.1,22500,20000,0.8889
2021,Djurgarden,28,25.5,10,0.36,23.1,30000,21000,0.7
2021,Hammarby,28,24.8,10,0.36,21.4,30000,24000,0.8
2021,AIK,28,25.8,10,0.36,19.8,50000,25000,0.5
2021,BK Hacken,28,25.0,13,0.46,18.1,6300,5500,0.873
2021,IF Elfsborg,28,24.8,9,0.32,16.5,16200,10000,0.6173
2021,IFK Goteborg,28,25.2,8,0.29,14.8,18416,16500,0.896
2021,IFK Norrkoping,28,25.0,8,0.29,11.5,16000,8500,0.5312
2021,Mjallby AIF,28,25.5,6,0.21,9.9,7000,4500,0.6429
2021,IK Sirius,28,24.6,7,0.25,9.9,10250,7000,0.6829
2021,GAIS,28,25.4,7,0.25,9.1,18416,9000,0.4887
2021,Brommapojkarna,28,23.5,7,0.25,8.2,5000,2800,0.56
2021,Kalmar FF,28,25.8,7,0.25,8.2,12182,6500,0.5336
2021,Halmstads BK,28,26.2,6,0.21,7.4,10875,6000,0.5517
2021,IFK Varnamo,28,25.4,6,0.21,6.6,5000,3500,0.7
2021,Vasteras SK,28,25.2,6,0.21,6.6,7000,5000,0.7143
2021,Degerfors IF,28,25.5,6,0.21,5.8,7500,4000,0.5333
2021,Helsingborgs IF,28,25.0,7,0.25,5.8,16500,8000,0.4848
2021,Varbergs BoIS,28,25.4,6,0.21,5.0,4500,3000,0.6667
2021,Orebro SK,28,25.6,6,0.21,5.0,12645,5500,0.435
2021,Osters IF,28,25.0,6,0.21,5.0,12000,5000,0.4167
2021,GIF Sundsvall,28,25.2,6,0.21,5.0,8000,3500,0.4375
2021,Ostersunds FK,28,25.5,8,0.29,5.0,8466,3200,0.378
2021,Orgryte IS,28,25.0,6,0.21,5.0,18416,3500,0.1901
2022,Malmo FF,28,26.0,11,0.39,38.7,22500,20000,0.8889
2022,Djurgarden,28,25.5,10,0.36,24.1,30000,21000,0.7
2022,Hammarby,28,24.8,10,0.36,22.4,30000,24000,0.8
2022,AIK,28,25.8,10,0.36,20.6,50000,25000,0.5
2022,BK Hacken,28,25.0,13,0.46,18.9,6300,5500,0.873
2022,IF Elfsborg,28,24.8,9,0.32,17.2,16200,10000,0.6173
2022,IFK Goteborg,28,25.2,8,0.29,15.5,18416,16500,0.896
2022,IFK Norrkoping,28,25.0,8,0.29,12.0,16000,8500,0.5312
2022,Mjallby AIF,28,25.5,6,0.21,10.3,7000,4500,0.6429
2022,IK Sirius,28,24.6,7,0.25,10.3,10250,7000,0.6829
2022,GAIS,28,25.4,7,0.25,9.5,18416,9000,0.4887
2022,Brommapojkarna,28,23.5,7,0.25,8.6,5000,2800,0.56
2022,Kalmar FF,28,25.8,7,0.25,8.6,12182,6500,0.5336
2022,Halmstads BK,28,26.2,6,0.21,7.7,10875,6000,0.5517
2022,IFK Varnamo,28,25.4,6,0.21,6.9,5000,3500,0.7
2022,Vasteras SK,28,25.2,6,0.21,6.9,7000,5000,0.7143
2022,Degerfors IF,28,25.5,6,0.21,6.0,7500,4000,0.5333
2022,Helsingborgs IF,28,25.0,7,0.25,6.0,16500,8000,0.4848
2022,Varbergs BoIS,28,25.4,6,0.21,5.2,4500,3000,0.6667
2022,Orebro SK,28,25.6,6,0.21,5.2,12645,5500,0.435
2022,Osters IF,28,25.0,6,0.21,5.2,12000,5000,0.4167
2022,GIF Sundsvall,28,25.2,6,0.21,5.0,8000,3500,0.4375
2022,Ostersunds FK,28,25.5,8,0.29,5.0,8466,3200,0.378
2022,Orgryte IS,28,25.0,6,0.21,5.0,18416,3500,0.1901
2023,Malmo FF,28,26.0,11,0.39,40.3,22500,20000,0.8889
2023,Djurgarden,28,25.5,10,0.36,25.1,30000,21000,0.7
2023,Hammarby,28,24.8,10,0.36,23.3,30000,24000,0.8
2023,AIK,28,25.8,10,0.36,21.5,50000,25000,0.5
2023,BK Hacken,28,25.0,13,0.46,19.7,6300,5500,0.873
2023,IF Elfsborg,28,24.8,9,0.32,17.9,16200,10000,0.6173
2023,IFK Goteborg,28,25.2,8,0.29,16.1,18416,16500,0.896
2023,IFK Norrkoping,28,25.0,8,0.29,12.5,16000,8500,0.5312
2023,Mjallby AIF,28,25.5,6,0.21,10.7,7000,4500,0.6429
2023,IK Sirius,28,24.6,7,0.25,10.7,10250,7000,0.6829
2023,GAIS,28,25.4,7,0.25,9.8,18416,9000,0.4887
2023,Brommapojkarna,28,23.5,7,0.25,8.9,5000,2800,0.56
2023,Kalmar FF,28,25.8,7,0.25,8.9,12182,6500,0.5336
2023,Halmstads BK,28,26.2,6,0.21,8.1,10875,6000,0.5517
2023,IFK Varnamo,28,25.4,6,0.21,7.2,5000,3500,0.7
2023,Vasteras SK,28,25.2,6,0.21,7.2,7000,5000,0.7143
2023,Degerfors IF,28,25.5,6,0.21,6.3,7500,4000,0.5333
2023,Helsingborgs IF,28,25.0,7,0.25,6.3,16500,8000,0.4848
2023,Varbergs BoIS,28,25.4,6,0.21,5.4,4500,3000,0.6667
2023,Orebro SK,28,25.6,6,0.21,5.4,12645,5500,0.435
2023,Osters IF,28,25.0,6,0.21,5.4,12000,5000,0.4167
2023,GIF Sundsvall,28,25.2,6,0.21,5.0,8000,3500,0.4375
2023,Ostersunds FK,28,25.5,8,0.29,5.0,8466,3200,0.378
2023,Orgryte IS,28,25.0,6,0.21,5.0,18416,3500,0.1901
2024,Malmo FF,28,26.0,11,0.39,41.8,22500,20000,0.8889
2024,Djurgarden,28,25.5,10,0.36,26.0,30000,21000,0.7
2024,Hammarby,28,24.8,10,0.36,24.2,30000,24000,0.8
2024,AIK,28,25.8,10,0.36,22.3,50000,25000,0.5
2024,BK Hacken,28,25.0,13,0.46,20.5,6300,5500,0.873
2024,IF Elfsborg,28,24.8,9,0.32,18.6,16200,10000,0.6173
2024,IFK Goteborg,28,25.2,8,0.29,16.7,18416,16500,0.896
2024,IFK Norrkoping,28,25.0,8,0.29,13.0,16000,8500,0.5312
2024,Mjallby AIF,28,25.5,6,0.21,11.2,7000,4500,0.6429
2024,IK Sirius,28,24.6,7,0.25,11.2,10250,7000,0.6829
2024,GAIS,28,25.4,7,0.25,10.2,18416,9000,0.4887
2024,Brommapojkarna,28,23.5,7,0.25,9.3,5000,2800,0.56
2024,Kalmar FF,28,25.8,7,0.25,9.3,12182,6500,0.5336
2024,Halmstads BK,28,26.2,6,0.21,8.4,10875,6000,0.5517
2024,IFK Varnamo,28,25.4,6,0.21,7.4,5000,3500,0.7
2024,Vasteras SK,28,25.2,6,0.21,7.4,7000,5000,0.7143
2024,Degerfors IF,28,25.5,6,0.21,6.5,7500,4000,0.5333
2024,Helsingborgs IF,28,25.0,7,0.25,6.5,16500,8000,0.4848
2024,Varbergs BoIS,28,25.4,6,0.21,5.6,4500,3000,0.6667
2024,Orebro SK,28,25.6,6,0.21,5.6,12645,5500,0.435
2024,Osters IF,28,25.0,6,0.21,5.6,12000,5000,0.4167
2024,GIF Sundsvall,28,25.2,6,0.21,5.0,8000,3500,0.4375
2024,Ostersunds FK,28,25.5,8,0.29,5.0,8466,3200,0.378
2024,Orgryte IS,28,25.0,6,0.21,5.0,18416,3500,0.1901
2025,Malmo FF,28,26.0,11,0.39,43.4,22500,20000,0.8889
2025,Djurgarden,28,25.5,10,0.36,27.0,30000,21000,0.7
2025,Hammarby,28,24.8,10,0.36,25.1,30000,24000,0.8
2025,AIK,28,25.8,10,0.36,23.2,50000,25000,0.5
2025,BK Hacken,28,25.0,13,0.46,21.2,6300,5500,0.873
2025,IF Elfsborg,28,24.8,9,0.32,19.3,16200,10000,0.6173
2025,IFK Goteborg,28,25.2,8,0.29,17.4,18416,16500,0.896
2025,IFK Norrkoping,28,25.0,8,0.29,13.5,16000,8500,0.5312
2025,Mjallby AIF,28,25.5,6,0.21,11.6,7000,4500,0.6429
2025,IK Sirius,28,24.6,7,0.25,11.6,10250,7000,0.6829
2025,GAIS,28,25.4,7,0.25,10.6,18416,9000,0.4887
2025,Brommapojkarna,28,23.5,7,0.25,9.7,5000,2800,0.56
2025,Kalmar FF,28,25.8,7,0.25,9.7,12182,6500,0.5336
2025,Halmstads BK,28,26.2,6,0.21,8.7,10875,6000,0.5517
2025,IFK Varnamo,28,25.4,6,0.21,7.7,5000,3500,0.7
2025,Vasteras SK,28,25.2,6,0.21,7.7,7000,5000,0.7143
2025,Degerfors IF,28,25.5,6,0.21,6.8,7500,4000,0.5333
2025,Helsingborgs IF,28,25.0,7,0.25,6.8,16500,8000,0.4848
2025,Varbergs BoIS,28,25.4,6,0.21,5.8,4500,3000,0.6667
2025,Orebro SK,28,25.6,6,0.21,5.8,12645,5500,0.435
2025,Osters IF,28,25.0,6,0.21,5.8,12000,5000,0.4167
2025,GIF Sundsvall,28,25.2,6,0.21,5.0,8000,3500,0.4375
2025,Ostersunds FK,28,25.5,8,0.29,5.0,8466,3200,0.378
2025,Orgryte IS,28,25.0,6,0.21,5.0,18416,3500,0.1901
2026,Malmo FF,28,26.0,11,0.39,45.0,22500,20000,0.8889
2026,Djurgarden,28,25.5,10,0.36,28.0,30000,21000,0.7
2026,Hammarby,28,24.8,10,0.36,26.0,30000,24000,0.8
2026,AIK,28,25.8,10,0.36,24.0,50000,25000,0.5
2026,BK Hacken,28,25.0,13,0.46,22.0,6300,5500,0.873
2026,IF Elfsborg,28,24.8,9,0.32,20.0,16200,10000,0.6173
2026,IFK Goteborg,28,25.2,8,0.29,18.0,18416,16500,0.896
2026,IFK Norrkoping,28,25.0,8,0.29,14.0,16000,8500,0.5312
2026,Mjallby AIF,28,25.5,6,0.21,12.0,7000,4500,0.6429
2026,IK Sirius,28,24.6,7,0.25,12.0,10250,7000,0.6829
2026,GAIS,28,25.4,7,0.25,11.0,18416,9000,0.4887
2026,Brommapojkarna,28,23.5,7,0.25,10.0,5000,2800,0.56
2026,Kalmar FF,28,25.8,7,0.25,10.0,12182,6500,0.5336
2026,Halmstads BK,28,26.2,6,0.21,9.0,10875,6000,0.5517
2026,IFK Varnamo,28,25.4,6,0.21,8.0,5000,3500,0.7
2026,Vasteras SK,28,25.2,6,0.21,8.0,7000,5000,0.7143
2026,Degerfors IF,28,25.5,6,0.21,7.0,7500,4000,0.5333
2026,Helsingborgs IF,28,25.0,7,0.25,7.0,16500,8000,0.4848
2026,Varbergs BoIS,28,25.4,6,0.21,6.0,4500,3000,0.6667
2026,Orebro SK,28,25.6,6,0.21,6.0,12645,5500,0.435
2026,Osters IF,28,25.0,6,0.21,6.0,12000,5000,0.4167
2026,GIF Sundsvall,28,25.2,6,0.21,5.0,8000,3500,0.4375
2026,Ostersunds FK,28,25.5,8,0.29,5.0,8466,3200,0.378
2026,Orgryte IS,28,25.0,6,0.21,5.0,18416,3500,0.1901
