local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Malmö FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammarby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592874,2021-04-10 13:00:00,2021
Orebro SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFK Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592875,2021-04-10 15:30:00,2021
Mjällby AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Varbergs BoIS FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592877,2021-04-11 13:00:00,2021
Halmstads BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK Häcken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592872,2021-04-11 13:00:00,2021
IF Elfsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djurgården,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592873,2021-04-11 15:30:00,2021
IFK Norrköping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IK Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592876,2021-04-11 15:30:00,2021
Kalmar FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Östersunds FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592878,2021-04-12 17:00:00,2021
AIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Degerfors IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600561,2021-04-12 17:00:00,2021
Hammarby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjällby AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592870,2021-04-17 13:00:00,2021
Östersunds FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orebro SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592871,2021-04-18 13:00:00,2021
BK Häcken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malmö FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592869,2021-04-18 13:00:00,2021
Degerfors IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalmar FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600560,2021-04-18 13:00:00,2021
Djurgården,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFK Norrköping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592868,2021-04-18 15:30:00,2021
IK Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halmstads BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592866,2021-04-18 15:30:00,2021
Varbergs BoIS FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF Elfsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592867,2021-04-19 17:00:00,2021
IFK Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592865,2021-04-19 17:00:00,2021
BK Häcken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IK Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592861,2021-04-24 13:00:00,2021
IFK Norrköping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halmstads BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592859,2021-04-25 13:00:00,2021
Kalmar FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orebro SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592863,2021-04-25 13:00:00,2021
Varbergs BoIS FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djurgården,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592858,2021-04-25 13:00:00,2021
AIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammarby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592860,2021-04-25 15:30:00,2021
Malmö FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Östersunds FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592864,2021-04-25 15:30:00,2021
IFK Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Degerfors IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600559,2021-04-26 16:30:00,2021
IF Elfsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjällby AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592862,2021-04-26 16:30:00,2021
IK Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalmar FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592855,2021-05-01 13:00:00,2021
Hammarby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK Häcken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592851,2021-05-01 15:30:00,2021
Östersunds FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Varbergs BoIS FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592857,2021-05-02 13:00:00,2021
Halmstads BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFK Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592853,2021-05-02 13:00:00,2021
Orebro SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFK Norrköping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592854,2021-05-02 13:00:00,2021
AIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF Elfsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592852,2021-05-02 15:30:00,2021
Mjällby AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Degerfors IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600558,2021-05-03 16:30:00,2021
Djurgården,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malmö FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592856,2021-05-03 16:30:00,2021
IFK Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BK Häcken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592845,2021-05-08 13:00:00,2021
Hammarby IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IK Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592847,2021-05-08 13:00:00,2021
IF Elfsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalmar FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592848,2021-05-08 15:30:00,2021
Orebro SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halmstads BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592846,2021-05-08 15:30:00,2021
Mjällby AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Östersunds FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592850,2021-05-09 13:00:00,2021
Degerfors IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djurgården,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600557,2021-05-09 13:00:00,2021
Malmö FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Varbergs BoIS FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592849,2021-05-09 15:30:00,2021
IFK Norrköping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592844,2021-05-10 16:30:00,2021
Kalmar FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFK Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592839,2021-05-12 16:30:00,2021
BK Häcken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orebro SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592842,2021-05-12 16:30:00,2021
IK Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF Elfsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592838,2021-05-12 16:30:00,2021
