id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
994,AIK,AIK,AIK,AIK,team.aik,c9ad00,003155,https://a.espncdn.com/i/teamlogos/soccer/500-dark/994.png,True
7834,BK Häcken,BK Hacken,BK Häcken,BKH,team.bk-hacken,000000,f7ee09,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7834.png,True
8221,IF Brommapojkarna,Brommapojkarna,Brommapojkar,BRO,team.brommapojkarna,000000,DF1E1E,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8221.png,True
20856,Degerfors IF,Degerfors IF,Degerfors,DEG,degerfors_if,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20856.png,True
2339,Djurgården,Djurgarden,Djurgården,DJU,swe.djurgarden,64a6e1,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2339.png,True
8222,GAIS,GAIS,GAIS,GAIS,team.gais,009d58,ee293c,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8222.png,True
3010,GIF Sundsvall,GIF Sundsvall,GIF Sundsval,GIF,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/3010.png,True
3017,Halmstads BK,Halmstads BK,Halmstads,HBK,swe.halmstads_bk,0058a2,d6b160,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3017.png,True
2495,Hammarby IF,Hammarby,Hammarby,HAM,team.hammarby,ffcc00,007a43,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2495.png,True
535,Helsingborg,Helsingborgs IF,Helsingborg,HEL,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/535.png,True
529,IF Elfsborg,IF Elfsborg,Elfsborg,ELF,team.elfsborg,ffef32,ff0900,https://a.espncdn.com/i/teamlogos/soccer/500-dark/529.png,True
2556,IFK Göteborg,IFK Goteborg,Göteborg,GOT,team.ifk,fabd00,214a99,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2556.png,True
8544,IFK Norrköping,IFK Norrkoping,Norrköping,NOR,,00539f,9a8348,https://a.espncdn.com/i/teamlogos/soccer/500/8544.png,True
21382,IFK Värnamo,IFK Varnamo,Värnamo,VAR,,ffffff,005a9f,https://a.espncdn.com/i/teamlogos/soccer/500/21382.png,True
8547,IK Sirius,IK Sirius,Sirius,SIR,team.sirius,d62612,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/8547.png,True
3052,Kalmar FF,Kalmar FF,Kalmar FF,KFF,swe.kalmar_ff,db1b30,c6870f,https://a.espncdn.com/i/teamlogos/soccer/500-dark/3052.png,True
2720,Malmö FF,Malmo FF,Malmö,MAL,swe.malmo_ff,5699eb,052a87,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2720.png,True
20301,Mjällby AIF,Mjallby AIF,Mjällby,MJA,mjallby,231f20,ffd400,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20301.png,True
7944,Orebro SK,Orebro SK,Orebro SK,ORE,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/7944.png,True
131552,Örgryte IS,Orgryte IS,Örgryte,ÖRG,orgyteis,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/131552.png,True
2936,Östers IF,Osters IF,Östers,OST,,FFD700,55aaff,https://a.espncdn.com/i/teamlogos/soccer/500/2936.png,True
5043,Östersunds FK,Ostersunds FK,Östersunds,OFK,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/5043.png,True
6545,Varbergs BoIS FC,Varbergs BoIS,Varbergs BoIS ,VAR,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/6545.png,True
22163,Västerås SK,Vasteras SK,Västerås,VAS,vasteras_sk,007948,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/22163.png,True
