event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
592874,2021-04-10 15:00:00,2021,2720,2495,Malmo FF,Hammarby,3,2,post,STATUS_FULL_TIME
592875,2021-04-10 17:30:00,2021,7944,2556,Orebro SK,IFK Goteborg,0,0,post,STATUS_FULL_TIME
592872,2021-04-11 15:00:00,2021,3017,7834,Halmstads BK,BK Hacken,1,0,post,STATUS_FULL_TIME
592877,2021-04-11 15:00:00,2021,20301,6545,Mjallby AIF,Varbergs BoIS,0,0,post,STATUS_FULL_TIME
592873,2021-04-11 17:30:00,2021,529,2339,IF Elfsborg,Djurgarden,0,2,post,STATUS_FULL_TIME
592876,2021-04-11 17:30:00,2021,8544,8547,IFK Norrkoping,IK Sirius,1,1,post,STATUS_FULL_TIME
600561,2021-04-12 19:00:00,2021,994,20856,AIK,Degerfors IF,2,0,post,STATUS_FULL_TIME
592878,2021-04-12 19:00:00,2021,3052,5043,Kalmar FF,Ostersunds FK,0,0,post,STATUS_FULL_TIME
592870,2021-04-17 15:00:00,2021,2495,20301,Hammarby,Mjallby AIF,2,0,post,STATUS_FULL_TIME
592871,2021-04-18 15:00:00,2021,5043,7944,Ostersunds FK,Orebro SK,5,0,post,STATUS_FULL_TIME
600560,2021-04-18 15:00:00,2021,20856,3052,Degerfors IF,Kalmar FF,0,1,post,STATUS_FULL_TIME
592869,2021-04-18 15:00:00,2021,7834,2720,BK Hacken,Malmo FF,1,2,post,STATUS_FULL_TIME
592868,2021-04-18 17:30:00,2021,2339,8544,Djurgarden,IFK Norrkoping,1,0,post,STATUS_FULL_TIME
592866,2021-04-18 17:30:00,2021,8547,3017,IK Sirius,Halmstads BK,1,0,post,STATUS_FULL_TIME
592865,2021-04-19 19:00:00,2021,2556,994,IFK Goteborg,AIK,2,0,post,STATUS_FULL_TIME
592867,2021-04-19 19:00:00,2021,6545,529,Varbergs BoIS,IF Elfsborg,1,3,post,STATUS_FULL_TIME
592861,2021-04-24 15:00:00,2021,7834,8547,BK Hacken,IK Sirius,1,2,post,STATUS_FULL_TIME
592859,2021-04-25 15:00:00,2021,8544,3017,IFK Norrkoping,Halmstads BK,2,1,post,STATUS_FULL_TIME
592863,2021-04-25 15:00:00,2021,3052,7944,Kalmar FF,Orebro SK,1,0,post,STATUS_FULL_TIME
592858,2021-04-25 15:00:00,2021,6545,2339,Varbergs BoIS,Djurgarden,1,3,post,STATUS_FULL_TIME
592864,2021-04-25 17:30:00,2021,2720,5043,Malmo FF,Ostersunds FK,1,1,post,STATUS_FULL_TIME
592860,2021-04-25 17:30:00,2021,994,2495,AIK,Hammarby,2,0,post,STATUS_FULL_TIME
592862,2021-04-26 18:30:00,2021,529,20301,IF Elfsborg,Mjallby AIF,1,0,post,STATUS_FULL_TIME
600559,2021-04-26 18:30:00,2021,2556,20856,IFK Goteborg,Degerfors IF,2,3,post,STATUS_FULL_TIME
592855,2021-05-01 15:00:00,2021,8547,3052,IK Sirius,Kalmar FF,1,1,post,STATUS_FULL_TIME
592851,2021-05-01 17:30:00,2021,2495,7834,Hammarby,BK Hacken,1,1,post,STATUS_FULL_TIME
592853,2021-05-02 15:00:00,2021,3017,2556,Halmstads BK,IFK Goteborg,1,1,post,STATUS_FULL_TIME
592854,2021-05-02 15:00:00,2021,7944,8544,Orebro SK,IFK Norrkoping,0,3,post,STATUS_FULL_TIME
592857,2021-05-02 15:00:00,2021,5043,6545,Ostersunds FK,Varbergs BoIS,1,2,post,STATUS_FULL_TIME
592852,2021-05-02 17:30:00,2021,994,529,AIK,IF Elfsborg,1,0,post,STATUS_FULL_TIME
600558,2021-05-03 18:30:00,2021,20301,20856,Mjallby AIF,Degerfors IF,1,0,post,STATUS_FULL_TIME
592856,2021-05-03 18:30:00,2021,2339,2720,Djurgarden,Malmo FF,3,1,post,STATUS_FULL_TIME
