temporada,equipo,squad_value
2020,Malmo FF,35.6
2020,Djurgarden,22.1
2020,Hammarby,20.5
2020,AIK,19.0
2020,BK Hacken,17.4
2020,IF Elfsborg,15.8
2020,IFK Goteborg,14.2
2020,IFK Norrkoping,11.1
2020,Mjallby AIF,9.5
2020,IK Sirius,9.5
2020,GAIS,8.7
2020,Brommapojkarna,7.9
2020,Kalmar FF,7.9
2020,Halmstads BK,7.1
2020,IFK Varnamo,6.3
2020,Vasteras SK,6.3
2020,Degerfors IF,5.5
2020,Helsingborgs IF,5.5
2020,Varbergs BoIS,5.0
2020,Orebro SK,5.0
2020,Osters IF,5.0
2020,GIF Sundsvall,5.0
2020,Ostersunds FK,5.0
2020,Orgryte IS,5.0
2021,Malmo FF,37.1
2021,Djurgarden,23.1
2021,Hammarby,21.4
2021,AIK,19.8
2021,BK Hacken,18.1
2021,IF Elfsborg,16.5
2021,IFK Goteborg,14.8
2021,IFK Norrkoping,11.5
2021,Mjallby AIF,9.9
2021,IK Sirius,9.9
2021,GAIS,9.1
2021,Brommapojkarna,8.2
2021,Kalmar FF,8.2
2021,Halmstads BK,7.4
2021,IFK Varnamo,6.6
2021,Vasteras SK,6.6
2021,Degerfors IF,5.8
2021,Helsingborgs IF,5.8
2021,Varbergs BoIS,5.0
2021,Orebro SK,5.0
2021,Osters IF,5.0
2021,GIF Sundsvall,5.0
2021,Ostersunds FK,5.0
2021,Orgryte IS,5.0
2022,Malmo FF,38.7
2022,Djurgarden,24.1
2022,Hammarby,22.4
2022,AIK,20.6
2022,BK Hacken,18.9
2022,IF Elfsborg,17.2
2022,IFK Goteborg,15.5
2022,IFK Norrkoping,12.0
2022,Mjallby AIF,10.3
2022,IK Sirius,10.3
2022,GAIS,9.5
2022,Brommapojkarna,8.6
2022,Kalmar FF,8.6
2022,Halmstads BK,7.7
2022,IFK Varnamo,6.9
2022,Vasteras SK,6.9
2022,Degerfors IF,6.0
2022,Helsingborgs IF,6.0
2022,Varbergs BoIS,5.2
2022,Orebro SK,5.2
2022,Osters IF,5.2
2022,GIF Sundsvall,5.0
2022,Ostersunds FK,5.0
2022,Orgryte IS,5.0
2023,Malmo FF,40.3
2023,Djurgarden,25.1
2023,Hammarby,23.3
2023,AIK,21.5
2023,BK Hacken,19.7
2023,IF Elfsborg,17.9
2023,IFK Goteborg,16.1
2023,IFK Norrkoping,12.5
2023,Mjallby AIF,10.7
2023,IK Sirius,10.7
2023,GAIS,9.8
2023,Brommapojkarna,8.9
2023,Kalmar FF,8.9
2023,Halmstads BK,8.1
2023,IFK Varnamo,7.2
2023,Vasteras SK,7.2
2023,Degerfors IF,6.3
2023,Helsingborgs IF,6.3
2023,Varbergs BoIS,5.4
2023,Orebro SK,5.4
2023,Osters IF,5.4
2023,GIF Sundsvall,5.0
2023,Ostersunds FK,5.0
2023,Orgryte IS,5.0
2024,Malmo FF,41.8
2024,Djurgarden,26.0
2024,Hammarby,24.2
2024,AIK,22.3
2024,BK Hacken,20.5
2024,IF Elfsborg,18.6
2024,IFK Goteborg,16.7
2024,IFK Norrkoping,13.0
2024,Mjallby AIF,11.2
