temporada,equipo,squad_size,avg_age,foreigners,pct_foreigners,squad_value,stadium_capacity,avg_attendance,stadium_occupation
2020,Galatasaray,28,26.8,18,0.64,221.2,52600,47000,0.8935
2020,Fenerbahce,28,27.2,18,0.64,205.4,47834,43000,0.8989
2020,Besiktas,28,26.5,17,0.61,110.6,42590,35000,0.8218
2020,Trabzonspor,28,26.0,15,0.54,75.0,40782,28000,0.6866
2020,Istanbul Basaksehir,28,26.4,16,0.57,43.5,17152,8000,0.4664
2020,Samsunspor,28,25.8,14,0.5,31.6,33919,22000,0.6486
2020,Eyupspor,28,27.5,15,0.54,30.0,14000,8000,0.5714
2020,Kasimpasa,28,25.9,16,0.57,27.7,14234,4500,0.3161
2020,Alanyaspor,28,26.2,15,0.54,25.3,10128,5500,0.543
2020,Goztepe,28,25.4,15,0.54,25.3,20040,18500,0.9232
2020,Caykur Rizespor,28,25.7,15,0.54,23.7,15332,7500,0.4892
2020,Antalyaspor,28,26.5,14,0.5,22.1,32537,14000,0.4303
2020,Gaziantep FK,28,27.0,15,0.54,20.5,33502,11000,0.3283
2020,Konyaspor,28,26.8,13,0.46,20.5,42000,18000,0.4286
2020,Kayserispor,28,27.2,13,0.46,19.8,32864,12000,0.3651
2020,Sivasspor,28,27.5,14,0.5,19.0,27532,9000,0.3269
2020,Bodrum FK,28,26.0,13,0.46,17.4,4563,4000,0.8766
2020,Adana Demirspor,28,25.5,13,0.46,15.8,33543,15000,0.4472
2020,Hatayspor,28,26.4,13,0.46,14.2,25000,6000,0.24
2020,Fatih Karagümrük,28,26.2,14,0.5,14.2,76000,4000,0.0526
2020,Ankaragucu,28,26.8,13,0.46,12.6,20560,14000,0.6809
2020,Pendikspor,28,27.0,13,0.46,11.9,2500,2200,0.88
2020,Istanbulspor,28,25.0,11,0.39,11.1,4491,2500,0.5567
2020,Giresunspor,28,25.2,11,0.39,9.5,22019,8000,0.3633
2020,Umraniyespor,28,26.0,12,0.43,9.5,3513,2500,0.7116
2020,Kocaelispor,28,25.8,11,0.39,11.1,34712,18000,0.5186
2020,Genclerbirligi,28,25.5,10,0.36,9.5,20560,6000,0.2918
2020,Corum FK,28,25.6,8,0.29,7.9,15000,7000,0.4667
2020,Amed SFK,28,26.0,10,0.36,7.9,33000,15000,0.4545
2020,Erzurum BB,28,26.5,8,0.29,7.9,21374,8000,0.3743
2020,Altay Izmir,28,26.8,8,0.29,6.3,15000,6000,0.4
2020,Yeni Malatyaspor,28,25.0,7,0.25,5.0,27044,5000,0.1849
2020,Denizlispor,28,26.0,7,0.25,5.0,18745,4000,0.2134
2021,Galatasaray,28,26.8,18,0.64,231.0,52600,47000,0.8935
2021,Fenerbahce,28,27.2,18,0.64,214.5,47834,43000,0.8989
