local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
Erzurum BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaziantep FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580796,2021-01-02 10:30:00,2021
Sivasspor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denizlispor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580794,2021-01-02 10:30:00,2021
Ankaragucu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yeni Malatyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580801,2021-01-02 13:00:00,2021
Alanyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istanbul Basaksehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580798,2021-01-02 13:00:00,2021
Galatasaray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antalyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580792,2021-01-02 16:00:00,2021
Hatayspor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konyaspor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580799,2021-01-02 16:00:00,2021
Caykur Rizespor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genclerbirligi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580797,2021-01-03 10:30:00,2021
Fatih Karagümrük,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trabzonspor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580800,2021-01-03 13:00:00,2021
Kayserispor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Besiktas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580793,2021-01-03 16:00:00,2021
Kasimpasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fenerbahce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580795,2021-01-04 16:00:00,2021
