id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
20765,Adana Demirspor,Adana Demirspor,Adana Demirspor,ADD,,000080,87CEEB,https://a.espncdn.com/i/teamlogos/soccer/500/20765.png,True
9078,Alanyaspor,Alanyaspor,Alanyaspor,ALA,betbrain.alanyaspor_k,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/9078.png,True
3789,Altay Izmir,Altay Izmir,Altay Izmir,ALT,,1a1a1a,fafafa,https://a.espncdn.com/i/teamlogos/soccer/500/3789.png,True
132335,Amed SFK,Amed SFK,Amed SFK,AMED,amedsfk,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/132335.png,True
2429,Ankaragucu,Ankaragucu,Ankaragucu,ANK,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/2429.png,True
3794,Antalyaspor,Antalyaspor,Antalyaspor,ANT,,C60000,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500/3794.png,True
1895,Besiktas,Besiktas,Besiktas,BES,tur.besiktas,ffffff,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1895.png,True
22321,Bodrum FK,Bodrum FK,Bodrum,BOD,,006400,0000FF,https://a.espncdn.com/i/teamlogos/soccer/500/22321.png,True
7656,Caykur Rizespor,Caykur Rizespor,Caykur Rizespor,CAY,tur.caykur-rizespor,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/7656.png,True
132334,Çorum FK,Corum FK,Çorum FK,COR,corumfk,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/132334.png,True
2576,Denizlispor,Denizlispor,Denizlispor,DZL,,0d923f,000000,https://a.espncdn.com/i/teamlogos/soccer/500/2576.png,True
19267,Erzurum BB,Erzurum BB,Erzurum,ERZ,erzurum_bb,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/19267.png,True
20729,Eyupspor,Eyupspor,Eyupspor,EYU,eyupspor,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20729.png,True
20736,Fatih Karagümrük,Fatih Karagümrük,Karagümrük,KAR,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/20736.png,True
436,Fenerbahce,Fenerbahce,Fenerbahce,FEN,tur.fenerbahce,ffff00,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/436.png,True
432,Galatasaray,Galatasaray,Galatasaray,GAL,tur.galatasaray,aa0031,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/432.png,True
20070,Gaziantep FK,Gaziantep FK,Gaziantep,GAZ,gazisehir_gaziantep,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/20070.png,True
996,Genclerbirligi,Genclerbirligi,Genclerbirli,GEN,team.genclerbirligi,000000,e91b23,https://a.espncdn.com/i/teamlogos/soccer/500-dark/996.png,True
21031,Giresunspor,Giresunspor,Giresunspor,GIR,,000000,4CBB17,https://a.espncdn.com/i/teamlogos/soccer/500/21031.png,True
789,Goztepe,Goztepe,Goztepe,GOZ,team.goztepe,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/789.png,True
20737,Hatayspor,Hatayspor,Hatayspor,HAY,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/20737.png,True
7914,Istanbul Basaksehir,Istanbul Basaksehir,Istanbul BB,IBFK,tur.istanbul-buyuksehir-bsk,ff6600,091453,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7914.png,True
8841,Istanbulspor,Istanbulspor,Istanbulspor,IST,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/8841.png,True
6870,Kasimpasa,Kasimpasa,Kasimpasa,KAS,team.kasimpasa.betbrain,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/6870.png,True
3643,Kayserispor,Kayserispor,Kayserispor,KAY,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/3643.png,True
995,Kocaelispor,Kocaelispor,Kocaelispor,KOC,team.kocaelispor,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/995.png,True
7648,Konyaspor,Konyaspor,Konyaspor,KNY,tur.konyaspor,288A00,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/7648.png,True
9104,Pendikspor,Pendikspor,Pendikspor,PEN,,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/9104.png,True
11429,Samsunspor,Samsunspor,Samsunspor,SAM,tur.samsunspor,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/11429.png,True
3691,Sivasspor,Sivasspor,Sivasspor,SIV,,bc0e17,000000,https://a.espncdn.com/i/teamlogos/soccer/500/3691.png,True
997,Trabzonspor,Trabzonspor,Trabzonspor,TRAB,tur.trabzonspor,5699eb,8E003B,https://a.espncdn.com/i/teamlogos/soccer/500-dark/997.png,True
20041,Umraniyespor,Umraniyespor,Umraniyespor,UMR,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/20041.png,True
18790,Yeni Malatyaspor,Yeni Malatyaspor,Malatyaspor,YEN,,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18790.png,True
