event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
401888295,2026-09-13 17:00:00,2026,996,6870,Genclerbirligi,Kasimpasa,,,pre,STATUS_SCHEDULED
401888293,2026-09-13 20:00:00,2026,432,995,Galatasaray,Kocaelispor,,,pre,STATUS_SCHEDULED
401888384,2026-09-13 20:00:00,2026,132335,7914,Amed SFK,Istanbul Basaksehir,,,pre,STATUS_SCHEDULED
401888298,2026-09-14 20:00:00,2026,20070,436,Gaziantep FK,Fenerbahce,,,pre,STATUS_SCHEDULED
401888290,2026-09-18 20:00:00,2026,6870,7648,Kasimpasa,Konyaspor,,,pre,STATUS_SCHEDULED
401888381,2026-09-19 17:00:00,2026,132334,9078,Corum FK,Alanyaspor,,,pre,STATUS_SCHEDULED
401888286,2026-09-19 17:00:00,2026,995,20070,Kocaelispor,Gaziantep FK,,,pre,STATUS_SCHEDULED
401888289,2026-09-19 20:00:00,2026,7914,996,Istanbul Basaksehir,Genclerbirligi,,,pre,STATUS_SCHEDULED
401888291,2026-09-19 20:00:00,2026,997,432,Trabzonspor,Galatasaray,,,pre,STATUS_SCHEDULED
401888285,2026-09-20 17:00:00,2026,19267,11429,Erzurum BB,Samsunspor,,,pre,STATUS_SCHEDULED
401888287,2026-09-20 17:00:00,2026,436,20729,Fenerbahce,Eyupspor,,,pre,STATUS_SCHEDULED
401888382,2026-09-20 20:00:00,2026,132335,1895,Amed SFK,Besiktas,,,pre,STATUS_SCHEDULED
401888288,2026-09-20 20:00:00,2026,789,7656,Goztepe,Caykur Rizespor,,,pre,STATUS_SCHEDULED
401888278,2026-10-11 21:00:00,2026,11429,997,Samsunspor,Trabzonspor,,,pre,STATUS_SCHEDULED
401888281,2026-10-11 21:00:00,2026,7648,7914,Konyaspor,Istanbul Basaksehir,,,pre,STATUS_SCHEDULED
401888379,2026-10-11 21:00:00,2026,996,132335,Genclerbirligi,Amed SFK,,,pre,STATUS_SCHEDULED
401888280,2026-10-11 21:00:00,2026,432,6870,Galatasaray,Kasimpasa,,,pre,STATUS_SCHEDULED
401888380,2026-10-11 21:00:00,2026,20070,132334,Gaziantep FK,Corum FK,,,pre,STATUS_SCHEDULED
401888282,2026-10-11 21:00:00,2026,7656,436,Caykur Rizespor,Fenerbahce,,,pre,STATUS_SCHEDULED
401888279,2026-10-11 21:00:00,2026,1895,995,Besiktas,Kocaelispor,,,pre,STATUS_SCHEDULED
401888283,2026-10-11 21:00:00,2026,9078,19267,Alanyaspor,Erzurum BB,,,pre,STATUS_SCHEDULED
