event_id,fecha,temporada,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
580796,2021-01-02 13:30:00,2021,19267,20070,Erzurum BB,Gaziantep FK,1,1,post,STATUS_FULL_TIME
580794,2021-01-02 13:30:00,2021,3691,2576,Sivasspor,Denizlispor,2,2,post,STATUS_FULL_TIME
580798,2021-01-02 16:00:00,2021,9078,7914,Alanyaspor,Istanbul Basaksehir,3,0,post,STATUS_FULL_TIME
580801,2021-01-02 16:00:00,2021,2429,18790,Ankaragucu,Yeni Malatyaspor,3,1,post,STATUS_FULL_TIME
580792,2021-01-02 19:00:00,2021,432,3794,Galatasaray,Antalyaspor,0,0,post,STATUS_FULL_TIME
580799,2021-01-02 19:00:00,2021,20737,7648,Hatayspor,Konyaspor,2,1,post,STATUS_FULL_TIME
580797,2021-01-03 13:30:00,2021,7656,996,Caykur Rizespor,Genclerbirligi,1,1,post,STATUS_FULL_TIME
580800,2021-01-03 16:00:00,2021,20736,997,Fatih Karagümrük,Trabzonspor,1,2,post,STATUS_FULL_TIME
580793,2021-01-03 19:00:00,2021,3643,1895,Kayserispor,Besiktas,0,2,post,STATUS_FULL_TIME
580795,2021-01-04 19:00:00,2021,6870,436,Kasimpasa,Fenerbahce,0,3,post,STATUS_FULL_TIME
580783,2021-01-05 16:00:00,2021,20070,2429,Gaziantep FK,Ankaragucu,2,0,post,STATUS_FULL_TIME
580791,2021-01-05 16:00:00,2021,18790,3691,Yeni Malatyaspor,Sivasspor,2,2,post,STATUS_FULL_TIME
580787,2021-01-05 19:00:00,2021,7648,432,Konyaspor,Galatasaray,4,3,post,STATUS_FULL_TIME
580790,2021-01-06 13:30:00,2021,2576,3643,Denizlispor,Kayserispor,0,1,post,STATUS_FULL_TIME
580788,2021-01-06 16:00:00,2021,997,789,Trabzonspor,Goztepe,1,0,post,STATUS_FULL_TIME
580785,2021-01-06 16:00:00,2021,7914,19267,Istanbul Basaksehir,Erzurum BB,1,0,post,STATUS_FULL_TIME
580789,2021-01-06 16:00:00,2021,996,20737,Genclerbirligi,Hatayspor,3,1,post,STATUS_FULL_TIME
580786,2021-01-06 19:00:00,2021,3794,20736,Antalyaspor,Fatih Karagümrük,3,1,post,STATUS_FULL_TIME
580784,2021-01-06 19:00:00,2021,1895,7656,Besiktas,Caykur Rizespor,6,0,post,STATUS_FULL_TIME
580782,2021-01-07 19:00:00,2021,436,9078,Fenerbahce,Alanyaspor,2,1,post,STATUS_FULL_TIME
580776,2021-01-09 13:30:00,2021,3691,20070,Sivasspor,Gaziantep FK,2,1,post,STATUS_FULL_TIME
580772,2021-01-09 16:00:00,2021,789,3794,Goztepe,Antalyaspor,0,1,post,STATUS_FULL_TIME
580781,2021-01-09 16:00:00,2021,3643,18790,Kayserispor,Yeni Malatyaspor,1,0,post,STATUS_FULL_TIME
580777,2021-01-09 19:00:00,2021,432,996,Galatasaray,Genclerbirligi,6,0,post,STATUS_FULL_TIME
580780,2021-01-10 13:30:00,2021,20736,7648,Fatih Karagümrük,Konyaspor,2,1,post,STATUS_FULL_TIME
580778,2021-01-10 16:00:00,2021,2429,7914,Ankaragucu,Istanbul Basaksehir,1,2,post,STATUS_FULL_TIME
580774,2021-01-10 16:00:00,2021,7656,2576,Caykur Rizespor,Denizlispor,1,1,post,STATUS_FULL_TIME
580773,2021-01-10 19:00:00,2021,20737,1895,Hatayspor,Besiktas,2,2,post,STATUS_FULL_TIME
580775,2021-01-11 16:00:00,2021,19267,436,Erzurum BB,Fenerbahce,0,3,post,STATUS_FULL_TIME
580779,2021-01-11 19:00:00,2021,9078,6870,Alanyaspor,Kasimpasa,1,2,post,STATUS_FULL_TIME
580765,2021-01-15 19:00:00,2021,996,20736,Genclerbirligi,Fatih Karagümrük,1,3,post,STATUS_FULL_TIME
580767,2021-01-16 13:30:00,2021,7648,789,Konyaspor,Goztepe,2,3,post,STATUS_FULL_TIME
580770,2021-01-16 16:00:00,2021,7914,3691,Istanbul Basaksehir,Sivasspor,1,1,post,STATUS_FULL_TIME
580769,2021-01-16 16:00:00,2021,20070,3643,Gaziantep FK,Kayserispor,2,1,post,STATUS_FULL_TIME
580771,2021-01-16 19:00:00,2021,3794,997,Antalyaspor,Trabzonspor,1,1,post,STATUS_FULL_TIME
580768,2021-01-17 13:30:00,2021,2576,20737,Denizlispor,Hatayspor,0,2,post,STATUS_FULL_TIME
580763,2021-01-17 16:00:00,2021,18790,7656,Yeni Malatyaspor,Caykur Rizespor,4,1,post,STATUS_FULL_TIME
580766,2021-01-17 19:00:00,2021,1895,432,Besiktas,Galatasaray,2,0,post,STATUS_FULL_TIME
580762,2021-01-18 19:00:00,2021,436,2429,Fenerbahce,Ankaragucu,3,1,post,STATUS_FULL_TIME
580764,2021-01-18 19:00:00,2021,6870,19267,Kasimpasa,Erzurum BB,1,2,post,STATUS_FULL_TIME
580757,2021-01-19 16:00:00,2021,789,996,Goztepe,Genclerbirligi,4,0,post,STATUS_FULL_TIME
580758,2021-01-19 16:00:00,2021,3643,7914,Kayserispor,Istanbul Basaksehir,2,0,post,STATUS_FULL_TIME
580760,2021-01-19 19:00:00,2021,997,7648,Trabzonspor,Konyaspor,3,1,post,STATUS_FULL_TIME
580756,2021-01-20 16:00:00,2021,7656,20070,Caykur Rizespor,Gaziantep FK,3,0,post,STATUS_FULL_TIME
580761,2021-01-20 16:00:00,2021,20737,18790,Hatayspor,Yeni Malatyaspor,1,2,post,STATUS_FULL_TIME
580754,2021-01-20 19:00:00,2021,432,2576,Galatasaray,Denizlispor,6,1,post,STATUS_FULL_TIME
580752,2021-01-21 16:00:00,2021,19267,9078,Erzurum BB,Alanyaspor,1,1,post,STATUS_FULL_TIME
580753,2021-01-21 16:00:00,2021,20736,1895,Fatih Karagümrük,Besiktas,1,4,post,STATUS_FULL_TIME
580755,2021-01-21 19:00:00,2021,3691,436,Sivasspor,Fenerbahce,1,1,post,STATUS_FULL_TIME
580759,2021-01-21 19:00:00,2021,2429,6870,Ankaragucu,Kasimpasa,1,0,post,STATUS_FULL_TIME
580751,2021-01-23 16:00:00,2021,996,997,Genclerbirligi,Trabzonspor,1,2,post,STATUS_FULL_TIME
580744,2021-01-23 19:00:00,2021,7914,7656,Istanbul Basaksehir,Caykur Rizespor,1,1,post,STATUS_FULL_TIME
580743,2021-01-24 13:30:00,2021,7648,3794,Konyaspor,Antalyaspor,0,0,post,STATUS_FULL_TIME
580745,2021-01-24 16:00:00,2021,2576,20736,Denizlispor,Fatih Karagümrük,1,2,post,STATUS_FULL_TIME
580746,2021-01-24 16:00:00,2021,18790,432,Yeni Malatyaspor,Galatasaray,0,1,post,STATUS_FULL_TIME
580747,2021-01-24 19:00:00,2021,1895,789,Besiktas,Goztepe,2,1,post,STATUS_FULL_TIME
580748,2021-01-24 19:00:00,2021,20070,20737,Gaziantep FK,Hatayspor,1,1,post,STATUS_FULL_TIME
580750,2021-01-25 16:00:00,2021,6870,3691,Kasimpasa,Sivasspor,2,0,post,STATUS_FULL_TIME
580742,2021-01-25 19:00:00,2021,9078,2429,Alanyaspor,Ankaragucu,4,3,post,STATUS_FULL_TIME
580749,2021-01-25 19:00:00,2021,436,3643,Fenerbahce,Kayserispor,3,0,post,STATUS_FULL_TIME
580735,2021-01-29 16:00:00,2021,18790,20736,Yeni Malatyaspor,Fatih Karagümrük,0,0,post,STATUS_FULL_TIME
580736,2021-01-29 19:00:00,2021,20070,432,Gaziantep FK,Galatasaray,1,2,post,STATUS_FULL_TIME
580739,2021-01-30 13:30:00,2021,6870,3643,Kasimpasa,Kayserispor,0,1,post,STATUS_FULL_TIME
580738,2021-01-30 16:00:00,2021,7914,20737,Istanbul Basaksehir,Hatayspor,1,5,post,STATUS_FULL_TIME
580734,2021-01-30 19:00:00,2021,436,7656,Fenerbahce,Caykur Rizespor,1,0,post,STATUS_FULL_TIME
580732,2021-01-31 13:30:00,2021,19267,2429,Erzurum BB,Ankaragucu,1,0,post,STATUS_FULL_TIME
580733,2021-01-31 16:00:00,2021,996,3794,Genclerbirligi,Antalyaspor,0,1,post,STATUS_FULL_TIME
580740,2021-01-31 16:00:00,2021,9078,3691,Alanyaspor,Sivasspor,3,1,post,STATUS_FULL_TIME
580737,2021-01-31 16:00:00,2021,2576,789,Denizlispor,Goztepe,2,1,post,STATUS_FULL_TIME
580741,2021-01-31 19:00:00,2021,1895,997,Besiktas,Trabzonspor,1,2,post,STATUS_FULL_TIME
580726,2021-02-02 16:00:00,2021,20737,436,Hatayspor,Fenerbahce,1,2,post,STATUS_FULL_TIME
580730,2021-02-02 19:00:00,2021,7656,6870,Caykur Rizespor,Kasimpasa,1,1,post,STATUS_FULL_TIME
580729,2021-02-02 19:00:00,2021,432,7914,Galatasaray,Istanbul Basaksehir,3,0,post,STATUS_FULL_TIME
580725,2021-02-03 13:30:00,2021,3691,19267,Sivasspor,Erzurum BB,0,0,post,STATUS_FULL_TIME
580727,2021-02-03 16:00:00,2021,20736,20070,Fatih Karagümrük,Gaziantep FK,2,0,post,STATUS_FULL_TIME
580722,2021-02-03 16:00:00,2021,3643,9078,Kayserispor,Alanyaspor,1,1,post,STATUS_FULL_TIME
580723,2021-02-03 19:00:00,2021,3794,1895,Antalyaspor,Besiktas,1,1,post,STATUS_FULL_TIME
580728,2021-02-03 19:00:00,2021,7648,996,Konyaspor,Genclerbirligi,0,0,post,STATUS_FULL_TIME
580731,2021-02-04 16:00:00,2021,789,18790,Goztepe,Yeni Malatyaspor,2,2,post,STATUS_FULL_TIME
580724,2021-02-04 19:00:00,2021,997,2576,Trabzonspor,Denizlispor,1,0,post,STATUS_FULL_TIME
580717,2021-02-06 13:30:00,2021,6870,20737,Kasimpasa,Hatayspor,1,4,post,STATUS_FULL_TIME
580713,2021-02-06 16:00:00,2021,9078,7656,Alanyaspor,Caykur Rizespor,2,1,post,STATUS_FULL_TIME
580714,2021-02-06 16:00:00,2021,7914,20736,Istanbul Basaksehir,Fatih Karagümrük,0,1,post,STATUS_FULL_TIME
580715,2021-02-06 19:00:00,2021,436,432,Fenerbahce,Galatasaray,0,1,post,STATUS_FULL_TIME
580718,2021-02-07 13:30:00,2021,19267,3643,Erzurum BB,Kayserispor,1,1,post,STATUS_FULL_TIME
580720,2021-02-07 16:00:00,2021,2429,3691,Ankaragucu,Sivasspor,1,4,post,STATUS_FULL_TIME
580712,2021-02-07 16:00:00,2021,2576,3794,Denizlispor,Antalyaspor,1,1,post,STATUS_FULL_TIME
580719,2021-02-07 19:00:00,2021,1895,7648,Besiktas,Konyaspor,1,0,post,STATUS_FULL_TIME
580716,2021-02-08 16:00:00,2021,20070,789,Gaziantep FK,Goztepe,2,0,post,STATUS_FULL_TIME
580721,2021-02-08 19:00:00,2021,18790,997,Yeni Malatyaspor,Trabzonspor,0,2,post,STATUS_FULL_TIME
580706,2021-02-12 19:00:00,2021,7656,19267,Caykur Rizespor,Erzurum BB,0,2,post,STATUS_FULL_TIME
580703,2021-02-13 13:30:00,2021,3643,2429,Kayserispor,Ankaragucu,0,0,post,STATUS_FULL_TIME
580708,2021-02-13 16:00:00,2021,997,20070,Trabzonspor,Gaziantep FK,1,0,post,STATUS_FULL_TIME
580707,2021-02-13 19:00:00,2021,20736,436,Fatih Karagümrük,Fenerbahce,1,2,post,STATUS_FULL_TIME
580705,2021-02-14 13:30:00,2021,7648,2576,Konyaspor,Denizlispor,2,0,post,STATUS_FULL_TIME
580710,2021-02-14 16:00:00,2021,432,6870,Galatasaray,Kasimpasa,2,1,post,STATUS_FULL_TIME
580709,2021-02-14 16:00:00,2021,789,7914,Goztepe,Istanbul Basaksehir,2,1,post,STATUS_FULL_TIME
580702,2021-02-14 16:00:00,2021,20737,9078,Hatayspor,Alanyaspor,0,0,post,STATUS_FULL_TIME
580704,2021-02-15 16:00:00,2021,996,1895,Genclerbirligi,Besiktas,0,3,post,STATUS_FULL_TIME
580711,2021-02-15 19:00:00,2021,3794,18790,Antalyaspor,Yeni Malatyaspor,1,1,post,STATUS_FULL_TIME
580701,2021-02-19 19:00:00,2021,7914,997,Istanbul Basaksehir,Trabzonspor,0,1,post,STATUS_FULL_TIME
580694,2021-02-20 13:30:00,2021,6870,20736,Kasimpasa,Fatih Karagümrük,3,2,post,STATUS_FULL_TIME
580696,2021-02-20 16:00:00,2021,2576,996,Denizlispor,Genclerbirligi,1,0,post,STATUS_FULL_TIME
580700,2021-02-20 16:00:00,2021,18790,7648,Yeni Malatyaspor,Konyaspor,2,3,post,STATUS_FULL_TIME
580695,2021-02-20 19:00:00,2021,9078,432,Alanyaspor,Galatasaray,0,1,post,STATUS_FULL_TIME
580698,2021-02-21 13:30:00,2021,19267,20737,Erzurum BB,Hatayspor,1,3,post,STATUS_FULL_TIME
580692,2021-02-21 16:00:00,2021,20070,3794,Gaziantep FK,Antalyaspor,0,0,post,STATUS_FULL_TIME
