temporada,equipo,squad_value
2020,Galatasaray,221.2
2020,Fenerbahce,205.4
2020,Besiktas,110.6
2020,Trabzonspor,75.0
2020,Istanbul Basaksehir,43.5
2020,Samsunspor,31.6
2020,Eyupspor,30.0
2020,Kasimpasa,27.7
2020,Alanyaspor,25.3
2020,Goztepe,25.3
2020,Caykur Rizespor,23.7
2020,Antalyaspor,22.1
2020,Gaziantep FK,20.5
2020,Konyaspor,20.5
2020,Kayserispor,19.8
2020,Sivasspor,19.0
2020,Bodrum FK,17.4
2020,Adana Demirspor,15.8
2020,Hatayspor,14.2
2020,Fatih Karagümrük,14.2
2020,Ankaragucu,12.6
2020,Pendikspor,11.9
2020,Istanbulspor,11.1
2020,Giresunspor,9.5
2020,Umraniyespor,9.5
2020,Kocaelispor,11.1
2020,Genclerbirligi,9.5
2020,Corum FK,7.9
2020,Amed SFK,7.9
2020,Erzurum BB,7.9
2020,Altay Izmir,6.3
2020,Yeni Malatyaspor,5.0
2020,Denizlispor,5.0
2021,Galatasaray,231.0
2021,Fenerbahce,214.5
2021,Besiktas,115.5
2021,Trabzonspor,78.4
2021,Istanbul Basaksehir,45.4
2021,Samsunspor,33.0
2021,Eyupspor,31.3
2021,Kasimpasa,28.9
2021,Alanyaspor,26.4
2021,Goztepe,26.4
2021,Caykur Rizespor,24.8
2021,Antalyaspor,23.1
2021,Gaziantep FK,21.4
2021,Konyaspor,21.4
2021,Kayserispor,20.6
2021,Sivasspor,19.8
2021,Bodrum FK,18.1
2021,Adana Demirspor,16.5
2021,Hatayspor,14.8
2021,Fatih Karagümrük,14.8
2021,Ankaragucu,13.2
2021,Pendikspor,12.4
2021,Istanbulspor,11.5
2021,Giresunspor,9.9
2021,Umraniyespor,9.9
2021,Kocaelispor,11.5
2021,Genclerbirligi,9.9
2021,Corum FK,8.2
2021,Amed SFK,8.2
2021,Erzurum BB,8.2
2021,Altay Izmir,6.6
2021,Yeni Malatyaspor,5.0
2021,Denizlispor,5.0
2022,Galatasaray,240.8
2022,Fenerbahce,223.6
2022,Besiktas,120.4
2022,Trabzonspor,81.7
2022,Istanbul Basaksehir,47.3
2022,Samsunspor,34.4
2022,Eyupspor,32.7
2022,Kasimpasa,30.1
2022,Alanyaspor,27.5
2022,Goztepe,27.5
2022,Caykur Rizespor,25.8
2022,Antalyaspor,24.1
2022,Gaziantep FK,22.4
2022,Konyaspor,22.4
2022,Kayserispor,21.5
2022,Sivasspor,20.6
2022,Bodrum FK,18.9
2022,Adana Demirspor,17.2
2022,Hatayspor,15.5
2022,Fatih Karagümrük,15.5
2022,Ankaragucu,13.8
2022,Pendikspor,12.9
2022,Istanbulspor,12.0
2022,Giresunspor,10.3
2022,Umraniyespor,10.3
2022,Kocaelispor,12.0
