local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_accuratePasses,local_totalPasses,local_passPct,local_accurateCrosses,local_totalCrosses,local_crossPct,local_totalLongBalls,local_accurateLongBalls,local_longballPct,local_blockedShots,local_effectiveTackles,local_totalTackles,local_tacklePct,local_interceptions,local_effectiveClearance,local_totalClearance,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_accuratePasses,visita_totalPasses,visita_passPct,visita_accurateCrosses,visita_totalCrosses,visita_crossPct,visita_totalLongBalls,visita_accurateLongBalls,visita_longballPct,visita_blockedShots,visita_effectiveTackles,visita_totalTackles,visita_tacklePct,visita_interceptions,visita_effectiveClearance,visita_totalClearance,event_id,fecha,temporada
RB Leipzig,11.0,5.0,0.0,7.0,4.0,1.0,47.5,12.0,2.0,0.2,0.0,0.0,377.0,491.0,0.8,4.0,15.0,0.3,44.0,18.0,0.4,2.0,9.0,11.0,0.8,10.0,10.0,10.0,Liverpool,11.0,2.0,0.0,1.0,2.0,2.0,52.5,10.0,3.0,0.3,0.0,0.0,438.0,548.0,0.8,3.0,8.0,0.4,66.0,27.0,0.4,1.0,7.0,15.0,0.5,11.0,17.0,17.0,590724,2021-02-16 20:00:00,2021
Barcelona,11.0,0.0,0.0,1.0,4.0,4.0,52.5,12.0,4.0,0.3,1.0,1.0,480.0,532.0,0.9,3.0,14.0,0.2,24.0,18.0,0.8,4.0,8.0,14.0,0.6,8.0,13.0,13.0,Paris Saint-Germain,16.0,1.0,0.0,0.0,7.0,3.0,47.5,16.0,9.0,0.6,0.0,0.0,421.0,479.0,0.9,3.0,12.0,0.3,46.0,30.0,0.7,3.0,9.0,18.0,0.5,15.0,15.0,15.0,590726,2021-02-16 20:00:00,2021
Sevilla,9.0,1.0,0.0,1.0,6.0,2.0,65.8,12.0,4.0,0.3,0.0,0.0,634.0,711.0,0.9,6.0,23.0,0.3,51.0,33.0,0.6,4.0,8.0,12.0,0.7,16.0,8.0,8.0,Borussia Dortmund,12.0,2.0,0.0,2.0,3.0,2.0,34.2,10.0,5.0,0.5,0.0,0.0,296.0,371.0,0.8,1.0,7.0,0.1,37.0,13.0,0.4,2.0,8.0,14.0,0.6,14.0,18.0,18.0,590721,2021-02-17 20:00:00,2021
FC Porto,14.0,0.0,0.0,1.0,6.0,4.0,34.7,8.0,5.0,0.6,0.0,0.0,211.0,305.0,0.7,3.0,12.0,0.3,66.0,26.0,0.4,2.0,11.0,17.0,0.6,7.0,15.0,15.0,Juventus,14.0,4.0,0.0,5.0,6.0,3.0,65.3,12.0,5.0,0.4,0.0,0.0,505.0,587.0,0.9,8.0,17.0,0.5,57.0,36.0,0.6,3.0,10.0,12.0,0.8,8.0,12.0,12.0,590723,2021-02-17 20:00:00,2021
Lazio,13.0,5.0,0.0,4.0,7.0,4.0,43.7,14.0,5.0,0.4,0.0,0.0,397.0,468.0,0.8,4.0,15.0,0.3,49.0,28.0,0.6,3.0,11.0,23.0,0.5,11.0,14.0,14.0,Bayern Munich,11.0,2.0,0.0,1.0,4.0,4.0,56.3,13.0,7.0,0.5,0.0,0.0,553.0,609.0,0.9,1.0,11.0,0.1,48.0,36.0,0.8,3.0,7.0,16.0,0.4,19.0,15.0,15.0,590720,2021-02-23 20:00:00,2021
Atlético Madrid,9.0,2.0,0.0,0.0,5.0,4.0,36.9,6.0,0.0,0.0,0.0,0.0,298.0,397.0,0.8,0.0,9.0,0.0,56.0,27.0,0.5,3.0,12.0,20.0,0.6,11.0,25.0,25.0,Chelsea,21.0,2.0,0.0,0.0,6.0,0.0,63.1,11.0,5.0,0.5,0.0,0.0,586.0,677.0,0.9,5.0,21.0,0.2,51.0,23.0,0.5,4.0,6.0,9.0,0.7,10.0,15.0,15.0,590722,2021-02-23 20:00:00,2021
Atalanta,8.0,1.0,1.0,2.0,1.0,3.0,31.4,2.0,0.0,0.0,0.0,0.0,271.0,362.0,0.7,3.0,10.0,0.3,53.0,31.0,0.6,0.0,10.0,18.0,0.6,20.0,18.0,18.0,Real Madrid,12.0,2.0,0.0,2.0,7.0,0.0,68.6,19.0,4.0,0.2,0.0,0.0,712.0,799.0,0.9,4.0,15.0,0.3,62.0,49.0,0.8,9.0,9.0,16.0,0.6,11.0,8.0,8.0,590727,2021-02-24 20:00:00,2021
Borussia Mönchengladbach,7.0,0.0,0.0,2.0,0.0,2.0,39.2,3.0,1.0,0.3,0.0,0.0,430.0,512.0,0.8,1.0,2.0,0.5,50.0,22.0,0.4,1.0,11.0,25.0,0.4,10.0,13.0,13.0,Manchester City,4.0,0.0,0.0,1.0,1.0,1.0,60.8,9.0,4.0,0.4,0.0,0.0,728.0,790.0,0.9,2.0,7.0,0.3,30.0,21.0,0.7,2.0,8.0,12.0,0.7,15.0,2.0,2.0,590725,2021-02-24 20:00:00,2021
Juventus,21.0,4.0,0.0,7.0,19.0,5.0,68.5,31.0,13.0,0.4,0.0,0.0,681.0,784.0,0.9,23.0,62.0,0.4,71.0,38.0,0.5,11.0,11.0,14.0,0.8,7.0,10.0,10.0,FC Porto,13.0,3.0,1.0,1.0,2.0,10.0,31.5,14.0,7.0,0.5,1.0,1.0,261.0,366.0,0.7,3.0,15.0,0.2,93.0,34.0,0.4,2.0,9.0,20.0,0.5,10.0,50.0,50.0,590716,2021-03-09 20:00:00,2021
Borussia Dortmund,17.0,3.0,0.0,1.0,1.0,6.0,31.2,9.0,5.0,0.6,1.0,1.0,176.0,265.0,0.7,1.0,7.0,0.1,51.0,16.0,0.3,0.0,22.0,31.0,0.7,11.0,37.0,37.0,Sevilla,15.0,6.0,0.0,0.0,8.0,3.0,68.8,19.0,8.0,0.4,1.0,1.0,472.0,550.0,0.9,12.0,47.0,0.3,54.0,41.0,0.8,5.0,5.0,7.0,0.7,11.0,9.0,9.0,590719,2021-03-09 20:00:00,2021
