id,name,norm_name,short_name,abbreviation,slug,color,alternate_color,logo,is_active
103,AC Milan,AC Milan,Milan,MIL,,e4002b,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/103.png,True
887,AEK Athens,AEK Athens,AEK Athens,AEK,gre.aek_athens,ffff00,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/887.png,True
174,AS Monaco,AS Monaco,Monaco,MON,,E91514,004c37,https://a.espncdn.com/i/teamlogos/soccer/500/174.png,True
104,AS Roma,AS Roma,AS Roma,ROMA,ita.as_roma,990a2c,F5F3E5,https://a.espncdn.com/i/teamlogos/soccer/500-dark/104.png,True
139,Ajax Amsterdam,Ajax,Ajax,AJA,,DF1B27,4d6286,https://a.espncdn.com/i/teamlogos/soccer/500/139.png,True
17544,Antwerp,Antwerp,Antwerp,ANT,,C60000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/17544.png,True
359,Arsenal,Arsenal,Arsenal,ARS,eng.arsenal,e20520,003399,https://a.espncdn.com/i/teamlogos/soccer/500-dark/359.png,True
362,Aston Villa,Aston Villa,Aston Villa,AVL,eng.aston_villa,660e36,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/362.png,True
105,Atalanta,Atalanta,Atalanta,ATA,,1157bf,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/105.png,True
93,Athletic Club,Athletic Club,Athletic,ATH,,C8142F,000000,https://a.espncdn.com/i/teamlogos/soccer/500/93.png,True
1068,Atlético Madrid,Atletico Madrid,Atlético,ATM,esp.atletico_madrid,ca3624,000000,https://a.espncdn.com/i/teamlogos/soccer/500-dark/1068.png,True
131,Bayer Leverkusen,Bayer Leverkusen,Leverkusen,B04,,DA0308,f9fbfc,https://a.espncdn.com/i/teamlogos/soccer/500/131.png,True
132,Bayern Munich,Bayern Munich,Bayern,MUN,ger.bayern_munich,dc052d,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500-dark/132.png,True
1929,Benfica,Benfica,Benfica,SLB,,ca281d,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/1929.png,True
1895,Besiktas,Besiktas,Besiktas,BES,,ffffff,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/1895.png,True
2980,Bodo/Glimt,Bodo/Glimt,Bodo/Glimt,BODO,team.bodoglimt,FCEE33,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500-dark/2980.png,True
