event_id,fecha,temporada,stage,is_knockout,is_neutral,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
401915447,2026-09-09 21:00:00,2027,league-phase,0,0,2250,432,Sporting CP,Galatasaray,,,pre,STATUS_IN_PROGRESS
401915445,2026-09-09 21:00:00,2027,league-phase,0,0,160,521,PSG,Slovan Bratislava,,,pre,STATUS_FIRST_HALF
401915446,2026-09-09 21:00:00,2027,league-phase,0,0,364,1068,Liverpool,Atletico Madrid,,,pre,STATUS_FIRST_HALF
401915423,2026-09-09 21:00:00,2027,league-phase,0,0,114,359,Napoli,Arsenal,,,pre,STATUS_FIRST_HALF
401915444,2026-09-10 18:45:00,2027,league-phase,0,0,436,104,Fenerbahce,AS Roma,,,pre,STATUS_SCHEDULED
401915422,2026-09-10 18:45:00,2027,league-phase,0,0,148,493,PSV,Shakhtar Donetsk,,,pre,STATUS_SCHEDULED
401915443,2026-09-10 21:00:00,2027,league-phase,0,0,132,2980,Bayern Munich,Bodo/Glimt,,,pre,STATUS_SCHEDULED
401915441,2026-09-10 21:00:00,2027,league-phase,0,0,2572,11420,Como,RB Leipzig,,,pre,STATUS_SCHEDULED
401915442,2026-09-10 21:00:00,2027,league-phase,0,0,360,21922,Manchester United,Sabah FK,,,pre,STATUS_SCHEDULED
401915440,2026-09-10 21:00:00,2027,league-phase,0,0,494,175,Slavia Praga,Lens,,,pre,STATUS_SCHEDULED
401915418,2026-10-13 18:45:00,2027,league-phase,0,0,175,2250,Lens,Sporting CP,,,pre,STATUS_SCHEDULED
401915436,2026-10-13 18:45:00,2027,league-phase,0,0,21922,494,Sabah FK,Slavia Praga,,,pre,STATUS_SCHEDULED
401915410,2026-10-13 21:00:00,2027,league-phase,0,0,102,114,Villarreal,Napoli,,,pre,STATUS_SCHEDULED
401915411,2026-10-13 21:00:00,2027,league-phase,0,0,510,132,Viking FK,Bayern Munich,,,pre,STATUS_SCHEDULED
401915413,2026-10-13 21:00:00,2027,league-phase,0,0,110,570,Inter,Club Brugge,,,pre,STATUS_SCHEDULED
401915434,2026-10-13 21:00:00,2027,league-phase,0,0,11420,148,RB Leipzig,PSV,,,pre,STATUS_SCHEDULED
401915412,2026-10-13 21:00:00,2027,league-phase,0,0,1068,360,Atletico Madrid,Manchester United,,,pre,STATUS_SCHEDULED
401915435,2026-10-13 21:00:00,2027,league-phase,0,0,432,83,Galatasaray,FC Barcelona,,,pre,STATUS_SCHEDULED
401915417,2026-10-13 21:00:00,2027,league-phase,0,0,359,166,Arsenal,Lille,,,pre,STATUS_SCHEDULED
401915416,2026-10-14 18:45:00,2027,league-phase,0,0,142,2572,Feyenoord,Como,,,pre,STATUS_SCHEDULED
401915415,2026-10-14 18:45:00,2027,league-phase,0,0,4411,364,LASK Linz,Liverpool,,,pre,STATUS_SCHEDULED
401915414,2026-10-14 21:00:00,2027,league-phase,0,0,104,86,AS Roma,Real Madrid,,,pre,STATUS_SCHEDULED
401915409,2026-10-14 21:00:00,2027,league-phase,0,0,362,436,Aston Villa,Fenerbahce,,,pre,STATUS_SCHEDULED
401915393,2026-10-14 21:00:00,2027,league-phase,0,0,2980,124,Bodo/Glimt,Borussia Dortmund,,,pre,STATUS_SCHEDULED
401915407,2026-10-14 21:00:00,2027,league-phase,0,0,382,160,Manchester City,PSG,,,pre,STATUS_SCHEDULED
401915408,2026-10-14 21:00:00,2027,league-phase,0,0,244,437,Real Betis,Porto,,,pre,STATUS_SCHEDULED
401915406,2026-10-14 21:00:00,2027,league-phase,0,0,493,887,Shakhtar Donetsk,AEK Athens,,,pre,STATUS_SCHEDULED
401915405,2026-10-14 21:00:00,2027,league-phase,0,0,521,134,Slovan Bratislava,VfB Stuttgart,,,pre,STATUS_SCHEDULED
401915404,2026-10-20 18:45:00,2027,league-phase,0,0,21922,124,Sabah FK,Borussia Dortmund,,,pre,STATUS_SCHEDULED
401915403,2026-10-20 18:45:00,2027,league-phase,0,0,436,494,Fenerbahce,Slavia Praga,,,pre,STATUS_SCHEDULED
401915402,2026-10-20 21:00:00,2027,league-phase,0,0,104,521,AS Roma,Slovan Bratislava,,,pre,STATUS_SCHEDULED
401915398,2026-10-20 21:00:00,2027,league-phase,0,0,437,148,Porto,PSV,,,pre,STATUS_SCHEDULED
401915397,2026-10-20 21:00:00,2027,league-phase,0,0,364,102,Liverpool,Villarreal,,,pre,STATUS_SCHEDULED
401915401,2026-10-20 21:00:00,2027,league-phase,0,0,382,887,Manchester City,AEK Athens,,,pre,STATUS_SCHEDULED
401915400,2026-10-20 21:00:00,2027,league-phase,0,0,114,2980,Napoli,Bodo/Glimt,,,pre,STATUS_SCHEDULED
401915399,2026-10-20 21:00:00,2027,league-phase,0,0,160,83,PSG,FC Barcelona,,,pre,STATUS_SCHEDULED
401915392,2026-10-20 21:00:00,2027,league-phase,0,0,134,1068,VfB Stuttgart,Atletico Madrid,,,pre,STATUS_SCHEDULED
