temporada,equipo,squad_value
2020,AC Milan,489.8
2020,AEK Athens,63.2
2020,AS Monaco,268.6
2020,AS Roma,284.4
2020,Ajax,181.7
2020,Antwerp,59.2
2020,Arsenal,1058.6
2020,Aston Villa,414.0
2020,Atalanta,371.3
2020,Athletic Club,198.2
2020,Atletico Madrid,484.1
2020,Bayer Leverkusen,405.6
2020,Bayern Munich,853.2
2020,Benfica,284.4
2020,Besiktas,110.6
2020,Bodo/Glimt,35.6
2020,Bologna,244.9
2020,Borussia Dortmund,366.7
2020,Borussia Monchengladbach,107.4
2020,Braga,110.6
2020,Brest,94.8
2020,Celtic,110.6
2020,Chelsea,1082.3
2020,Club Brugge,110.6
2020,Como,118.5
2020,Crvena Zvezda,59.2
2020,Dinamo Zagreb,63.2
2020,Dynamo Kyiv,67.2
2020,Eintracht Frankfurt,267.7
2020,F.C. København,63.2
2020,FC Barcelona,940.1
2020,Fenerbahce,205.4
2020,Feyenoord,229.1
2020,Galatasaray,221.2
2020,Girona,157.4
2020,Inter,553.0
2020,Juventus,481.9
2020,Kairat Almaty,11.9
2020,LASK Linz,27.7
2020,Lazio,205.4
2020,Lens,142.2
2020,Lille,197.5
2020,Liverpool,773.8
2020,Maccabi Haifa,23.7
2020,Malmo FF,35.6
2020,Manchester City,1185.0
2020,Manchester United,699.4
2020,Marseille,252.8
2020,Napoli,379.2
2020,Newcastle United,489.6
2020,Olympiacos,86.9
2020,PSG,750.5
2020,PSV,260.7
2020,Pafos,17.4
2020,Porto,268.6
2020,Qarabag,19.8
2020,RB Leipzig,477.8
2020,Rangers,86.9
2020,Real Betis,183.6
2020,Real Madrid,1082.3
2020,Real Sociedad,200.3
2020,Sabah FK,11.1
2020,Salzburg,134.3
2020,Sevilla,122.0
2020,Shakhtar Donetsk,126.4
2020,Sheriff,9.5
2020,Slavia Praga,75.0
2020,Slovan Bratislava,22.1
2020,Sparta Praga,71.1
2020,Sporting CP,323.9
2020,Sturm Graz,51.4
2020,Tottenham Hotspur,727.2
2020,Union Berlin,86.8
2020,Union Saint-Gilloise,71.1
2020,VfB Stuttgart,331.9
2020,VfL Wolfsburg,184.9
2020,Viking FK,17.4
2020,Viktoria Plzen,35.6
2020,Villarreal,256.1
2020,Young Boys,51.4
2020,Zenit St Petersburg,142.2
2021,AC Milan,511.5
2021,AEK Athens,66.0
2021,AS Monaco,280.5
2021,AS Roma,297.0
2021,Ajax,189.8
2021,Antwerp,61.9
2021,Arsenal,1105.5
2021,Aston Villa,432.3
2021,Atalanta,387.8
2021,Athletic Club,207.0
2021,Atletico Madrid,505.6
2021,Bayer Leverkusen,423.6
2021,Bayern Munich,891.0
2021,Benfica,297.0
2021,Besiktas,115.5
2021,Bodo/Glimt,37.1
2021,Bologna,255.8
2021,Borussia Dortmund,383.0
2021,Borussia Monchengladbach,112.2
2021,Braga,115.5
2021,Brest,99.0
2021,Celtic,115.5
2021,Chelsea,1130.2
2021,Club Brugge,115.5
2021,Como,123.8
2021,Crvena Zvezda,61.9
2021,Dinamo Zagreb,66.0
2021,Dynamo Kyiv,70.1
2021,Eintracht Frankfurt,279.6
2021,F.C. København,66.0
2021,FC Barcelona,981.8
2021,Fenerbahce,214.5
2021,Feyenoord,239.2
2021,Galatasaray,231.0
2021,Girona,164.3
2021,Inter,577.5
2021,Juventus,503.2
2021,Kairat Almaty,12.4
2021,LASK Linz,28.9
2021,Lazio,214.5
2021,Lens,148.5
2021,Lille,206.2
2021,Liverpool,808.1
2021,Maccabi Haifa,24.8
2021,Malmo FF,37.1
2021,Manchester City,1237.5
2021,Manchester United,730.4
2021,Marseille,264.0
2021,Napoli,396.0
2021,Newcastle United,511.3
2021,Olympiacos,90.8
2021,PSG,783.8
2021,PSV,272.2
2021,Pafos,18.1
2021,Porto,280.5
2021,Qarabag,20.6
2021,RB Leipzig,499.0
2021,Rangers,90.8
2021,Real Betis,191.7
2021,Real Madrid,1130.2
2021,Real Sociedad,209.1
2021,Sabah FK,11.5
2021,Salzburg,140.2
2021,Sevilla,127.4
2021,Shakhtar Donetsk,132.0
2021,Sheriff,9.9
2021,Slavia Praga,78.4
2021,Slovan Bratislava,23.1
2021,Sparta Praga,74.2
2021,Sporting CP,338.2
2021,Sturm Graz,53.6
