temporada,equipo,squad_value,elo,ea_overall,tiros_avg,tiros_arco_avg,posesion_avg
2018,Belgium,664.5,1944.6,83.73,21.88,9.12,63.25
2020,Belgium,664.5,1944.6,83.73,21.88,9.12,63.25
2022,Belgium,664.5,1944.6,83.73,21.88,9.12,63.25
2024,Belgium,664.5,1944.6,83.73,21.88,9.12,63.25
2026,Belgium,664.5,1944.6,83.73,21.88,9.12,63.25
2018,France,1443.0,2127.9,86.73,19.75,6.38,66.44
2020,France,1443.0,2127.9,86.73,19.75,6.38,66.44
2022,France,1443.0,2127.9,86.73,19.75,6.38,66.44
2024,France,1443.0,2127.9,86.73,19.75,6.38,66.44
2026,France,1443.0,2127.9,86.73,19.75,6.38,66.44
2018,Italy,936.0,1935.2,85.09,20.62,6.75,58.72
2020,Italy,936.0,1935.2,85.09,20.62,6.75,58.72
2022,Italy,936.0,1935.2,85.09,20.62,6.75,58.72
2024,Italy,936.0,1935.2,85.09,20.62,6.75,58.72
2026,Italy,936.0,1935.2,85.09,20.62,6.75,58.72
2018,Turkey,435.1,1974.2,80.27,14.0,5.88,53.02
2020,Turkey,435.1,1974.2,80.27,14.0,5.88,53.02
2022,Turkey,435.1,1974.2,80.27,14.0,5.88,53.02
2024,Turkey,435.1,1974.2,80.27,14.0,5.88,53.02
2026,Turkey,435.1,1974.2,80.27,14.0,5.88,53.02
2018,Germany,995.2,2000.2,85.73,18.0,7.14,62.71
2020,Germany,995.2,2000.2,85.73,18.0,7.14,62.71
2022,Germany,995.2,2000.2,85.73,18.0,7.14,62.71
2024,Germany,995.2,2000.2,85.73,18.0,7.14,62.71
2026,Germany,995.2,2000.2,85.73,18.0,7.14,62.71
2018,Greece,281.6,1815.1,78.0,13.12,3.62,55.03
2020,Greece,281.6,1815.1,78.0,13.12,3.62,55.03
2022,Greece,281.6,1815.1,78.0,13.12,3.62,55.03
2024,Greece,281.6,1815.1,78.0,13.12,3.62,55.03
2026,Greece,281.6,1815.1,78.0,13.12,3.62,55.03
2018,Netherlands,852.0,2003.9,84.73,15.88,5.88,62.32
2020,Netherlands,852.0,2003.9,84.73,15.88,5.88,62.32
