event_id,local_equipo,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_wonCorners,local_saves,local_possessionPct,local_totalShots,local_shotsOnTarget,local_shotPct,local_penaltyKickGoals,local_penaltyKickShots,local_blockedShots,visita_equipo,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_wonCorners,visita_saves,visita_possessionPct,visita_totalShots,visita_shotsOnTarget,visita_shotPct,visita_penaltyKickGoals,visita_penaltyKickShots,visita_blockedShots
401861042,Serbia,11.0,2.0,0.0,2.0,2.0,7.0,38.5,9.0,4.0,0.4,0.0,0.0,1.0,Greece,7.0,1.0,0.0,2.0,6.0,3.0,61.5,26.0,9.0,0.3,0.0,0.0,7.0
401861043,Liechtenstein,15.0,1.0,0.0,0.0,0.0,5.0,27.4,4.0,0.0,0.0,0.0,0.0,0.0,Lithuania,14.0,1.0,0.0,1.0,8.0,0.0,72.6,16.0,7.0,0.4,0.0,0.0,5.0
401861048,Austria,15.0,3.0,0.0,2.0,4.0,0.0,51.9,19.0,9.0,0.5,0.0,1.0,3.0,Israel,4.0,2.0,1.0,1.0,2.0,6.0,48.1,5.0,1.0,0.2,0.0,0.0,2.0
401861045,Kosovo,12.0,0.0,0.0,2.0,1.0,1.0,57.3,22.0,8.0,0.4,0.0,0.0,6.0,Republic of Ireland,15.0,2.0,0.0,0.0,0.0,5.0,42.7,3.0,1.0,0.3,0.0,0.0,0.0
401861044,Portugal,12.0,0.0,0.0,3.0,10.0,0.0,61.4,23.0,5.0,0.2,0.0,0.0,7.0,Wales,10.0,1.0,0.0,3.0,2.0,4.0,38.6,5.0,1.0,0.2,0.0,0.0,0.0
401861041,Netherlands,11.0,3.0,0.0,3.0,12.0,1.0,53.5,22.0,10.0,0.5,0.0,0.0,6.0,Germany,16.0,1.0,0.0,1.0,1.0,9.0,46.5,10.0,2.0,0.2,0.0,0.0,3.0
401861046,Norway,14.0,0.0,1.0,1.0,4.0,5.0,48.7,13.0,7.0,0.5,0.0,0.0,3.0,Denmark,10.0,3.0,0.0,2.0,8.0,4.0,51.3,13.0,7.0,0.5,0.0,0.0,2.0
401861047,Andorra,24.0,5.0,0.0,1.0,3.0,6.0,41.2,13.0,5.0,0.4,0.0,0.0,3.0,Malta,12.0,2.0,0.0,1.0,2.0,4.0,58.8,13.0,8.0,0.6,0.0,1.0,0.0
723734,Luxembourg,14.0,3.0,0.0,2.0,3.0,5.0,63.0,13.0,6.0,0.5,0.0,1.0,3.0,Malta,13.0,0.0,1.0,1.0,6.0,3.0,37.0,13.0,5.0,0.4,0.0,0.0,4.0
723732,Latvia,13.0,2.0,0.0,1.0,9.0,2.0,57.6,14.0,5.0,0.4,0.0,0.0,2.0,Gibraltar,15.0,5.0,0.0,0.0,3.0,4.0,42.4,6.0,2.0,0.3,0.0,0.0,2.0
723733,Malta,11.0,2.0,0.0,1.0,1.0,0.0,42.9,9.0,2.0,0.2,0.0,0.0,1.0,Luxembourg,11.0,0.0,0.0,3.0,3.0,2.0,57.1,7.0,2.0,0.3,0.0,0.0,4.0
723731,Gibraltar,12.0,2.0,0.0,0.0,1.0,1.0,37.8,5.0,1.0,0.2,0.0,0.0,1.0,Latvia,10.0,2.0,0.0,6.0,6.0,1.0,62.2,12.0,2.0,0.2,2.0,1.0,1.0
723738,Portugal,14.0,3.0,0.0,4.0,3.0,4.0,38.6,7.0,2.0,0.3,0.0,0.0,1.0,Spain,19.0,4.0,0.0,3.0,4.0,0.0,61.4,16.0,6.0,0.4,0.0,0.0,2.0
723737,Germany,11.0,3.0,0.0,4.0,9.0,7.0,56.0,20.0,6.0,0.3,0.0,0.0,7.0,France,7.0,2.0,0.0,1.0,6.0,6.0,44.0,16.0,9.0,0.6,0.0,0.0,2.0
723736,Spain,17.0,2.0,0.0,2.0,4.0,6.0,43.4,16.0,8.0,0.5,1.0,1.0,8.0,France,14.0,4.0,0.0,1.0,6.0,3.0,56.6,24.0,9.0,0.4,1.0,1.0,7.0
723735,Germany,9.0,3.0,0.0,3.0,3.0,4.0,55.0,9.0,5.0,0.6,0.0,0.0,2.0,Portugal,10.0,2.0,0.0,0.0,4.0,4.0,45.0,17.0,6.0,0.4,0.0,0.0,4.0
723714,Germany,15.0,3.0,0.0,0.0,6.0,0.0,56.9,22.0,8.0,0.4,1.0,1.0,6.0,Italy,13.0,4.0,0.0,1.0,4.0,5.0,43.1,9.0,3.0,0.3,1.0,1.0,0.0
723718,Belgium,10.0,2.0,0.0,3.0,10.0,1.0,69.5,19.0,6.0,0.3,0.0,0.0,6.0,Ukraine,9.0,4.0,0.0,2.0,1.0,3.0,30.5,6.0,1.0,0.2,0.0,0.0,0.0
723710,France,14.0,2.0,0.0,2.0,16.0,0.0,61.6,28.0,8.0,0.3,0.0,0.0,6.0,Croatia,24.0,6.0,0.0,2.0,0.0,6.0,38.4,5.0,0.0,0.0,0.0,0.0,3.0
723712,Portugal,21.0,2.0,0.0,8.0,11.0,2.0,58.4,18.0,11.0,0.6,0.0,1.0,4.0,Denmark,19.0,4.0,0.0,0.0,8.0,7.0,41.6,14.0,4.0,0.3,0.0,0.0,6.0
723708,Spain,14.0,2.0,0.0,4.0,4.0,7.0,54.1,19.0,9.0,0.5,1.0,1.0,6.0,Netherlands,11.0,1.0,0.0,1.0,2.0,6.0,45.9,16.0,9.0,0.6,2.0,2.0,3.0
723726,Republic of Ireland,12.0,3.0,0.0,2.0,5.0,1.0,50.4,14.0,5.0,0.4,0.0,0.0,4.0,Bulgaria,12.0,3.0,0.0,0.0,5.0,2.0,49.6,7.0,2.0,0.3,0.0,0.0,2.0
723722,Scotland,13.0,2.0,0.0,1.0,3.0,1.0,58.2,11.0,5.0,0.5,0.0,0.0,2.0,Greece,15.0,2.0,0.0,1.0,0.0,5.0,41.8,13.0,5.0,0.4,0.0,0.0,2.0
723724,Iceland,9.0,2.0,1.0,0.0,6.0,7.0,55.9,9.0,2.0,0.2,0.0,0.0,3.0,Kosovo,13.0,3.0,0.0,1.0,6.0,1.0,44.1,21.0,10.0,0.5,0.0,0.0,3.0
723716,Hungary,18.0,4.0,0.0,1.0,2.0,1.0,54.8,10.0,2.0,0.2,0.0,0.0,3.0,Türkiye,13.0,3.0,0.0,2.0,3.0,2.0,45.2,9.0,4.0,0.4,1.0,1.0,2.0
723720,Serbia,9.0,2.0,0.0,2.0,2.0,5.0,35.4,13.0,4.0,0.3,0.0,0.0,4.0,Austria,8.0,2.0,1.0,4.0,3.0,2.0,64.6,12.0,5.0,0.4,0.0,0.0,3.0
723730,Slovenia,18.0,5.0,0.0,2.0,6.0,6.0,42.1,20.0,7.0,0.4,0.0,0.0,6.0,Slovakia,14.0,3.0,0.0,2.0,7.0,6.0,57.9,24.0,6.0,0.3,0.0,0.0,5.0
723728,Georgia,10.0,1.0,0.0,1.0,5.0,1.0,64.5,16.0,9.0,0.6,0.0,0.0,0.0,Armenia,10.0,3.0,0.0,0.0,3.0,4.0,35.5,7.0,2.0,0.3,0.0,0.0,0.0
723721,Greece,9.0,1.0,0.0,1.0,8.0,1.0,57.8,24.0,1.0,0.0,0.0,0.0,8.0,Scotland,10.0,1.0,0.0,0.0,3.0,1.0,42.2,8.0,2.0,0.3,1.0,1.0,2.0
