id,name,norm_name,flag,abbreviation,group,league,color,alternate_color,logo,is_active
459,Belgium,Belgium,🇧🇪,BEL,Group A1,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,True
478,France,France,🇫🇷,FRA,Group A1,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,True
162,Italy,Italy,🇮🇹,ITA,Group A1,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,True
465,Türkiye,Turkey,🇹🇷,TUR,Group A1,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/tur.png,True
481,Germany,Germany,🇩🇪,GER,Group A2,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,True
455,Greece,Greece,🇬🇷,GRE,Group A2,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/gre.png,True
449,Netherlands,Netherlands,🇳🇱,NED,Group A2,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,True
6757,Serbia,Serbia,🇷🇸,SRB,Group A2,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/sba.png,True
477,Croatia,Croatia,🇭🇷,CRO,Group A3,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,True
450,Czechia,Czech Republic,🇨🇿,CZE,Group A3,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,True
448,England,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,ENG,Group A3,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/eng.png,True
164,Spain,Spain,🇪🇸,ESP,Group A3,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,True
479,Denmark,Denmark,🇩🇰,DEN,Group A4,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/den.png,True
464,Norway,Norway,🇳🇴,NOR,Group A4,A,001438,00E5FF,https://a.espncdn.com/i/teamlogos/countries/500/nor.png,True
