event_id,fecha,temporada,stage,is_knockout,is_neutral,local_id,visita_id,local,visita,goles_local,goles_visita,estado,status_name
505509,2018-09-06 16:00:00,2018,league-d,0,0,2619,584,Kazakhstan,Georgia,0,2,post,STATUS_FULL_TIME
505508,2018-09-06 18:00:00,2018,league-d,0,0,579,589,Armenia,Liechtenstein,2,1,post,STATUS_FULL_TIME
505556,2018-09-06 20:45:00,2018,league-b,0,0,450,457,Czech Republic,Ukraine,1,2,post,STATUS_FULL_TIME
505532,2018-09-06 20:45:00,2018,league-a,0,0,481,478,Germany,France,0,0,post,STATUS_FULL_TIME
505507,2018-09-06 20:45:00,2018,league-d,0,0,16721,463,Gibraltar,North Macedonia,0,2,post,STATUS_FULL_TIME
505506,2018-09-06 20:45:00,2018,league-d,0,0,456,587,Latvia,Andorra,0,0,post,STATUS_FULL_TIME
505598,2018-09-06 20:45:00,2018,league-c,0,0,464,445,Norway,Cyprus,2,0,post,STATUS_FULL_TIME
505597,2018-09-06 20:45:00,2018,league-c,0,0,472,462,Slovenia,Bulgaria,1,2,post,STATUS_FULL_TIME
505555,2018-09-06 20:45:00,2018,league-b,0,0,578,476,Wales,Republic of Ireland,4,1,post,STATUS_FULL_TIME
505505,2018-09-07 18:00:00,2018,league-d,0,0,581,18272,Azerbaijan,Kosovo,0,0,post,STATUS_FULL_TIME
505554,2018-09-07 20:45:00,2018,league-b,0,0,465,454,Turkey,Russia,1,2,post,STATUS_FULL_TIME
505595,2018-09-07 20:45:00,2018,league-c,0,0,473,6775,Romania,Montenegro,0,0,post,STATUS_FULL_TIME
505596,2018-09-07 20:45:00,2018,league-c,0,0,460,6757,Lithuania,Serbia,0,1,post,STATUS_FULL_TIME
505594,2018-09-07 20:45:00,2018,league-c,0,0,585,461,Albania,Israel,1,0,post,STATUS_FULL_TIME
505504,2018-09-07 20:45:00,2018,league-d,0,0,447,453,Faroe Islands,Malta,3,1,post,STATUS_FULL_TIME
505531,2018-09-07 20:45:00,2018,league-a,0,0,162,471,Italy,Poland,1,1,post,STATUS_FULL_TIME
505553,2018-09-08 15:00:00,2018,league-b,0,0,586,452,Northern Ireland,Bosnia and Herzegovina,1,2,post,STATUS_FULL_TIME
505530,2018-09-08 18:00:00,2018,league-a,0,0,475,470,Switzerland,Iceland,6,0,post,STATUS_FULL_TIME
505503,2018-09-08 18:00:00,2018,league-d,0,0,583,588,Belarus,San Marino,5,0,post,STATUS_FULL_TIME
