temporada,equipo,squad_value
2018,Belgium,664.5
2020,Belgium,664.5
2022,Belgium,664.5
2024,Belgium,664.5
2026,Belgium,664.5
2018,France,1443.0
2020,France,1443.0
2022,France,1443.0
2024,France,1443.0
2026,France,1443.0
2018,Italy,936.0
2020,Italy,936.0
2022,Italy,936.0
2024,Italy,936.0
2026,Italy,936.0
2018,Turkey,435.1
2020,Turkey,435.1
2022,Turkey,435.1
2024,Turkey,435.1
2026,Turkey,435.1
2018,Germany,995.2
2020,Germany,995.2
2022,Germany,995.2
2024,Germany,995.2
2026,Germany,995.2
2018,Greece,281.6
2020,Greece,281.6
2022,Greece,281.6
2024,Greece,281.6
2026,Greece,281.6
2018,Netherlands,852.0
2020,Netherlands,852.0
2022,Netherlands,852.0
2024,Netherlands,852.0
2026,Netherlands,852.0
2018,Serbia,345.0
2020,Serbia,345.0
2022,Serbia,345.0
2024,Serbia,345.0
2026,Serbia,345.0
2018,Croatia,379.3
2020,Croatia,379.3
2022,Croatia,379.3
2024,Croatia,379.3
2026,Croatia,379.3
2018,Czech Republic,225.2
2020,Czech Republic,225.2
2022,Czech Republic,225.2
2024,Czech Republic,225.2
2026,Czech Republic,225.2
2018,England,1263.5
2020,England,1263.5
2022,England,1263.5
2024,England,1263.5
2026,England,1263.5
2018,Spain,1279.0
2020,Spain,1279.0
2022,Spain,1279.0
2024,Spain,1279.0
2026,Spain,1279.0
2018,Denmark,368.4
2020,Denmark,368.4
2022,Denmark,368.4
2024,Denmark,368.4
2026,Denmark,368.4
2018,Norway,479.9
2020,Norway,479.9
2022,Norway,479.9
2024,Norway,479.9
2026,Norway,479.9
2018,Portugal,975.0
2020,Portugal,975.0
2022,Portugal,975.0
2024,Portugal,975.0
2026,Portugal,975.0
2018,Wales,117.8
2020,Wales,117.8
2022,Wales,117.8
2024,Wales,117.8
2026,Wales,117.8
2018,North Macedonia,39.8
2020,North Macedonia,39.8
2022,North Macedonia,39.8
2024,North Macedonia,39.8
2026,North Macedonia,39.8
2018,Scotland,232.6
2020,Scotland,232.6
2022,Scotland,232.6
2024,Scotland,232.6
2026,Scotland,232.6
2018,Slovenia,153.8
2020,Slovenia,153.8
2022,Slovenia,153.8
2024,Slovenia,153.8
2026,Slovenia,153.8
2018,Switzerland,340.7
2020,Switzerland,340.7
2022,Switzerland,340.7
2024,Switzerland,340.7
2026,Switzerland,340.7
2018,Georgia,230.6
2020,Georgia,230.6
2022,Georgia,230.6
2024,Georgia,230.6
2026,Georgia,230.6
2018,Hungary,183.9
2020,Hungary,183.9
2022,Hungary,183.9
2024,Hungary,183.9
2026,Hungary,183.9
2018,Northern Ireland,69.7
2020,Northern Ireland,69.7
2022,Northern Ireland,69.7
2024,Northern Ireland,69.7
2026,Northern Ireland,69.7
2018,Ukraine,339.1
2020,Ukraine,339.1
2022,Ukraine,339.1
2024,Ukraine,339.1
2026,Ukraine,339.1
2018,Austria,284.2
2020,Austria,284.2
2022,Austria,284.2
2024,Austria,284.2
2026,Austria,284.2
2018,Israel,75.8
2020,Israel,75.8
2022,Israel,75.8
2024,Israel,75.8
2026,Israel,75.8
2018,Kosovo,116.2
2020,Kosovo,116.2
2022,Kosovo,116.2
2024,Kosovo,116.2
2026,Kosovo,116.2
2018,Republic of Ireland,136.4
2020,Republic of Ireland,136.4
2022,Republic of Ireland,136.4
2024,Republic of Ireland,136.4
2026,Republic of Ireland,136.4
2018,Bosnia and Herzegovina,107.6
2020,Bosnia and Herzegovina,107.6
2022,Bosnia and Herzegovina,107.6
2024,Bosnia and Herzegovina,107.6
2026,Bosnia and Herzegovina,107.6
2018,Poland,221.7
2020,Poland,221.7
2022,Poland,221.7
2024,Poland,221.7
2026,Poland,221.7
2018,Romania,111.2
2020,Romania,111.2
2022,Romania,111.2
2024,Romania,111.2
2026,Romania,111.2
2018,Sweden,492.8
2020,Sweden,492.8
2022,Sweden,492.8
2024,Sweden,492.8
2026,Sweden,492.8
2018,Albania,91.7
2020,Albania,91.7
2022,Albania,91.7
2024,Albania,91.7
2026,Albania,91.7
2018,Belarus,3.7
2020,Belarus,3.7
2022,Belarus,3.7
2024,Belarus,3.7
2026,Belarus,3.7
2018,Finland,55.4
2020,Finland,55.4
2022,Finland,55.4
2024,Finland,55.4
2026,Finland,55.4
2018,San Marino,5.0
2020,San Marino,5.0
2022,San Marino,5.0
2024,San Marino,5.0
2026,San Marino,5.0
2018,Armenia,30.0
2020,Armenia,30.0
2022,Armenia,30.0
2024,Armenia,30.0
2026,Armenia,30.0
2018,Cyprus,28.6
2020,Cyprus,28.6
2022,Cyprus,28.6
2024,Cyprus,28.6
2026,Cyprus,28.6
2018,Latvia,7.5
2020,Latvia,7.5
2022,Latvia,7.5
2024,Latvia,7.5
2026,Latvia,7.5
2018,Montenegro,47.4
2020,Montenegro,47.4
2022,Montenegro,47.4
2024,Montenegro,47.4
2026,Montenegro,47.4
2018,Faroe Islands,2.0
2020,Faroe Islands,2.0
2022,Faroe Islands,2.0
2024,Faroe Islands,2.0
2026,Faroe Islands,2.0
2018,Kazakhstan,5.0
2020,Kazakhstan,5.0
2022,Kazakhstan,5.0
2024,Kazakhstan,5.0
2026,Kazakhstan,5.0
2018,Moldova,4.5
2020,Moldova,4.5
2022,Moldova,4.5
2024,Moldova,4.5
2026,Moldova,4.5
2018,Slovakia,198.2
2020,Slovakia,198.2
2022,Slovakia,198.2
2024,Slovakia,198.2
2026,Slovakia,198.2
2018,Bulgaria,43.8
2020,Bulgaria,43.8
2022,Bulgaria,43.8
2024,Bulgaria,43.8
2026,Bulgaria,43.8
2018,Estonia,12.2
2020,Estonia,12.2
2022,Estonia,12.2
2024,Estonia,12.2
2026,Estonia,12.2
2018,Iceland,88.5
2020,Iceland,88.5
2022,Iceland,88.5
2024,Iceland,88.5
2026,Iceland,88.5
2018,Luxembourg,27.1
2020,Luxembourg,27.1
2022,Luxembourg,27.1
2024,Luxembourg,27.1
2026,Luxembourg,27.1
2018,Andorra,1.2
2020,Andorra,1.2
2022,Andorra,1.2
2024,Andorra,1.2
2026,Andorra,1.2
2018,Gibraltar,0.2
2020,Gibraltar,0.2
2022,Gibraltar,0.2
2024,Gibraltar,0.2
2026,Gibraltar,0.2
2018,Malta,11.0
2020,Malta,11.0
2022,Malta,11.0
2024,Malta,11.0
2026,Malta,11.0
2018,Azerbaijan,17.2
2020,Azerbaijan,17.2
2022,Azerbaijan,17.2
2024,Azerbaijan,17.2
2026,Azerbaijan,17.2
2018,Liechtenstein,0.5
2020,Liechtenstein,0.5
2022,Liechtenstein,0.5
2024,Liechtenstein,0.5
2026,Liechtenstein,0.5
2018,Lithuania,10.3
2020,Lithuania,10.3
2022,Lithuania,10.3
2024,Lithuania,10.3
2026,Lithuania,10.3
